provider_name,phone,city,state,website,has_valid_website,pages_crawled,aba_found,aba_pages,autism_found,autism_pages,pediatric_speech_found,pediatric_ot_found,pediatric_pt_found,therapy_pages,recommendation,notes
Skycrest Place Group Home,(727) 254-1196,Clearwater,FL,http://www.skycrestplace.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Therapeutic Well-being,(863) 603-3128,Lakeland,FL,https://www.facebook.com/profile.php?id=100087640722430,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Better Living Solutions Counseling & Nutrition Center,(850) 329-2345,Tallahassee,FL,https://blscounseling.net/services/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
WellCome OM Integral Healing & Education Center,(352) 600-4242,Spring Hill,FL,https://www.wellcomeomcenter.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Silver Lining Learning Academy & ABA Therapy,(407) 243-8622,Winter Park,FL,https://sllearningacademyinc.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Lifeskills Orlando,(407) 863-2191,Orlando,FL,https://lifeskillssouthflorida.com/programs/orlando-residential/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Sunrise Community of Central Florida,(863) 644-6800,Lakeland,FL,https://sunrisegroup.org/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
"Restoring Hope Counseling, LLC.",(239) 351-5532,Cape Coral,FL,http://www.restoringhopetherapist.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Pathway to Purpose Care Services,(352) 403-9570,Spring Hill,FL,http://pathwaytopurposecareservices.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Avard Law Offices,(239) 945-0808,Cape Coral,FL,https://avardlaw.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"ABA Alliance Therapy, Orlando - Clinic, Home, School, Community",(321) 247-5165,Orlando,FL,http://www.therapyabaalliance.com/,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Modern Minds Counseling and Art Therapy,(727) 386-9703,Dunedin,FL,http://www.modernmindscounseling.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
