id,provider_name,phone,website,address1,city,state,zip,latitude,longitude,verified,last_updated,normalized_phone,service_type,accepts_medicaid,accepts_medicare,accepts_florida_blue,accepts_unitedhealthcare,accepts_aetna,accepts_cigna,accepts_tricare,accepts_humana,accepts_florida_healthcare_plans,source,county,rating,user_ratings_total,google_place_id,rating_last_updated,offers_telehealth,offers_peers_program,offers_space_program,offers_social_skills_groups,offers_neuropsych_assessment,offers_tutoring,offers_ef_coaching,offers_parent_coaching,serves_children,serves_teens,serves_adults,offers_telehealth_evidence,offers_peers_program_evidence,offers_space_program_evidence,offers_social_skills_groups_evidence,offers_neuropsych_assessment_evidence,offers_tutoring_evidence,offers_ef_coaching_evidence,offers_parent_coaching_evidence,serves_children_evidence,serves_teens_evidence,serves_adults_evidence,city_clean,zip_text,address2,aba,speech,ot,pt,respite_care,life_skills,residential,church_support,pet_therapy
4811,"""Play Strong Kids""- Building Resilience and Ending Behavioral and Emotional Challenges in Children",(727) 222-5667,https://www.playstrongkids.com/,205 CRYSTAL GROVE BLVD,LUTZ,FL,33549,,,false,2025-10-12 00:00:00,7272225667,Therapy Services,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,33549,#102,false,false,false,false,false,false,false,false,false
4812,1 CARE LLC,(727) 403-7488,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/148038531518542495,2200 TALL PINES DR STE 124,LARGO,FL,33771,,,false,2025-10-12 00:00:00,7274037488,ABA Therapy | Life Skills Development 3 (ADT),Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Pinellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,33771,,false,false,false,false,false,false,false,false,false
4813,1ST CLASS CARE INC.,(407) 448-4349,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/136040551018542370,3704 TRIANON DR,ORLANDO,FL,32818,,,false,2025-10-12 00:00:00,4074484349,ABA Therapy | Transportation,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,32818,,false,false,false,false,false,false,false,false,false
4814,24/7 Chiropractic Wellness & Rehab,(352) 340-3220,http://247chiropractic.com/,2631 FOREST RD,SPRING HILL,FL,34606,,,false,2025-10-12 00:00:00,3523403220,Physical Therapy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,34606,,false,false,false,false,false,false,false,false,false
4815,"2ND MILE MANOR
QUALITY SERVICE INC",(813) 312-8244,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/148038447918542721,4354 19TH ST N,ST PETERSBURG,FL,33714,,,false,2025-10-12 00:00:00,8133128244,ABA Therapy | Transportation,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Pinellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,33714,,false,false,false,false,false,false,false,false,false
4816,3 C's Therapy Center,(407) 761-2130,https://3cstherapycenter.godaddysites.com/,4019 W 1ST ST,SANFORD,FL,32771,,,false,2025-10-12 00:00:00,4077612130,"Physical Therapy, Speech Therapy",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,32771,,false,false,false,false,false,false,false,false,false
4818,360 Rehab Sevices Inc.,(305) 209-4213,http://www.360rehabservices.com/,12161 TAFT ST,HOLLYWOOD,FL,33026,,,false,2025-10-12 00:00:00,3052094213,Physical Therapy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,33026,,false,false,false,false,false,false,false,false,false
4819,360 Therapy,(305) 396-6009,https://www.360therapy.care/?utm_source=omg-gbp&utm_medium=webclick,1380 NE MIAMI GARDENS DR,NORTH MIAMI BEACH,FL,33179,,,false,2025-10-12 00:00:00,3053966009,Pet Therapy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (Pet Therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,33179,#242,false,false,false,false,false,false,false,false,false
4821,4x4 Stables,(754) 269-0608,,18130 SW 68TH CT,WESTON,FL,33331,,,false,2025-10-12 00:00:00,7542690608,Pet Therapy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (Pet Therapy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,33331,,false,false,false,false,false,false,false,false,false
4822,"5 STAR CARES, INC",(813) 458-7553,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/148040449318542631,17922 CLEAR LAKE DR,LUTZ,FL,33548,,,false,2025-10-12 00:00:00,8134587553,ABA Therapy | Residential Nursing Services,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Hillsborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,33548,,false,false,false,false,false,false,false,false,false
4823,7 Senses Kids,(321) 255-7779,http://www.7sensestherapy.com/,2261 TOWN CENTER AVE,MELBOURNE,FL,32940,,,false,2025-10-12 00:00:00,3212557779,"Occupational Therapy, Speech Therapy",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,32940,#109,false,false,false,false,false,false,false,false,false
4824,"A & J COMPASSIONATE CARE, LLC",(813) 898-3059,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/148039784718542721,8319 42ND AVE N,SAINT PETERSBURG,FL,33709,,,false,2025-10-12 00:00:00,8138983059,ABA Therapy | Transportation,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Pinellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,33709,,false,false,false,false,false,false,false,false,false
4825,A & K CARE TRANSPORTATION INC,(954) 635-5156,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/100040527418543074,3200 N FEDERAL HWY STE 123,BOCA RATON,FL,33431,,,false,2025-10-12 00:00:00,9546355156,ABA Therapy | Transportation,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,33431,,false,false,false,false,false,false,false,false,false
4826,A Beautiful Mind Counseling and Consulting,(772) 722-1513,http://www.abeautifulmindcounseling.com/,1225 SE PORT ST LUCIE BLVD,PORT SAINT LUCIE,FL,34952,,,false,2025-10-12 00:00:00,,Therapy Services,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Google Places (PT/OT/ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,34952,,false,false,false,false,false,false,false,false,false
4828,A CARING HAND GROUP HOME INC,(561) 729-2244,https://flddresources.qlarant.com/ProviderSearch/Home/GetProviderDetails/136044078718542370,6818 GADWALL LN,ORLANDO,FL,32810,,,false,2025-10-12 00:00:00,5617292244,ABA Therapy | Transportation,Yes (FL-DD Listed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FL-DD Database,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,32810,,false,false,false,false,false,false,false,false,false
