action,id,name,city,phone,website,address,why_still_open,next_step
Obvious delete,8924,Fashionable Canes,Largo,(813) 572-2637,http://www.fashionablecanes.com/,12399 S Belcher Rd,"Retail cane and mobility-aid store. Not autism, not a provider. Flagged twice, never actioned.",Delete.
Obvious delete,6720,Lauren’s Kids,Hollywood,(786) 288-5045,http://laurenskids.org/,"Lauren’s Kids, 4000 Hollywood Blvd","Child sexual abuse prevention nonprofit (Lauren Book). Not autism. Flagged twice, never actioned.",Delete.
DECIDED - delete,6709,Mosaic Psychiatry,Ormond Beach,(407) 906-3755,https://www.mosaicpsychiatry.com/,208 Booth Rd,"You checked their services page yourself: Ctrl-F for ""autism"" and ""ASD"" returned zero. Confirmed delete under the counseling scope decision.",Delete. This should have gone with the counseling batch.
Your call - LOW evidence,8878,Health and Healing Mental Health Center,Port St. Lucie,(772) 323-0762,https://healthandhealingmhc.com/,1599 SE Lennard Rd,General outpatient mental health / psychology practice. LOW evidence. Out of scope under the counseling rule if confirmed. I held it out of the delete.,"Confirm and delete, or research once more."
Your call - LOW evidence,8976,"Irving's Lodge - Cerebral Palsy Adult Home, Inc",Dania Beach,(954) 923-1413,null,1405 NW 10th St,Cowork says adult group home for adults with cerebral palsy. LOW evidence. I held it out of the delete.,"Mobility/CP is not autism per your rule. Confirm and delete, or research once more."
"Decision, not research",7484,Champions Club Special Needs Ministry,Cape Coral,(239) 458-0813,https://championsclub.org/location/city-first-church/,121 Del Prado Blvd S,"Franchised ministry hosted at City First Church, which is not in your churches table. Not a duplicate of Grace Church Cape Coral (different address, phone, site - checked). Parked for months as a missing RECORD TYPE, not a missing slug.","Decide: churches table under host congregation, delete, or leave."
"Judgment, not research",6974,Southeastern Behavioral Health,Tallahassee,(850) 296-3665,http://www.sebhfl.com/,3303 Thomasville Rd,"HIGH evidence but genuinely mixed. Cowork noted this needs a judgment call, not another search.",Read sebhfl.com yourself and decide.
Claude in Chrome,6722,All Kids Therapy Center,Gainesville,(352) 380-1727,https://allkidstherapycenter.com/contact-us,3401 NW 34th St,"JS-only site, Cowork got nothing across multiple attempts. Site is live but unreadable to automated fetching.",Open allkidstherapycenter.com in Chrome. Which disciplines? Any BCBA? Likely speech/OT/PT not ABA.
Batch decision,6597,"Tara J. Donohue, OT",Port St. Lucie,(772) 398-7678,null,null,"Two passes. Generic OT taxonomy, unbranded unit in a retail strip, no website. Seven adult-OT records already removed on this exact pattern - and the running total is now 22.",Strong candidate for the batch UNCLEAR decision rather than a call.
Phone call,9130,Amor Therapy Services,Orlando,(407) 602-7442,https://amortherapyservices.com/about-us/,6900 S Orange Blossom Trl,"Two passes. ABA-adjacent language and an ABAI logo, but no named BCBA and no autism mention in body content.",Call (407) 602-7442.
Phone call,6601,Arise Center,Port St. Lucie,(772) 245-0274,null,3486 SW Ellis St,"Two passes. Active LLC, no website, one expired ""Behavior Assistant"" posting for residential clients.",Call (772) 245-0274.
Phone call,8996,Autism Early Intervention and Prevention Center,Tampa,(813) 936-7184,null,2901 W Busch Blvd,"THREE passes, LOW evidence. Five searches on exact name, name plus phone, and the Busch Blvd address all returned nothing.",Call (813) 936-7184.
Phone call,6624,Children Autism Help,Miami,(786) 878-1331,https://childrenautismhelp.com/,2157 SW 13th Ave,THREE passes. Domain fails every fetch attempt (robots.txt ConnectTimeout on bare host and www). Zero matching NPI in Florida.,Call (786) 878-1331. Search has been exhausted.
Phone call,8880,Crossworks Therapy By the BEACH,Cape Coral,(239) 471-2928,null,1314 Cape Coral Pkwy E #322,"One Cowork pass: LOW evidence, own site 404s, no NPI, every hit an aggregator. Could not establish what it is.","Call (239) 471-2928. Sunbiz name is plain CROSSWORKS - ""Therapy by THE BEACH"" was added by the directory."
Phone call,7308,Little Bee Behavior Therapy,Miami Lakes,(786) 384-4990,null,6001 NW 153rd St,"Active Sunbiz P23000013206 and NPI 1164120069 with Behavior Analyst taxonomy at the matching address - but no website, only Facebook. Every service claim traces to third-party directories.",Call (786) 384-4990. Confirm BCBA on staff.
Phone call,8992,Milestone Specialists of America,Winter Park,(407) 203-9593,null,1950 Lee Rd,"Two passes, LOW evidence. Sunbiz L20000158456 ACTIVE and NPI 1831709856 active at the matching address, but GENERIC Clinic/Center taxonomy 261Q00000X and no published service description anywhere.",Call (407) 203-9593.
Phone call,6631,Psych Pro Centers,West Palm Beach,(561) 844-4452,https://psychprocenters.com/,6685 Forest Hill Blvd #209,"Two passes. Both pages return HTTP 200 with NO body text (JS-only), so every verdict rests on indexed page titles. Nothing was ever actually read.",Call (561) 844-4452. Key question: is this a psych practice (out of scope) or an evaluation practice doing ADOS (in scope)?
Phone call,8461,"Shannon C. Bright, MS",Daytona Beach,(904) 215-3324,null,null,"Two passes. She is an SLP (taxonomy 235Z00000X), not an OT as the record name implies. NPI address is Orange Park (904 area), NOT Daytona Beach.",Call (904) 215-3324. Establish city and whether pediatric.
Phone call,6842,Spectrum Research Group,Port Orange,(844) 914-4357,http://www.spectrumresearchgroup.com/,413 Oak Pl,"Two passes. Unresolved question: is ""Spectrum"" autism, or clinical trials?",Call (844) 914-4357.
Phone call,6609,Whole-Sum Therapies,Orlando,(407) 730-6988,null,933 Lee Rd,Two passes. No website exists. Searches on name and the Lee Road address return only aggregator listings.,Call (407) 730-6988.
