id,name,city,county,address,phone,website,source,verified
7075,AB&C Therapeutic Solutions,Cape Coral,Lee,5789 Cape Harbour Dr,(239) 747-3328,null,legacy_migration,false
8880,Crossworks Therapy By the BEACH,Cape Coral,Lee,1314 Cape Coral Pkwy E #322,(239) 471-2928,null,legacy_migration,false
7319,Crystal Angels Behavior Center Inc,Cape Coral,Lee,4831 Coronado Pkwy,(239) 788-4686,http://crystalangelsbehavior.com/,legacy_migration,true
6610,"Family Initiative, Inc",Cape Coral,Lee,734 SW 4th St,(239) 910-0712,http://www.fi-florida.org/,legacy_migration,true
6551,Healing Horizons Therapy,Cape Coral,Lee,1222 SE 47th St,(239) 265-0282,https://www.myhealinghorizons.com/,legacy_migration,true
6678,Homegrown Therapy of SWFL,Cape Coral,Lee,1510 Hancock Bridge Pkwy #6,(239) 478-7059,https://www.homegrowntherapyswfl.com/,legacy_migration,true
6702,"Linda Morrison, LCSW",Cape Coral,Lee,2301 Del Prado Blvd S #180,(239) 297-6656,null,legacy_migration,true
8871,Palm Therapy Associates LLC,Cape Coral,Lee,621 Cape Coral Pkwy E #19A,(239) 410-4045,null,legacy_migration,false
6818,"Prestige Behavioral Center, LLC.",Cape Coral,Lee,303 NE 3RD AVE,(239) 789-0041,https://www.prestigebehavioralcenter.com/,Google Places (PT/OT/ST),false
7343,Puzzle Therapy Services,Cape Coral,Lee,1003 Del Prado Blvd S,(239) 221-3817,https://puzzletherapyservices.com/contact,legacy_migration,false
7350,Sports Specialty and Rehab,Cape Coral,Lee,2328 Hancock Bridge Pkwy #103,(239) 574-7557,http://www.sportsspecialty.com/,legacy_migration,false
5861,BayCare Kids Specialty Center- Mease Countryside,Clearwater,Pinellas,3253 McMullen Booth Rd,(727) 725-6966,https://baycare.org/locations/s/st-josephs-childrens-specialty-center--mease-countryside?utm_campaign=BayCare_DigitalMarketing_M20140288&utm_source=Google&utm_medium=LocalListing&utm_content=BayCare_Kids_Specialty_Center-_Mease_Countryside,legacy_migration,true
8612,Behavioral Evaluation Program,Clearwater,Pinellas,14250 49th St N,(727) 464-7373,null,legacy_migration,false
6878,Center For Positive Change,Clearwater,Pinellas,"2750 N, 2750 McMullen Booth Rd",(727) 218-8870,http://www.center4positivechange.com/,legacy_migration,true
9000,Creating independence academy,Clearwater,Pinellas,6170 Ulmerton Rd,(727) 225-1669,http://www.creatingindependenceac.com/,legacy_migration,false
7392,Gulf Coast Occupational,Clearwater,Pinellas,1527 S Missouri Ave,(727) 474-3859,null,legacy_migration,false
6910,Hope Reconstruction Therapy,Clearwater,Pinellas,611 Druid Rd,(802) 727-0246,https://hopereconstruction.com/,legacy_migration,true
6741,Learning Independence For Tomorrow - LiFT,Clearwater,Pinellas,1005 S Highland Ave,(727) 258-7659,http://www.liftfl.org/,legacy_migration,true
6932,Richard B. Funk Center for Great Expectations,Clearwater,Pinellas,1501 N Belcher Rd. # 249,(727) 799-3330,http://www.thearctb.org/richard-b-funk-center-great-expectations,legacy_migration,false
10397,Stillwater Therapy,Clearwater,Pinellas,2430 Estancia Blvd,(813) 803-0961,http://www.stillwater-therapy.com/,legacy_migration,false
6498,Sunrise Therapy LLC,Clearwater,Pinellas,2288 Drew St,(727) 481-9985,https://sunrise-therapy.net/,legacy_migration,true
7998,Bee Positive Behavior Services Inc.,Miami,Miami-Dade,10661 N KENDALL DR,(305) 903-3505,http://www.beepositivebehaviorservices.com/,Google Places (PT/OT/ST),false
7985,Grand Health Institute,Miami,Miami-Dade,1717 N BAYSHORE DR SUITE R217,(305) 728-0505,http://www.grandhealthinstitute.com/,Google Places (PT/OT/ST),false
8516,Side By Side Behavioral Health,Orlando,Orange,2151 CONSULATE DR STE 11,(321) 444-9527,http://www.sidebysidebh.com/,Google Places (PT/OT/ST),false
8568,Kaleidoscope Interventions,Palm Bay,Brevard,2180 JULIAN AVE NE,(321) 345-0861,https://www.thepiecefits.com/,Google Places (PT/OT/ST),false
8558,Absolute Healthcare LLC,Spring Hill,Hernando,3378 MARINER BLVD,(352) 251-0000,https://absolutehealthcare.org/,Google Places (PT/OT/ST),false
6351,Care One of Florida,Spring Hill,Hernando,11115 County Line Rd,(352) 683-1982,http://www.careoneofflorida.com/,legacy_migration,true
