id,name,city,county,address,phone,website,source,verified
6680,"MK Therapy Center, LLC",Aventura,Miami-Dade,3330 NE 190th St,(347) 628-0308,null,legacy_migration,true
6804,"Rachel Azrin, BCBA",Aventura,Miami-Dade,20505 E Country Club Dr,(305) 490-4561,https://www.counselornorthmiamifl.com/,legacy_migration,true
6769,Spring Health Autism Intervention,Aventura,Miami-Dade,2875 NE 191st St,(786) 501-3717,http://springhealthautism.com/,legacy_migration,true
7349,The Kelly Behavioral Institute,Belle Isle,Orange,3203 Conway Rd,(407) 893-0242,http://kellybehavioralinstitute.com/,legacy_migration,false
5880,HCA Florida Oak Hill Hospital,Brooksville,Hernando,11375 Cortez Blvd,(352) 596-6632,https://www.hcafloridahealthcare.com/locations/oak-hill-hospital/?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,legacy_migration,true
6535,Abundant Abilities,Coconut Creek,Broward,3720 Coconut Creek Pkwy,(954) 590-0647,http://www.abundantabilities.net/,legacy_migration,true
9094,Williamsburg Therapy Group Miami,Coconut Grove,Miami-Dade,3390 Mary St #116,(786) 889-4333,https://www.williamsburgtherapygroup.com/miami-fl,legacy_migration,false
6888,Blossom Behavior Therapy,Coral Gables,Miami-Dade,5915 Ponce de Leon,(305) 397-8679,http://www.blossombehaviortherapy.com/,legacy_migration,true
5838,Developmental Applied Behavior Solutions,Coral Gables,Miami-Dade,2030 Douglas Rd,(305) 263-9066,http://appliedbhs.com/,legacy_migration,true
6582,"Health of Mind, Inc",Coral Gables,Miami-Dade,2020 Ponce de Leon,(305) 917-5414,http://www.healthofmind.net/,legacy_migration,true
7220,Little Giants Kid's Services- PPEC (Medical Daycare),Coral Gables,Miami-Dade,1919 Ponce de Leon,(786) 558-5756,http://littlegiantsppec.com/,legacy_migration,false
9028,Prism Early Advancement Center,Coral Gables,Miami-Dade,245 Catalonia Ave,(305) 448-2828,http://www.prismeac.com/,legacy_migration,false
8976,"Irving's Lodge - Cerebral Palsy Adult Home, Inc",Dania Beach,Broward,1405 NW 10th St,(954) 923-1413,null,legacy_migration,false
8780,Oasis Mind Lab – Coaching & Consulting for Work & Life,Dunedin,Pinellas,303 Main St,(727) 228-2143,https://www.oasismindlab.com/,legacy_migration,false
6499,Children's Diagnostic & Treatment Center,Fort Lauderdale,Broward,1401 S Federal Hwy,(954) 728-8080,http://childrensdiagnostic.org/,legacy_migration,true
6590,Deliver the Dream,Fort Lauderdale,Broward,3223 NW 10th Terrace #602,(954) 564-3512,https://deliverthedream.org/,legacy_migration,true
6706,Innovative Interactive Therapies,Fort Lauderdale,Broward,110 SE 6th St,(877) 460-7701,null,legacy_migration,true
6951,Lifeskills South Florida Fort Lauderdale,Fort Lauderdale,Broward,4841 NE 20th Ave,(954) 408-8770,https://www.lifeskillssouthflorida.com/programs/detox-residential/,legacy_migration,false
9134,"Amy Stenz, Ot",Fort Myers,Lee,1650 Medical Ln,(239) 277-9818,null,legacy_migration,false
5834,"Autism Services of Florida, LLC",Fort Myers,Lee,12501 World Plaza Ln,(239) 349-3139,http://www.autismserviceoffl.com/,legacy_migration,true
7254,Denali Institute,Fort Myers,Lee,3722 Central Ave,(239) 202-0042,http://www.denalibehaviorcrt.com/,legacy_migration,false
6759,"Elite DNA Behavioral Health - Fort Myers - Occupational Therapy, Speech & ABA",Fort Myers,Lee,6714 Winkler Rd,(239) 215-1025,https://elitedna.com/locations/fort-myers-plantation/,legacy_migration,true
6863,Peace By Piece,Fort Myers,Lee,6714 Winkler Rd,(239) 245-8301,null,legacy_migration,true
8523,"Shirley J. Phillips, Occupational",Fort Myers,Lee,null,(239) 278-4702,null,legacy_migration,false
7007,"Behavioral Learning Systems, Inc",Gainesville,Alachua,1408 NW 6th St,(352) 373-4411,http://www.behaviorlearn.com/,legacy_migration,false
10374,Carlyle Therapy,Greenacres,Palm Beach,6685 Forest Hill Blvd,(561) 371-3277,http://carlyletherapy.com/,legacy_migration,false
5858,Bright Journey Therapy,Hallandale Beach,Broward,600 Three Islands Boulevard,(754) 400-0772,https://brightjourneytherapy.com/,legacy_migration,true
6999,Dynakidz,Hallandale Beach,Broward,1117 E Hallandale Beach Blvd #6,(954) 458-5040,null,legacy_migration,false
6543,"Kathy D. Stanley, Otrl",Holly Hill,Volusia,null,(386) 226-9125,null,legacy_migration,true
6529,Stress And Anxiety Center,Holly Hill,Volusia,1615 Ridgewood Ave,(386) 999-0333,http://www.stressandanxietycenter.org/,legacy_migration,true
7340,Reaching Milestones,Jacksonville,Duval,6816 Southpoint Pkwy,(904) 683-9515,https://reachingmilestones.com/,legacy_migration,false
7362,"Sade Behavior Therapy, Inc.",Jacksonville,Duval,2730 Clydo Rd,(904) 666-5147,http://www.sadebehavior.com/,legacy_migration,false
6684,"Sarah Robinson, PhD",Jacksonville,Duval,800 Prudential Dr,(904) 202-2000,null,legacy_migration,true
6796,Sensory Station Therapy,Lake Park,Palm Beach,804 U.S. Rte 1,(561) 429-6018,http://www.sensorystationtherapy.com/,legacy_migration,true
7357,Brighter Minds Behavioral Health LLC,Lake Worth Beach,Palm Beach,2119 10th Ave N,(561) 444-2814,https://www.brightermindsbh.com/,legacy_migration,false
9141,Love & Behavior Support. INC,Lake Worth Beach,Palm Beach,2328 10th Ave N,(561) 284-6425,https://lovebehaviorsupport.com/,legacy_migration,false
7133,Rainbow of Life Behavioral Health Center,Lake Worth Beach,Palm Beach,2115 10th Ave N,(561) 506-3665,http://www.rainbowoflifebhc.com/,legacy_migration,false
7300,Autism Institute for Learning and Development,Lakeland,Polk,211 E Main St,(863) 617-9948,https://autismildlakeland.org/,legacy_migration,false
8685,"Claudia L. Martinez, Occupational",Lakeland,Polk,3368 Summerland Hills Loop,(863) 648-0675,null,legacy_migration,false
7316,Early Childhood Learning Center,Lakeland,Polk,3135 Airside Center Dr,(863) 647-3322,http://www.polkids.com/,legacy_migration,false
9072,"integrity therapy services, llc login",Lakeland,Polk,411 E Orange St,(863) 617-9400,http://integritytherapy.info/contactus.aspx,legacy_migration,false
6965,MySpot,Lauderhill,Broward,7430 W Commercial Blvd,(954) 756-7400,https://myspotcare.com/location/lauderhill/,legacy_migration,false
6826,Omega Center for Autism,Lauderhill,Broward,4800 N University Dr,(954) 532-0337,http://www.obctherapy.com/,legacy_migration,true
6547,Autism Specialty Group,Miami,Miami-Dade,64 NW 54th St #103,(305) 767-1924,https://www.autismspecialtygroup.com/,legacy_migration,true
6565,Behavioral Neurodiversity Specialists,Miami,Miami-Dade,999 Brickell Ave # 410,(786) 477-1193,https://www.bnsneurospecialists.com/,legacy_migration,true
6636,Cs Behavioral Services,Miami,Miami-Dade,1700 SW 57th Ave #209,(786) 558-4981,https://www.csbehavioralmiami.com/,legacy_migration,true
7425,"Lisa L. Rappa, OT",Miami,Miami-Dade,15839 NW 2nd Ave,(305) 948-5683,null,legacy_migration,false
6642,Beyond ASD,Miami Beach,Miami-Dade,519B W 41st St,(786) 384-0221,https://www.missmancy.com/beyond-asd/,legacy_migration,true
7066,EMBRACE FL & NJ Non Profit,Miami Beach,Miami-Dade,1688 Meridian Ave #701,(201) 491-3532,https://weembrace4u.org/,legacy_migration,false
8898,Possibilities Behavioral Services LLC,Miami Springs,Miami-Dade,4471 NW 36th St,(786) 471-1844,http://www.possibilitiesbehavioralservices.com/,legacy_migration,false
7275,The Behaviorists,Miami Springs,Miami-Dade,657 South Dr #403,(786) 860-5161,http://www.the-behaviorists.com/,legacy_migration,false
6733,Blooming Behavioral Health,Miramar,Broward,3600 S State Rd 7,(754) 799-3780,http://www.blooming-aba.com/,legacy_migration,true
6374,TAL Community Mental Health Center,Miramar,Broward,12781 Miramar Pkwy Suite #203,(786) 648-3588,http://www.talcmhc.org/,legacy_migration,true
7394,Superior Healthcare for the Aged & Disabled,North Lauderdale,Broward,7399 Tam Oshanter Blvd,(516) 854-8220,null,legacy_migration,false
8624,Children's Center for Therapy and Learning,North Miami,Miami-Dade,2124 NE 123rd St #210,(305) 895-0444,http://www.therapyandlearning.com/,legacy_migration,false
6544,Kids Therapy Outlets,North Miami,Miami-Dade,12700 Biscayne Blvd,(954) 918-1928,null,legacy_migration,true
6991,"Wonderful Counselor, LLC.",North Miami,Miami-Dade,12555 Biscayne Blvd,(786) 906-8656,http://wonderfulcounselorllc.com/,legacy_migration,false
6765,ACAS Therapy for Kids,North Miami Beach,Miami-Dade,1641 NE 163rd St,(786) 623-3357,https://www.acastherapy.com/,legacy_migration,true
6581,Interactive Therapy Solutions Inc,North Miami Beach,Miami-Dade,909 N Miami Beach Blvd,(786) 805-6454,https://www.yourtherapyhome.com/,legacy_migration,true
7153,Self Love Harbor,North Miami Beach,Miami-Dade,17800 W Dixie Hwy,(786) 475-1119,https://selfloveharbor.com/,legacy_migration,false
6838,"Play and Learn Therapy, Inc.",Oakland Park,Broward,840 E Oakland Park Blvd,(954) 766-4621,http://www.playandlearntherapy.com/,legacy_migration,true
6815,AK Behavioral Health Clinic,Orlando,Orange,5575 S Semoran Blvd #07,(844) 331-6451,null,legacy_migration,true
7325,"Camen Behavioral Services, LLC",Orlando,Orange,5959 Lake Ellenor Dr,(321) 972-4039,https://camenbehavioral.com/,legacy_migration,false
6353,Fataj Transition & Learning Center LLC,Orlando,Orange,3099 Orange Center Blvd,(407) 601-0491,https://www.fatajtlc.com/,legacy_migration,true
6881,"Hidden Potential Florida, LLC",Orlando,Orange,2859 S Bumby Ave,(407) 800-7711,http://www.hiddenpotentialflorida.com/,legacy_migration,true
6767,"Indigo Kids Behavioral Learning, LLC",Orlando,Orange,1300 N Semoran Blvd #200,(321) 890-4038,https://www.indigokidsbehavior.com/,legacy_migration,true
6644,Quest Kids Academy,Orlando,Orange,500 E Colonial Dr,(407) 218-4340,http://questkids.org/,legacy_migration,true
7054,Adapt Behavioral Services,Ormond Beach,Volusia,533 N Nova Rd,(386) 898-5003,http://www.adapt-fl.com/,legacy_migration,false
6528,Elite Continuing Education,Ormond Beach,Volusia,26 N Beach St,(888) 857-6920,http://www.elitelearning.com/,legacy_migration,true
8873,"Lighthouse Behavioral Health, LLC",Ormond Beach,Volusia,533 N Nova Rd,(386) 492-9041,https://www.lighthousebh.net/,legacy_migration,false
