id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
6680,"MK Therapy Center, LLC",Aventura,unclear,N,unknown - registered LLC with no discoverable clinical footprint,unclear,N,unclear,UNCLEAR,https://www.bizprofile.net/fl/aventura/mk-therapy-center-llc,LOW,"No website stored and none found; Sunbiz shows an active FL LLC (L24000430194, registered 10/7/2024, manager Moriah Keren, last annual report 2/17/2026) whose principal address 3330 NE 190th St #1419 is a residential condo unit, not a clinic, and the stored phone is a New York (347) area code. NPI searches return no behavior-analyst or therapy registration at this name or address, and no BCBA, RBT, ABA page, autism content or AHCA listing exists anywhere - so nothing supports the inherited 'aba' tag and nothing establishes it is a service provider at all. Recorded UNCLEAR rather than REMOVE only because the entity is legally active; if the directory needs a decision, this record has zero positive evidence for any tag."
6804,"Rachel Azrin, BCBA",Aventura,Y,Y,"solo BCBA providing applied behavior analysis for autism/ADHD, plus general counseling",Y,Y,Y,KEEP_ABA,http://www.rachelazrin.com/,MEDIUM,"Correct tag set: aba, virtual-therapy. Named BCBA: Rachel Azrin (sole practitioner, no RBTs or other BCBAs named); the stored counseling domain counselornorthmiamifl.com is genuinely hers (address 20505 E Country Club Dr and phone 305-490-4561 match the CSV exactly) but is a counseling-branded template listing marriage counseling, eating disorders and substance abuse, so I checked the counseling scope rule and the second signal comes from her separate first-party site rachelazrin.com, where ABA is described as the foundation of the practice for autism, Asperger's, ADHD and Tourette's. Reservations: solo practice with no RBT staff, no BHCOE or Medicaid ABA evidence, her Psychology Today profile lists a different address (2999 NE 191 St) and phones (305-290-4375 / 305-933-9779) than the CSV and cites an Alabama behavior-analyst license, and she states she serves adults as well as children - put the alternate site domain rachelazrin.com in the record."
6769,Spring Health Autism Intervention,Aventura,Y,Y,ABA therapy for children with autism spectrum disorder and other developmental disabilities,Y,unclear,Y,KEEP_ABA,http://springhealthautism.com/about,MEDIUM,"Correct tag set: aba. Confirmed this is the ABA company (not the national employer-benefits firm 'Spring Health') because the stored phone 786-501-3717 matches the site exactly, and two first-party pages (home and About Us) both describe ABA for ASD and developmental disabilities as the core service, corroborated by NPI 1518699453 registered as a Behavior Analyst; no BCBA is named anywhere on the site, so 'none named'. ADDRESS CONTRADICTION: the provider publishes only Hialeah (3450 W 84 St #202I) and North Palm Beach (11911 US Hwy 1 #24) offices, plus a Jupiter Facebook page - the stored Aventura address 2875 NE 191st St appears nowhere on their site, so this record's location is unverified and should be corrected or re-sited before display."
7349,The Kelly Behavioral Institute,Belle Isle,Y,Y,"ABA therapy and behavioral consulting/training in clinic, school and home settings",Y,Y,Y,KEEP_ABA,http://kellybehavioralinstitute.com/about,MEDIUM,"Correct tag set: aba, mobile-services (services are delivered in clinic, school and home per their About page). BCBA: none named on the site - the About page describes an unnamed clinician with an MS in ABA and 4 years BCBA certification, and third-party listings and Sunbiz (L21000194869) tie the LLC to Diana Ahumada, so treat the BCBA as present but unnamed. Stored address and phone match the site (3203 S Conway Rd Suite 200D, Belle Isle; 407-893-0242); reservations are that the site is thin and template-like, autism is referenced only in passing rather than on a dedicated page, and they state they serve 'individuals of all ages' including adults, so the pediatric caseload is not established."
5880,HCA Florida Oak Hill Hospital,Brooksville,Y,Y,"general acute-care hospital (cardiology, surgery, ER, ICU/NICU, oncology, orthopedics, outpatient physical rehab)",N,N,N,REMOVE,https://www.hcafloridahealthcare.com/locations/oak-hill-hospital/,HIGH,"Stripped the Google-listing tracking parameters from the stored URL before fetching; the address 11375 Cortez Blvd and phone 352-596-6632 on the location page match the CSV exactly, so no input contradiction. Compared this hospital's own location page and its specialties page - both list only general acute-care lines (cardiology, TAVR, neuro, surgery, ER, ICU, NICU, oncology, ortho, spine, wound care, outpatient physical rehab) with no autism, developmental-disability, behavioral-health or ABA program; the only pediatric content is pediatric emergency care and pediatric rehabilitation. TRAP 2 applied: any autism or behavioral-health service found elsewhere on hcafloridahealthcare.com belongs to other HCA facilities, not to this Brooksville hospital, so the inherited 'aba' tag is unsupported and the record does not belong in an autism services directory."
6535,Abundant Abilities,Coconut Creek,Y,Y,"ABA behavior therapy for children and adults with autism and other developmental disabilities, plus parent training",Y,Y,Y,KEEP_ABA,http://www.abundantabilities.net/,MEDIUM,"Correct tag set: aba, parent-coaching (parent training is an explicitly listed service). Named BCBA: Dr. Shaketra Miller Johnson, PhD, BCBA (founder; her BCBA credential is confirmed on her professional profile, while the site itself lists only her MS in ABA and doctorate in Educational Psychology), with the required second signal supplied by co-founder William Johnson, a Registered Behavior Technician, and by ABA/autism being the site's core subject rather than footer chrome. Reservations: the /about page could not be loaded (robots.txt), so only one first-party page was read; the site does not publish a street address or phone, so the CSV values 3720 Coconut Creek Pkwy and 954-590-0647 are unverified rather than contradicted; and they serve adults as well as children."
9094,Williamsburg Therapy Group Miami,Coconut Grove,Y,Y,"psychotherapy practice - individual, couples, child and family talk therapy plus psychiatry/medication management",N,N,N,REMOVE,https://www.williamsburgtherapygroup.com/miami-fl,HIGH,"Out of scope under the counseling rule: the Miami page names only doctoral psychologists (Dr. Monica Nikc PsyD, Dr. Melissa Glass PsyD, Dr. Sofia Poma PhD, Dr. Naomi Ben-Ami PsyD, Dr. Daniel Selling PsyD) delivering psychotherapy, psychiatry, medication management and addiction treatment, with no ABA and no BCBA. I EXPLICITLY CHECKED THE AUTISM-EVALUATION EXCEPTION: autism is not mentioned anywhere on the site, ADOS is never referenced, and the only assessment offering is a generic org-wide 'neuropsychological evaluations' line that names no location - under TRAP 2 that group-level page is not evidence for this Miami office, so the exception does not rescue the record. INPUT CONTRADICTION: the practice publishes 305-363-1221 for this office, not the stored 786-889-4333, and describes the site as Coral Gables/Miami although the address 3390 Mary St #116 matches; the group also runs Brooklyn NY and Austin TX offices."
6888,Blossom Behavior Therapy,Coral Gables,Y,Y,"ABA therapy targeting communication, behavior reduction, social development and life skills, alongside a separate academic program",Y,unclear,Y,KEEP_ABA,http://www.blossombehaviortherapy.com/,MEDIUM,"Correct tag set: aba, life-skills (their ABA program explicitly targets communication, behavior reduction, social development, independence and life skills); add tutoring only if the 'Blossom Branches' academic program is confirmed standalone. BCBA: none named - no BCBA or RBT appears on the home or About page and none surfaced in searches, which is a real reservation for an ABA tag even though the practice name, the email domain blossomabaco.com and a dedicated ABA program page are consistent with genuine ABA delivery. Stored address 5915 Ponce de Leon and phone 305-397-8679 match the site exactly (no contradiction); table placement is resolved in favour of keeping because 'ABA Services' and the academic program are presented as separate offerings with a free consultation and tour, so ABA appears bookable without enrolling, but autism is never named explicitly on either page I read and the About page is partly filled with unrelated 'Little Comets Academy' content, so both the autism focus and the BCBA staffing should be re-verified by phone."
5838,Developmental Applied Behavior Solutions,Coral Gables,Y,Y,Center- and home-based ABA therapy for children with autism,Y,Y,Y,KEEP_ABA,https://www.appliedbhs.com/about,HIGH,"Full correct tag set: aba, parent-coaching, group-therapy, mobile-services (1:1 ABA, parent training, social-skills groups, home/school/community delivery, stated on both the home and About pages, so not chrome). BCBA: none named - the site says the team comprises Board Certified Behavior Analysts and Assistant Analysts overseeing RBTs, but owner/director Dr. Ingrid Roman is a licensed clinical psychologist rather than a BCBA, so the second signal is the RBT staffing model plus named clinical supervisors Rodolfo Sanchez and Chabeli Alech Vazquez. Input contradiction: CSV lists 2030 Douglas Rd, Coral Gables while the site publishes 2030 S Douglas Rd Suite 215, Miami FL 33134 (a third-party directory shows 33144); phone matches."
6582,"Health of Mind, Inc",Coral Gables,Y,Y,"Pediatric ABA therapy delivered in home, school and community settings",Y,Y,Y,KEEP_ABA,https://healthofmind.net/,HIGH,"Full correct tag set: aba, mobile-services (ABA delivered at home, in the community and at school on both the home and contact pages; no speech/OT/feeding or diagnostic services published, and the /services page 404s). Named BCBAs include Aleymi Santana Pedrero (BCBA, Senior Supervisor), Monica Carreras Martinez, Marah Reinoso Vega, Laura Morales, Karla Mollinedo, Maria C. Garcia and Andres Torrecillas under Clinical Director Dr. Frank Perez Verdecia, with BCaBA/RBT staffing and a BHCOE ABA accreditation listing as the second signal. Input contradiction: CSV says 2020 Ponce de Leon, Coral Gables while the practice publishes 2020 Ponce De Leon Blvd Suite 1201, Miami FL 33134 (same building, different city label); phone matches."
