id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
6649,Autism Mind,Davie,unclear,N,Unknown - no first-party evidence of any service could be found,unclear,N,unclear,REMOVE,https://forsale.godaddy.com/forsale/autismmind.com,LOW,"The stored site autismmind.com 302-redirects to a GoDaddy 'domain for sale' parking page, and searches of Sunbiz, NPI and the stored phone (954) 394-7011 returned no trace of the business, so 'Autism' in the name remains an unverified starting point and nothing supports the aba tag. Only surviving artifact is an old Facebook page (facebook.com/AutismMind) that is blocked by robots.txt and could not be loaded - if someone can open it, that is the one thing that could overturn this REMOVE."
7424,Avant-Garde Therapy,Davie,Y,Y,"Individual, couples, family and teen psychotherapy (EMDR, addiction, anxiety, depression)",N,N,N,REMOVE,http://a-gtherapy.com/,HIGH,"First-party site (address 4801 S University Dr #225 and phone 954-357-3333 both match the CSV exactly) shows a solo psychotherapy practice run by Fernando Campos, LMFT - out of scope under the counseling rule, with no ABA, no BCBA, no autism evaluation/ADOS offering and no autism mention at all, so this is not a chrome-vs-content question. Predominantly adult/couples caseload with teen therapy only, which also fails the adult-vs-pediatric test."
6806,Baudhuin Preschool,Davie,Y,Y,Autism-specific therapeutic preschool (ages 3-5) run with the School Board of Broward County,unclear,N,Y,KEEP_OTHER,https://education.nova.edu/about/department-schools/human-services/autism-institute.html,HIGH,"The stored bare nova.edu home page is not evidence for anything; I credited only the named program's own NSU pages (education.nova.edu autism-institute section and nova.edu/academics/centers/segal-childhood-studies.html), which describe Baudhuin specifically as an NAEYC-accredited preschool for children with an educational eligibility of autism, with embedded speech, OT and behavior-analytic support. This is a school/preschool, not a standalone ABA clinic, so the aba tag is wrong - it belongs in the schools/daycares side of the directory; staff are described as Board Certified ASSOCIATE Behavior Analysts (BCABA) with no individual named, so no named BCBA and no evidence of standalone ABA a parent could access without enrollment."
5819,Behavior Analysis Inc,Davie,Y,Y,Center-based and early-intervention ABA therapy for autism,Y,Y,Y,KEEP_ABA,https://www.behavior-analysis.org/locations-category/davie/,HIGH,"NOT a duplicate of 6557: the org's own first-party locations page publishes 8001 SW 36th St #9 as the 'Main Office' and 3501 S University Dr #9 as the separate 'Broward Treatment Center', and 'Florida Autism Treatment Centers' is BAI's center brand, so this is one organization at two published addresses rather than one record twice. Named BCBA Dr. David Garcia, Ed.D., BCBA-D on the first-party employees page plus dedicated per-program ABA pages (early intervention, children with autism) confirm ABA; caveat that this address is labeled the administrative main office, so if the directory dedupes to one entry 6557 (the treatment center) is the service location that should survive."
6701,Developmental Therapies And Beyond | ABA Therapy | Speech and language therapy | Occupational therapy,Davie,Y,Y,"Multidisciplinary pediatric therapy clinic - ABA plus speech, OT, PT, social skills groups and tutoring",Y,Y,Y,KEEP_ABA,https://www.developmentaltherapies.com/aba-therapy,HIGH,"The 'ABA Therapy' in the name is confirmed by a dedicated first-party /aba-therapy page whose content differs from the home page (not nav/footer chrome), and NPI 1407619760 corroborates the address and phone as a multi-specialty clinic with PT/OT/SLP taxonomies and a roster of behavior technicians and behavior analysts - the second signal the BCBA test requires. Reservation: no individual BCBA is named anywhere on the site, and the aba tag alone understates the practice, which should also carry speech-therapy, occupational-therapy, physical-therapy, group-therapy and tutoring; stored CSV address omits the suite (actual: Suite 203)."
6557,Florida Autism Treatment Center,Davie,Y,Y,Center-based ABA therapy for autistic children and young adults,Y,Y,Y,KEEP_ABA,https://www.behavior-analysis.org/locations-category/davie/,HIGH,"Same organization as 5819 under a second name (Florida Autism Treatment Centers is Behavior Analysis Inc.'s treatment-center brand) but a DISTINCT published facility: the first-party locations page lists this address as the 'Broward Treatment Center', so both rows are legitimate, and this is the one to keep if only one survives. Reservation: the stored phone (954) 533-4845 does not appear anywhere on the first-party site, which publishes (954) 577-7790 for both Davie locations and the stored suite '#9' is omitted from the CSV address."
6855,Healing Words Therapy,Davie,Y,Y,"Psychotherapy/counseling (anxiety, depression, trauma, OCD, couples and family)",N,N,N,REMOVE,https://www.healingwordstherapy.com/,MEDIUM,"First-party site (phone 954-866-4941 matches the CSV) presents a talk-therapy practice with named therapists Amanda Walch and Leslie Wondra and a service menu of anxiety, depression, trauma/PTSD, OCD, perinatal, couples/family and child/teen counseling - no ABA, no BCBA, and no autism, ADOS or autism-evaluation offering, so the counseling rule puts it out of scope. Quality is MEDIUM not HIGH because I could only load the home page: the /services page returned 404, so I could not cross-check the service list against a second page for chrome."
6210,Integral Behavior Solutions Corp.,Davie,Y,N,Behavior-analytic services (ABA) delivered by behavior analysts and behavior technicians,Y,Y,unclear,KEEP_ABA,https://npiprofile.com/npi/1598167660,MEDIUM,"The CSV's literal 'null' website is accurate - no first-party site exists under either the corporate name or its DBA 'Tiny Wonders' - but NPI 1598167660 is active (last NPPES update Feb 2025) with primary taxonomy 103K00000X Behavior Analyst plus secondary 106S00000X Behavior Technician, and its address (5400 S University Dr Ste 310) and phone (305) 305-3573 match the CSV exactly; authorized official is Yenisleydi Gonzalez, President. The taxonomy pair is the whole basis for the aba tag since no page states what they do, so autism specificity is unestablished (marked unclear) and evidence is MEDIUM, registry-only, not a provider page."
6550,Joshua's Path Disability Services of Goodman JFS,Davie,Y,Y,Social/life skills day program and caregiver support for neurodivergent adults,N,N,Y,KEEP_OTHER,https://www.jfsbroward.org/services/joshuas-path-boost-disability-services/,HIGH,"First-party program page specific to Joshua's Path (not the JFS Broward parent agency) describes the 10-month BOOST social-skills course, community lessons, caregiver support groups and referral services for neurodivergent adults, with no ABA, BCBA or RBT mention anywhere. The aba tag is wrong; correct tags are life-skills, support-groups and parent-coaching, and this is an adult-only program."
6916,Mindful Lotus Therapy Inc.,Davie,Y,Y,"Outpatient psychotherapy/counseling (EMDR, DBT, CBT) for anxiety, depression, trauma and grief",N,N,N,REMOVE,https://www.mindfullotustherapyfl.com/our-team,HIGH,"First-party home and team pages show a ten-clinician talk-therapy practice (MSW, LCSW, LMHC, MFT, CMHC only, no BCBA and no psychologist), offering EMDR/DBT/CBT for anxiety, depression, trauma, grief and life transitions. It does NOT perform autism diagnostic evaluation or ADOS testing and never mentions autism at all, so it is out of scope under the counseling rule with no diagnostic-evaluation exception available."
