id,name,city,slug,website,phone,services,source
6011,Insight Behavioral Center,Pembroke Pines,insight-behavioral-center-pembroke-pines-fl-6011,null,(954) 388-0800,"[""aba""]",legacy_migration
6038,"The Center for Codependency Recovery- Suzi Marsh Meffen Clinical Social Work/Therapist, BBA, MSW, LCSW",Palm Bay,the-center-for-codependency-recovery-suzi-marsh-meffen-clinical-social-worktherapist-bba-msw-lcsw-palm-bay-fl-6038,http://suzimeffen.com/,(678) 570-8169,"[""aba""]",legacy_migration
6525,Devereux Therapeutic Foster Care Dade,Pembroke Pines,devereux-therapeutic-foster-care-dade-pembroke-pines-fl-6525,http://www.devereux.org/site/PageServer?pagename=fl_fostercare_programs,(954) 962-1225,"[""aba""]",legacy_migration
6630,Compass Health Systems,Pembroke Pines,compass-health-systems-pembroke-pines-fl-6630,http://www.compasshealthsystems.com/,(305) 891-0050,"[""aba""]",legacy_migration
6649,Autism Mind,Davie,autism-mind-davie-fl-6649,http://www.autismmind.com/,(954) 394-7011,"[""aba""]",legacy_migration
6777,Advanced Behavioral Care,Palm Bay,advanced-behavioral-care-palm-bay-fl-6777,http://www.advancedbehavioralcare.org/,(321) 622-3222,"[""aba""]",legacy_migration
6855,Healing Words Therapy,Davie,healing-words-therapy-davie-fl-6855,https://www.healingwordstherapy.com/,(954) 866-4941,"[""aba""]",legacy_migration
6912,TMZ BEHAVIORAL CARE: Dr. Charline Boufin,Davie,tmz-behavioral-care-dr-charline-boufin-davie-fl-6912,https://www.tmzbehavioralcare.com/,(754) 333-1609,"[""aba""]",legacy_migration
6916,Mindful Lotus Therapy Inc.,Davie,mindful-lotus-therapy-inc-davie-fl-6916,https://www.mindfullotustherapyfl.com/,(754) 248-9589,"[""aba""]",legacy_migration
7169,"All in Mental Health, LLC",Palm Bay,all-in-mental-health-llc-palm-bay-fl-7169,http://allinmentalhealth.com/,(321) 914-0113,"[""aba""]",legacy_migration
7424,Avant-Garde Therapy,Davie,avant-garde-therapy-davie-fl-7424,http://a-gtherapy.com/,(954) 357-3333,"[""aba""]",legacy_migration
8900,Winning Hearts IM A+ Personal Transformation Services,Palm Bay,winning-hearts-im-a-personal-transformation-services-palm-bay-fl-8900,https://winninghearts2.org/,(321) 327-4091,"[""aba""]",legacy_migration
8978,South Brevard Behavioral Med,Palm Bay,south-brevard-behavioral-med-palm-bay-fl-8978,null,(321) 676-3474,"[""aba""]",legacy_migration
9011,"Mylan Kaltman, PsyD",Palm Bay,mylan-kaltman-psyd-palm-bay-fl-9011,http://www.atlanticpsych.com/,(321) 724-1614,"[""aba""]",legacy_migration
10355,Achievers Academy,Pembroke Pines,achievers-academy-pembroke-pines-fl-10355,null,(954) 447-9962,"[""aba""]",legacy_migration
