id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
7344,"Mattee K. Ramasar, Occupational",Coral Springs,Y,N,Adult occupational therapy at a worksite/hospital employee health clinic,N,N,N,REMOVE,https://npiprofile.com/npi/1598956609,MEDIUM,"NPI 1598956609 carries only the GENERIC OT taxonomy 225X00000X, not pediatric 225XP0200X, so license type proves nothing and the setting decides it. Practice address 3100 Coral Hills Dr matches the CSV and is listed as Premise Health - City of Coral Springs, an employer-sponsored worksite health center, while her LinkedIn lists her as Senior Occupational Therapist at Broward Health Coral Springs hospital: both adult caseloads, no pediatric or autism practice found anywhere. No website of her own and no BCBA; REMOVE as adult OT, the same failure that removed ten prior records."
6745,"The Helping Place, LLC/PTSD Solutions Therapy",Coral Springs,Y,Y,"Trauma and PTSD counseling practice (Reset Therapy, EMDR, CBT, solution-focused)",N,N,N,REMOVE,http://www.ptsdsolutionstherapy.com/,HIGH,"Verified before applying the rule: the first-party site is live and is exclusively a trauma/PTSD counseling practice run by Dr. Howard Chusid, Ed.D., a Florida Licensed Mental Health Counselor (MH-10180, NOT a psychologist and NOT a BCBA), offering Reset Therapy, EMDR, CBT and solution-focused therapy - PTSD and trauma treatment is named explicitly in the counseling scope rule as out of scope, so this is REMOVE. I checked the diagnostic exception directly: neither the site nor his APA Locator profile advertises autism diagnostic evaluation or ADOS testing, and his listed focus areas are ADHD, behavioral problems, trauma/PTSD, family counseling and learning disabilities with no autism specialty, so nothing converts this to KEEP_OTHER. Input values check out - phone (954) 455-0388 and the Coral Springs office at 5571 N University Dr both match his own published listings, though his primary office is Hallandale (3001 W Hallandale Beach Blvd Ste 302) and the caseload spans children through seniors, an additional adult-practice concern."
6574,"A Helping Hand, Inc",Daytona Beach,Y,Y,"Community mental-health agency: psychiatric evaluation, medication management, counseling and targeted case management",N,N,N,REMOVE,https://www.helpinghandinc.org/services,HIGH,"The opaque nonprofit name resolves to a 35-year-old behavioral-health agency, not a disability service organisation or food bank: home and services pages both list psychiatric evaluations, medication management, individual/family therapy, in-home and school-based counseling, targeted case management, ADHD support, GeneSight testing, Spravato esketamine and a men's testosterone clinic. Primary service is talk therapy and medication management, so REMOVE under the counseling scope rule; the autism-evaluation exception does not apply, as neither page mentions autism, developmental disability, ADOS testing, ABA, RBTs or any BCBA. INPUT NOTE: the CSV address 1190 Pelican Bay Dr matches their psychiatric clinic but the agency's own main office is published as 1060 Pelican Bay Dr, and the CSV phone (386) 868-1992 matches the agency line."
6608,Coastal Mental Health Center,Daytona Beach,Y,Y,"Outpatient psychiatry and talk therapy (psychiatric evaluation, medication management, individual/group/family therapy)",N,N,N,REMOVE,http://www.coastalmhc.com/services,HIGH,"Loaded the home page and the services page separately: the enumerated service list is Psychiatric Evaluation, Medication Management, Mental Health Assessments, Individual Therapy, Group Therapy and Family Therapy - primary service is talk therapy plus medication management, which is REMOVE under the counseling scope rule. I checked the autism-evaluation exception explicitly and it does NOT apply: no ADOS, no autism or psychological/psychoeducational testing, no autism mention at all on either page, and no ABA, RBT or BCBA anywhere. CSV address 149 S Ridgewood Ave matches their published Daytona Beach office (Suite 310) and the 800-614-4124 phone matches; it is one of nine Central Florida sites, and per Trap 2 nothing at the parent level changes this since the whole organisation is mental health."
9071,"Debbie J. Rafferty, OT",Daytona Beach,unclear,N,Occupational therapy ASSISTANT at a general adult outpatient rehab clinic (now closed),N,N,N,REMOVE,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1669502381,MEDIUM,"NPI 1669502381 is Debbie Jane Rafferty, credential OT ASSISTANT (FL license OTA 9618) with the GENERIC taxonomy 224Z00000X, not an OT and not pediatric; CSV phone 386-252-7837 and address 1104 Beville Rd match the NPI exactly, but that record was last updated in 2007. The setting at 1104 Beville Rd Ste J is First Step Therapeutics, a general outpatient physical-therapy/rehab clinic (sports injuries, auto accidents, post-op, falls, strokes) that Yelp now marks CLOSED - an adult orthopedic/neuro caseload with no pediatric, developmental or autism component found. No website, no BCBA, no autism relevance: REMOVE; caveat that the directory service blurb is generic category text, so the adult read rests on the closed clinic's PT categorisation plus the assistant-level credential."
8461,"Shannon C. Bright, MS",Daytona Beach,unclear,N,"Solo speech-language pathology (discipline established as SLP, not OT)",N,N,unclear,UNCLEAR,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1629235460,MEDIUM,"'MS' resolves to Shannon Corley Bright, MS CCC-SLP, NPI 1629235460, taxonomy 235Z00000X (GENERIC speech-language pathologist, which does not distinguish pediatric from adult), FL license SA3516 - so she is an SLP, not an OT and not a behavior analyst. INPUT CONTRADICTION: the CSV phone 904-215-3324 matches her NPI exactly but the NPI address is 2300 Park Ave Ste 204, Orange Park FL, not Daytona Beach, and the 904 area code confirms Clay County; a SpeechBuddy profile places her in Fleming Island doing in-office and home visits. I could NOT establish the physical setting, the caseload age mix, current operation (NPI untouched since 2008), any practice affiliation, or any autism/DD focus, so this is an honest UNCLEAR rather than a guessed keep; delivers_aba is N with confidence."
7369,The Front Porch,Daytona Beach,Y,Y,"Outpatient counseling and addiction treatment for adults, couples and families",N,N,N,REMOVE,https://frontporch.support/,HIGH,"The opaque name and frontporch.support domain resolve to a counseling practice: individual therapy for anxiety, depression, mood disorders and trauma/PTSD, substance-use and sex-addiction treatment using EMDR and DBT/CBT, plus couples, family and pre-marital counseling, in person and by telehealth. Primary service is talk therapy including explicit TRAUMA/PTSD work, which is squarely REMOVE under the counseling scope rule, and it does NOT serve autistic or developmentally disabled people specifically - autism, developmental disability, ABA and BCBA appear nowhere on the site. CSV address 116 Bay St and phone (386) 244-7763 both match the values the practice publishes; the stored URL works."
6889,Angelic Steps Therapy,Hollywood,Y,Y,"Applied Behavior Analysis for children and adults with autism, delivered in home, school and community settings",Y,Y,Y,KEEP_ABA,https://www.angelicsteps.com/therapy,HIGH,"BCBA test passes: a dedicated ABA page distinct from the home page (not chrome - the two pages differ) describes behavioral assessments, 1.5-4 hour sessions, BCBA oversight and BCBA-supervised RBTs, corroborated by organisational NPI 1902395122 under a behavior-analyst taxonomy - but NO INDIVIDUAL BCBA IS NAMED on the site (none named; LinkedIn shows Nicole Nwokey as Clinical Director, credential unconfirmed), so this is the weaker form of keep. Full correct tag set: aba, parent-coaching (parent seminars and training), mobile-services (home/school/community delivery); ABA is delivered outside the building so it is NOT restricted to children enrolled in their separate Academy arm, whose K-12 school and PlayHouse sensory gym belong in other tables. INPUT CONTRADICTION: the CSV puts 3341 N University Dr in Hollywood while the provider publishes that same street address as Davie, FL 33024."
5830,Child Therapy and Parenting Center,Hollywood,Y,Y,"Pediatric psychotherapy - play therapy, infant/early-childhood mental health assessment and parenting support",N,N,N,REMOVE,http://www.childtherapypc.com/services,HIGH,"'Child Therapy' here means pediatric PSYCHOTHERAPY, not a directory-listed service: the sole clinician is a Licensed Clinical Social Worker and Registered Play Therapist-Supervisor, and the priced service list is Infant and Early Childhood Mental Health Assessments (0-5), Play Therapy (3-12), the Circle of Security parenting group and one-to-one parenting support, addressing trauma, aggression, anxiety and grief - talk therapy, so REMOVE under the counseling scope rule. Parent coaching IS a real standalone bookable offering here (both the Circle of Security group and individual parenting sessions, virtual available), but it is adjunct to a psychotherapy practice rather than an autism service, and the autism-evaluation exception does not apply - across the home and services pages there is no autism or ASD mention at all, no ADOS or diagnostic testing, no ABA and no BCBA. CSV address 3860 Sheridan St C and phone (954) 593-0510 both match the values the practice publishes."
9099,Family Enrichment Behavioral Health Services,Hollywood,Y,Y,Community behavioral health / developmental disability services - individual and group behavioral training toward independence,unclear,N,Y,KEEP_OTHER,https://www.febhs.org/febhs-about-us,MEDIUM,"The BCBA test, not the name, decides this one and it fails the ABA half: NO BCBA appears anywhere - the about page names only Yves Joseph, and NPI 1821240185 lists him as CEO with the sister entity 1588065676 showing 'Yves Joseph, MS CABA' (assistant-level, not board certified), while the taxonomy on both is 251S00000X Community/Behavioral Health rather than 103K00000X Behavior Analyst, so the aba tag is not supported. It is nonetheless genuinely in scope: page-specific about-page text (not chrome - the home page carries only a generic ABA definition) states it serves individuals 'diagnosed with intellectual disabilities, Cerebral Palsy, Autism Spectrum Disorder and other developmental syndromes' and pioneered Medicaid group therapy alongside individual training. Full correct tag set: group-therapy, life-skills - drop aba unless a named BCBA can be produced; reservations: the site is only three pages with no service menu and no address published, so the CSV's 3829 Hollywood Blvd # D is unconfirmed by the provider (phone (954) 367-3600 matches), and it is unclear whether the caseload is children, adults, or both."
