id,name,city,slug,website,phone,services,source
5830,Child Therapy and Parenting Center,Hollywood,child-therapy-and-parenting-center-hollywood-fl-5830,http://www.childtherapypc.com/,(954) 593-0510,"[""aba""]",legacy_migration
6574,"A Helping Hand, Inc",Daytona Beach,a-helping-hand-inc-daytona-beach-fl-6574,https://www.helpinghandinc.org/,(386) 868-1992,"[""aba""]",legacy_migration
6608,Coastal Mental Health Center,Daytona Beach,coastal-mental-health-center-daytona-beach-fl-6608,http://www.coastalmhc.com/,(800) 614-4124,"[""aba""]",legacy_migration
6745,"The Helping Place, LLC/PTSD Solutions Therapy",Coral Springs,the-helping-place-llcptsd-solutions-therapy-coral-springs-fl-6745,http://www.ptsdsolutionstherapy.com/,(954) 455-0388,"[""aba""]",legacy_migration
6816,JD the OT LLC,Largo,jd-the-ot-llc-largo-fl-6816,http://jdtheot.com/,(727) 222-3762,"[""aba""]",legacy_migration
7188,"The Therapy Labs by Rosa Barroso, LMHC",Miami Lakes,the-therapy-labs-by-rosa-barroso-lmhc-miami-lakes-fl-7188,https://thetherapylabs.com/,(305) 530-8119,"[""aba""]",legacy_migration
7241,Down Syndrome Association of Central Florida,Winter Park,down-syndrome-association-of-central-florida-winter-park-fl-7241,http://www.dsacf.org/,(407) 478-5621,"[""aba""]",legacy_migration
7312,Your Narrative Counseling & Therapeutic Services,Hollywood,your-narrative-counseling-therapeutic-services-hollywood-fl-7312,http://www.yournarrativecounseling.com/,(754) 400-1689,"[""aba""]",legacy_migration
7344,"Mattee K. Ramasar, Occupational",Coral Springs,mattee-k-ramasar-occupational-coral-springs-fl-7344,null,(954) 344-3180,"[""aba""]",legacy_migration
7369,The Front Porch,Daytona Beach,the-front-porch-daytona-beach-fl-7369,https://frontporch.support/,(386) 244-7763,"[""aba""]",legacy_migration
7447,Threshold Center For Autism,Winter Park,threshold-center-for-autism-winter-park-fl-7447,null,(407) 671-7060,"[""aba""]",legacy_migration
9071,"Debbie J. Rafferty, OT",Daytona Beach,debbie-j-rafferty-ot-daytona-beach-fl-9071,null,(386) 252-7837,"[""aba""]",legacy_migration
