city,aba_only_legacy_migration
Tallahassee,58
Lakeland,49
Orlando,41
Tampa,34
Jacksonville,31
Gainesville,29
Miami,28
Fort Myers,25
Port St. Lucie,23
Cape Coral,21
Spring Hill,17
Clearwater,15
West Palm Beach,15
Pembroke Pines,12
Hialeah,12
Davie,11
Palm Bay,11
Winter Park,11
Daytona Beach,9
Miami Lakes,8
Hollywood,8
Ormond Beach,7
North Miami Beach,7
Largo,6
Coral Gables,6
Fort Lauderdale,5
Coral Springs,5
Brooksville,4
Aventura,4
Weston,4
Port Orange,3
Lake Worth Beach,3
Miramar,3
Greenacres,3
North Miami,3
Miami Springs,3
Dunedin,2
Lake Park,2
Holly Hill,2
South Daytona,2
Plantation,2
South Miami,2
Hallandale Beach,2
Maitland,2
Lauderhill,2
Miami Beach,2
Tamarac,2
Stuart,1
Oakland Park,1
Daytona Beach Shores,1
West Melbourne,1
Sunrise,1
Miami Gardens,1
Riviera Beach,1
Palm Springs,1
Dania Beach,1
Coconut Creek,1
Wilton Manors,1
Coconut Grove,1
Palm City,1
Belle Isle,1
Margate,1
North Lauderdale,1
