# ABA INDIVIDUAL REVIEW - records whose domain appears exactly once in the shortlist,
# plus 2 records that have no domain at all (ids 6326, 6338 - matched by phone only).
# Source: curation/aba_shortlist_2026-08-18.csv (424 rows). Generated 2026-08-18.
#
# One row = one organization. The excerpt is that organization's own website text, so it is
# adjudicable as-is in most cases. Fill keith_verdict with Y or N.
#
# needs_website - open the site regardless of what the excerpt says:
#   EMPTY-EXCERPT  flag is true but no evidence text was stored
#   NAME-ARTIFACT  excerpt is the literal string #NAME? (spreadsheet corruption)
"id","name","canonical_city","services","aba_flag","aba_excerpt","domain","join_method","needs_website","keith_verdict","keith_note"
"6725","ABA Therapy Center: On & Up Behavior Therapy","AVENTURA","aba","TRUE","nd data driven decisions, which enable us to provide effective and high quality ABA therapy. We are committed to the ethical practice of ABA and abide by the Profe","onupbehavior.com","both","","",""
"6769","Spring Health Autism Intervention","AVENTURA","aba","TRUE","enu Facebook Instagram Spring Health Autism Intervention! We offer personalized ABA services Discover Contact us today! Services with family collaboration Evidence","springhealthautism.com","both","","",""
"8892","Thrive Behavioral Therapy","AVENTURA","group-therapy|aba|ados-testing|parent-coaching","TRUE","ABA Therapy at Home - Thrive Behavioral Therapy IN HOME AND SCHOOL ABA IN MIAMI-DAD","thrivebehavioraltherapy.com","both","","",""
"7349","The Kelly Behavioral Institute","BELLE ISLE","aba","TRUE","ORE HELP? Who we are The Behavior Institute provides Applied Behavior Analysis (ABA) therapy, consulting, and training. Therapy focuses on treating children and ad","kellybehavioralinstitute.com","both","","",""
"7346","The Play Base ABA Therapy","BOCA RATON","executive-function-coaching|aba","TRUE","Child Behavioral Therapist ABA Autism Therapy ADHD Treatment, IBI FLORIDA Skip to content Discovering Beautifu","us.theplaybase.com","both","","",""
"7408","Two Hearts ABA Therapy","BOCA RATON","life-skills|group-therapy|parent-coaching|aba","TRUE","Two Hearts ABA Therapy – Best Therapy Ever Mission and Vision Statements: Our mission is to pr","twoheartsaba.com","both","","",""
"6675","ABA For Life Behavioral Solutions","CAPE CORAL","aba","TRUE","","abaforlifebs.my.canva.site","both","EMPTY-EXCERPT","",""
"7222","ABC CHILDREN BEHAVIOR ABA Therapy","CAPE CORAL","aba|parent-coaching","TRUE"," AND TASKS Loading days... Book Now Private insurances Loading days... Book Now ABA Therapy 1 hr Book Now Contact with ABC CHILDREN BEHAVIOR bottom of page ABC CHI","abcchildrenbehaviorabatherapy.com","both","","",""
"9042","Behavior Management Center Inc","CAPE CORAL","aba","TRUE","ABA Therapy in Cape Coral | BehaviorMC Home About us Mission Background Services RB","behaviormc.com","both","","",""
"8796","Confident Minds LLC, ABA Therapy","CAPE CORAL","aba","TRUE","arted on the path to a great behavioral health! Learn more Were you referred to ABA therapy? We are here to help and guide you through the whole process. Confident","confidentmindsllc.com","both","","",""
"7319","Crystal Angels Behavior Center Inc","CAPE CORAL","aba","TRUE","ty. We are more than happy to guide you through our process personally. What is ABA? – CRYSTAL ANGELS BEHAVIOR CENTER . INC Skip to content what is ABA Applied Beh","crystalangelsbehavior.com","both","","",""
"7010","Meraki Behavior Therapy LLC","CAPE CORAL","life-skills|aba|speech-therapy|physical-therapy|occupational-therapy|support-groups|parent-coaching","TRUE","ily-Centered Behavioral Therapy Meraki delivers lasting, meaningful progress in ABA therapy for children across Cape Coral, Fort Myers, Lehigh, Naples, and Port Ch","merakibehaviortherapy.com","both","","",""
