id,name,address,address1,address2,city,canonical_city,zip_code,phone,website,review_reason
6492,Renewed Integrative Counseling,1074 #103,1074,Suite,Lakeland,LAKELAND,33803,(863) 904-1541,http://www.renewedic.com/lakeland,Address contains only numbers - needs street name
6521,Learn and Rise,5130 #410,5130,Suite,Lakeland,LAKELAND,33813,(863) 816-4253,https://sites.google.com/view/learn-and-rise-behaviortherapy/p%C3%A1gina-principal,Address contains only numbers - needs street name
6740,I-BOS Counseling Center,2503 410 Del Prado Blvd S S Suite,2503 410 Del Prado Blvd S S,Suite,Cape Coral,CAPE CORAL,33904,(239) 443-6385,http://www.iboscounseling.com/,address2 incomplete keyword only
6754,Center For Independent Living - Lauderdale Lakes,4800 #102,4800,Suite,Lauderdale Lakes,LAUDERDALE LAKES,33319,(954) 722-6400,http://www.cilbroward.org/,Address contains only numbers - needs street name
6835,"Children's Communication Center, Inc.",Armistead Rd,Armi,Suite,Tallahassee,TALLAHASSEE,32308,(850) 386-8886,http://www.childrenscommunication.com/,address1 has no street number - appears to be building name only
6933,"Everyday ABA, LLC",Eber Boulevard,Eber Blvd,null,Melbourne,MELBOURNE,32904,(321) 536-3532,http://www.everydayaba.com/,address1 has no street number - appears to be building name only
6938,FSU Speech and Hearing Clinic,"Warren Building, 201 W Bloxham St",Warren,Building,Tallahassee,TALLAHASSEE,32301,(850) 644-2238,https://commdisorders.cci.fsu.edu/speech-hearing-clinic/,address1 has no street number - appears to be building name only
6971,Foundations Therapy - Clearwater,2753,2753,null,Clearwater,CLEARWATER,33761,(727) 724-5437,http://foundationstherapy.net/,Address contains only numbers - needs street name
7013,"Holladay Child Development Services, LLC",5302 #202,5302,Suite,Lakeland,LAKELAND,33813,(863) 937-8067,http://hcds.org/,Address contains only numbers - needs street name
7141,FIRST WORDS Project - Tallahassee,"Edgewater Office Park, Bldg. A, 2312 Killearn Center Blvd",Edgewater Office Park,Building A,Tallahassee,TALLAHASSEE,32309,(866) 526-8919,http://www.firstwordsproject.com/,address1 has no street number - appears to be building name only
7179,PT Solutions of Lakeland - Christina Lake,6419,6419,null,Lakeland,LAKELAND,33813,(863) 210-5002,https://ptsolutions.com/find-a-clinic/fl/lakeland/lakeland-christina-lake/?utm_source=google&utm_medium=organic&utm_campaign=GMB-PT-Solutions-Lakeland-Christina-Lake&utm_content=listing,Address contains only numbers - needs street name
7184,R & R Travel Therapy,3050 Highland Oaks Terrace Unit,3050 Highland Oaks Ter,Suite,Tallahassee,TALLAHASSEE,32301,(850) 296-0930,http://randrtraveltherapy.com/,address2 incomplete keyword only
7243,Azul Therapy Services Inc. - 2140 W,2140 W #102,2140 W,Suite,Miami,MIAMI,33135,(786) 409-2646,http://azultherapyservices.com/,address1 incomplete - only number + directional (no street name)
7245,"Kara T Vaassen MS, LMHC",1913,1913,null,Lakeland,LAKELAND,33803,(863) 284-2699,http://www.kidsawarenessseries.com/,Address contains only numbers - needs street name
7260,Serene Mind Counseling + Evaluations,730 S #301,730 S,Suite,Tampa,TAMPA,33609,(813) 321-8280,http://www.serenemindpsych.com/,address1 incomplete - only number + directional (no street name)
7289,Playful Paths Speech Therapy,6421 N,6421 N,null,Tampa,TAMPA,33604,(407) 718-7412,https://www.playfulpathstherapy.com/,address1 incomplete - only number + directional (no street name)
7342,Step Forward ABA,1806 N #110,1806 N,Suite,Pembroke Pines,PEMBROKE PINES,33028,(786) 673-9355,https://stepforwardaba.com/?utm_campaign=GoogleMyBusinessPP,address1 incomplete - only number + directional (no street name)
7367,Yes of America United Inc,9502 N,9502 N,null,Tampa,TAMPA,33612,(813) 420-7708,https://www.yesunited.org/,address1 incomplete - only number + directional (no street name)
7408,Two Hearts ABA Therapy,23123,23123,null,Boca Raton,BOCA RATON,33428,(561) 461-7273,http://www.twoheartsaba.com/,Address contains only numbers - needs street name
7487,"Steps Therapy Center, Corp",4800 W # 215,4800 W,Suite,Coral Gables,CORAL GABLES,33134,(954) 368-4786,https://stepstherapycenter.com/,address1 incomplete - only number + directional (no street name)
8066,Helping Hands,GAINESVILLE,Gainesville,null,Gainesville,GAINESVILLE,32601,(352) 519-5542,http://www.hhclinicgnv.org/,address1 has no street number - appears to be building name only
8434,Inspire Vision Therapy and Rehab,SHERIDAN EXECUTIVE CENTER,Sheridan Executive Center,null,Hollywood,HOLLYWOOD,33021,(754) 231-1632,http://www.inspirevisiontherapy.net/,address1 has no street number - appears to be building name only
8470,Sport & Spine Physical Therapy & Wellness Center,17824 N,17824 N,null,Lutz,LUTZ,33549,(813) 910-9040,http://www.ssptwc.com/,address1 incomplete - only number + directional (no street name)
8475,Children's Learning Clinic,FLORIDA STATE UNIVERSITY,Florida State University,null,Tallahassee,TALLAHASSEE,32304,(850) 645-7423,https://psy.fsu.edu/clc/,address1 has no street number - appears to be building name only
8490,Baptist Behavioral Health - Wolfson Children's Bridge Program,PAVILION BLDG,Pavilion,Building,Jacksonville,JACKSONVILLE,32207,(904) 376-3800,https://www.baptistjax.com/services/behavioral-health,"address1 has no street number - appears to be building name only | address1 appears to be building name, address2 is generic | address2 incomplete keyword only"
8556,SPEECH LANGUAGE PATHOLOGIST - Wellington,WELLINGTON,Wellington,null,Wellington,WELLINGTON,33414,(561) 641-5757,http://creativetherapysolutions.com/,address1 has no street number - appears to be building name only
8866,"Marie H. Guilford, PHD",3050 Highland Oaks Terrace Unit,3050 Highland Oaks Ter,Suite,Tallahassee,TALLAHASSEE,32301,(850) 224-5801,http://mariehumeguilfordphd.com/,address2 incomplete keyword only
8936,Stepping Forward ABA LLC,S Goldenrod Rd,S Goldenrod Rd,null,Orlando,ORLANDO,32822,(407) 325-0235,http://www.steppingforwardaba.com/,address1 has no street number - appears to be building name only
9069,My Optimal Child,"Latitude Office Building, 175 SW 7th St",Latitude Office,Building,Miami,MIAMI,33130,(786) 584-6372,http://www.myoptimalchild.com/,address1 has no street number - appears to be building name only
9086,FIRST STEP THERAPY - Lakeland,520,520,null,Lakeland,LAKELAND,33801,(863) 268-2608,http://www.firststep-therapy.com/,Address contains only numbers - needs street name
9087,Hope Broker Williams Family Therapy,5120,5120,null,Lakeland,LAKELAND,33813,(863) 624-5818,http://hope4youtherapy.com/,Address contains only numbers - needs street name
9109,Hope Counseling Centers,4404,4404,null,Lakeland,LAKELAND,33813,(863) 709-8110,https://hopecounselingeap.com/?y_source=1_MzA2MTE0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Address contains only numbers - needs street name
9179,Speech With A Twist,7800 SW 57TH AVE SUITE,7800 Sw 57th Ave,Suite,Miami,MIAMI,33143,(305) 975-5234,https://www.instagram.com/speechwithatwist/,address2 incomplete keyword only
9222,Better Speech of Palm Beach,12300 FL A1AALT SUITE,12300 Fl A1aalt,Suite,Palm Beach Gardens,PALM BEACH GARDENS,33410,(561) 248-4367,http://www.betterspeechofpb.com/,address2 incomplete keyword only
9235,FSU School of Communication Science and Disorders,WARREN BUILDING,Warren,Building,Tallahassee,TALLAHASSEE,32301,(850) 644-2253,http://commdisorders.cci.fsu.edu/,"address1 has no street number - appears to be building name only | address1 appears to be building name, address2 is generic | address2 incomplete keyword only"
9254,"Our Speech Garden, LLC.",TAMPA,Tampa,null,Tampa,TAMPA,33625,(813) 738-4376,http://www.ourspeechgarden.com/,address1 has no street number - appears to be building name only
9256,"Sweet Speech, LLC",OVIEDO,Oviedo,null,Oviedo,OVIEDO,32765,(407) 426-4060,http://www.sweet-speech.com/,address1 has no street number - appears to be building name only
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,420,420,null,Wellington,WELLINGTON,33414,(561) 568-9367,https://sq1behavioral.com/,Address contains only numbers - needs street name
