id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url
9759,Darwin Chiropractic Center,Gainesville,GAINESVILLE,physical-therapy,Google Places (PT/OT/ST),FALSE,http://darwinchiro.com/,,
9301,Palm Garden of Gainesville,Gainesville,GAINESVILLE,occupational-therapy,Google Places (PT/OT/ST),FALSE,http://palmgardenofgainesville.com/,,
10146,Brooks Rehabilitation Home Health - Daytona Beach,Holly Hill,HOLLY HILL,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://brooksrehab.org/locations/home-health-daytona/?utm_source=listings&utm_medium=organic&utm_campaign=yext&utm_content=daytona-hh,,
9591,Back To Mind Chiropractic - Hollywood,Hollywood,HOLLYWOOD,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.backtomind.com/hollywood-chiropractor/?utm_source=google&utm_medium=gmb&utm_campaign=seo,,
10112,KidsCare Home Health - Florida Region 10 - 8569 Pines Blvd,Hollywood,HOLLYWOOD,null,Google Places (PT/OT/ST),FALSE,https://kidscarehomehealth.com/florida/,,
9285,Ony-X Fitness Therapy & Sports Rehab,Hollywood,HOLLYWOOD,occupational-therapy,Google Places (PT/OT/ST),FALSE,http://www.onyxfitnesstherapy.com/,,
9565,Sacred Space Therapy / Grounded Ventures LLC,Hollywood,HOLLYWOOD,physical-therapy,Google Places (PT/OT/ST),FALSE,http://www.sacredtherapy.space/,,
10238,Angels of Care Pediatric Home Health,Jacksonville,JACKSONVILLE,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://angelsofcare.com/,,
9415,ChildGarden Center | Integral Therapy - Lake Worth,Lake Worth,LAKE WORTH,null,Google Places (PT/OT/ST),FALSE,http://www.childgardens.com/,,
9255,Space Coast Early Steps,Melbourne,MELBOURNE,speech-therapy,Google Places (PT/OT/ST),FALSE,http://spacecoastes.org/,,
9619,Healthspan,Miami,MIAMI,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.healthspanrecovery.com/membership,,
9810,Nicklaus Children's Nirvair Chowdhury Midtown Urgent Care Center,Miami,MIAMI,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.nicklauschildrens.org/locations/urgent-care/midtown-outpatient-center,,
