id,name,keith_verdict,actual_type,status,dupe_of,keith_decision,keith_note,services_supported,services_contradicted,keith_url,confidence
9415,ChildGarden Center | Integral Therapy - Lake Worth,Y,ABA_PROVIDER,KEEPER_NO_ACTION,,"Is this a dupe of 6984? Also, see ""keith_note"" column - do the ST and OT tags apply here? And if so, is this record tagged with them?","Pediatric ABA, speech, OT clinic for autism",,,http://www.childgardens.com/,HIGH
6984,ChildGarden Center | Integral Therapy - Lake Worth Beach,Y,ABA_PROVIDER,KEEPER_NO_ACTION,,"Is this a dupe of 9415? Also, see ""keith_note"" column - do the ST and OT tags apply here? And if so, is this record tagged with them?","Pediatric ABA, speech, OT clinic for autism",,,http://www.childgardens.com/,HIGH
10360,Quest Kids Therapy - Winter Garden,Y,ABA_PROVIDER,KEEPER_NO_ACTION,,,ABA therapy provider for autistic children and teens,,,https://questinc.org/quest-kids-therapy/,HIGH
9255,Space Coast Early Steps,Y,GOVERNMENT_AGENCY,KEEPER_NO_ACTION,,Government agency - do this entity provide services?,State Part C early intervention for infants/toddlers with delays,speech-therapy,,https://floridaearlysteps.com/region/space-coast/,HIGH
10238,Angels of Care Pediatric Home Health,Y,HOME_CARE,KEEPER_NO_ACTION,,,"Pediatric home health; in-home speech, OT, PT for kids",speech-therapy|occupational-therapy|physical-therapy,,https://angelsofcare.com/services/therapy/,MEDIUM
7163,Ascend Transition Services,Y,HOME_CARE,KEEPER_NO_ACTION,,,"IDD support agency: life skills, respite, nursing care",life-skills|respite-care,,https://www.ascendswfl.com/,HIGH
6977,FUSSION THERAPY INC. - Hialeah Gardens,Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,"Paediatric speech, OT, PT and PPEC serving autistic children",,,https://www.fussiontherapy.com/,HIGH
10112,KidsCare Home Health - Florida Region 10 - 8569 Pines Blvd,Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,"Pediatric in-home PT, OT, speech for developmental disabilities",,,https://kidscarehomehealth.com/pediatric-therapy-services/,HIGH
10168,Nicklaus Children's Palm Beach Gardens Outpatient Center,Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,"Pediatric outpatient centre with PT, OT, speech-feeding therapy",speech-therapy|occupational-therapy|physical-therapy,,https://www.nicklauschildrens.org/locations/outpatient-centers/palm-beach-gardens-outpatient-center,HIGH
9254,"Our Speech Garden, LLC.",Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,Bilingual pediatric speech-language practice treating autism,speech-therapy,,http://www.ourspeechgarden.com/,HIGH
