id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url
5810,"S&A BEAU2FUL BLESSINGS GROUP HOME, LLC",Clearwater,CLEARWATER,,FL-DD Database,TRUE,null,,
6207,TAMPA BAY GROUP HOMES INC,Clearwater,CLEARWATER,life-skills,FL-DD Database,TRUE,null,,
6061,"BREVARD CO. BOARD CO. COMMISSIONERS
SPACE COAST AREA TRANSIT",Cocoa,COCOA,,FL-DD Database,TRUE,null,,
6395,"ENHANCED LIVING CONSULTANTS, INC
E 7 B ALF, INC",Coconut Creek,COCONUT CREEK,life-skills,FL-DD Database,TRUE,null,,
6057,"REST ASSURED HOME CARE, LLC",Cutler Bay,CUTLER BAY,,FL-DD Database,TRUE,null,,
6077,DIVINE CHOICE HOME HEALTH AGENCY LLC,Deland,DELAND,,FL-DD Database,TRUE,null,,
6073,STAR RISE HOME CARE LLC,Deland,DELAND,,FL-DD Database,TRUE,null,,
6137,BLESSED HOME CARE LLC,Dunedin,DUNEDIN,,FL-DD Database,TRUE,null,,
8642,GENTLE HOME CARE OF CENTRAL FLORIDA,Eustis,EUSTIS,residential-program,FL-DD Database,FALSE,null,,
6334,"ASCEND TRANSITION SERVICES CORP
ASCEND TRANSITION SERVICES",Fort Myers,FORT MYERS,life-skills,FL-DD Database,TRUE,null,,
