id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url,keith_note
5810,"S&A BEAU2FUL BLESSINGS GROUP HOME, LLC",Clearwater,CLEARWATER,,FL-DD Database,TRUE,null,UNKNOWN,,no information found
6207,TAMPA BAY GROUP HOMES INC,Clearwater,CLEARWATER,life-skills,FL-DD Database,TRUE,null,N,https://www.miradorliving.com/assisted-living/florida/clearwater/tampa-bay-group-homes-inc,Assisted living community per directory listing
6061,"BREVARD CO. BOARD CO. COMMISSIONERS
SPACE COAST AREA TRANSIT",Cocoa,COCOA,,FL-DD Database,TRUE,null,N,https://321transit.com/,County public transit and paratransit agency
6395,"ENHANCED LIVING CONSULTANTS, INC
E 7 B ALF, INC",Coconut Creek,COCONUT CREEK,life-skills,FL-DD Database,TRUE,null,N,https://homemods.org/directory/enhanced-living-consultants-inc/,Home modification and accessibility contractor
6057,"REST ASSURED HOME CARE, LLC",Cutler Bay,CUTLER BAY,,FL-DD Database,TRUE,null,UNKNOWN,,"Home care agency per directories, unconfirmed"
6077,DIVINE CHOICE HOME HEALTH AGENCY LLC,Deland,DELAND,,FL-DD Database,TRUE,null,N,https://www.vitadox.com/practice/deland-fl-32720/divine-choice-home-health-agency/Uys9rKhKEnd5QLLwUE7HA9,Home health agency and assisted living
6073,STAR RISE HOME CARE LLC,Deland,DELAND,,FL-DD Database,TRUE,null,N,https://starrisehomecare.org/,Home health care agency for elderly
6137,BLESSED HOME CARE LLC,Dunedin,DUNEDIN,,FL-DD Database,TRUE,null,UNKNOWN,,no information found
8642,GENTLE HOME CARE OF CENTRAL FLORIDA,Eustis,EUSTIS,residential-program,FL-DD Database,FALSE,null,N,https://www.indeed.com/cmp/Gentle-Home-Care-of-Central-Florida,"Home care agency hiring caregivers, companions"
6334,"ASCEND TRANSITION SERVICES CORP
ASCEND TRANSITION SERVICES",Fort Myers,FORT MYERS,life-skills,FL-DD Database,TRUE,null,N,https://www.ascendswfl.com/,"IDD life skills, home and nursing services"
