id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url
6791,"Dr. Jennifer Brandon, Chiropractor",Cape Coral,CAPE CORAL,occupational-therapy,Google Places (PT/OT/ST),FALSE,https://www.drjenniferbrandon.com/,,
8605,Mama's Chiropractic Cape Coral a PalmerCare Clinic,Cape Coral,CAPE CORAL,feeding-therapy,Google Places (PT/OT/ST),FALSE,http://www.mamaschiropractic.com/?utm_campaign=gmb,,
10213,"Spark Pediatrics Medical Daycare (PPEC) - Clearwater, FL",Clearwater,CLEARWATER,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.sparkpediatrics.com/locations/clearwater-center,,
10137,Mobility Rehabilitation & Home Healthcare,Clermont,CLERMONT,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.mobilityrehabilitation.com/About-Us,,
9592,Back To Mind Chiropractic - Coral Springs,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,https://backtomind.com/coral-springs-chiropractor/?utm_source=google&utm_medium=gmb&utm_campaign=seo,,
9422,Champion Chiropractic,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,http://championchiropractic.com/,,
9590,Smart Fitness,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,http://www.smartfitcoaching.com/,,
6820,Pediatric & Perinatal Chiropractic Center,Fort Myers,FORT MYERS,physical-therapy|occupational-therapy,Google Places (PT/OT/ST),FALSE,http://www.pandpchiro.com/,,
9835,Back To You Chiropractic and Physical Therapy,Fort Pierce,FORT PIERCE,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.backtoyourehab.com/,,
7455,Florida Department of Children and Families,Fort Pierce,FORT PIERCE,life-skills,Google Places (PT/OT/ST),FALSE,http://www.myflfamilies.com/,,
