id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url,keith_note
6791,"Dr. Jennifer Brandon, Chiropractor",Cape Coral,CAPE CORAL,occupational-therapy,Google Places (PT/OT/ST),FALSE,https://www.drjenniferbrandon.com/,N,https://www.drjenniferbrandon.com/,Family and prenatal chiropractic practice
8605,Mama's Chiropractic Cape Coral a PalmerCare Clinic,Cape Coral,CAPE CORAL,feeding-therapy,Google Places (PT/OT/ST),FALSE,http://www.mamaschiropractic.com/?utm_campaign=gmb,N,https://palmercare.com/chiropractor-fort-myers-florida/,"Chiropractic clinic, Palmercare franchise"
10213,"Spark Pediatrics Medical Daycare (PPEC) - Clearwater, FL",Clearwater,CLEARWATER,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.sparkpediatrics.com/locations/clearwater-center,N,https://www.sparkpediatrics.com/locations/clearwater-center,"PPEC medical daycare, nursing and PT/OT/speech"
10137,Mobility Rehabilitation & Home Healthcare,Clermont,CLERMONT,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.mobilityrehabilitation.com/About-Us,N,https://www.mobilityrehabilitation.com/About-Us,"Outpatient PT, OT and speech rehab clinic"
9592,Back To Mind Chiropractic - Coral Springs,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,https://backtomind.com/coral-springs-chiropractor/?utm_source=google&utm_medium=gmb&utm_campaign=seo,N,https://backtomind.com/coral-springs-chiropractor/,Chiropractic clinic with physical therapy
9422,Champion Chiropractic,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,http://championchiropractic.com/,N,http://championchiropractic.com/,"Chiropractic clinic, sports and injury care"
9590,Smart Fitness,Coral Springs,CORAL SPRINGS,physical-therapy,Google Places (PT/OT/ST),FALSE,http://www.smartfitcoaching.com/,UNKNOWN,,"Fitness and wellness business, services unspecified"
6820,Pediatric & Perinatal Chiropractic Center,Fort Myers,FORT MYERS,physical-therapy|occupational-therapy,Google Places (PT/OT/ST),FALSE,http://www.pandpchiro.com/,N,http://www.pandpchiro.com/,Pediatric and prenatal chiropractic practice
9835,Back To You Chiropractic and Physical Therapy,Fort Pierce,FORT PIERCE,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.backtoyourehab.com/,N,https://www.backtoyourehab.com/,"Outpatient rehab: PT, OT, chiropractic"
7455,Florida Department of Children and Families,Fort Pierce,FORT PIERCE,life-skills,Google Places (PT/OT/ST),FALSE,http://www.myflfamilies.com/,N,http://www.myflfamilies.com/,"State social services agency, not a provider"
