id,name,city,slug,website,phone,services,source
6351,Care One of Florida,Spring Hill,care-one-of-florida-spring-hill-fl-6351,http://www.careoneofflorida.com/,(352) 683-1982,"[""aba""]",legacy_migration
6551,Healing Horizons Therapy,Cape Coral,healing-horizons-therapy-cape-coral-fl-6551,https://www.myhealinghorizons.com/,(239) 265-0282,"[""aba""]",legacy_migration
6595,Life Skills Development LLC,West Palm Beach,life-skills-development-llc-west-palm-beach-fl-6595,http://www.lifeskillsdevelopmentsuccess.com/,(561) 247-0719,"[""aba""]",legacy_migration
6646,Novaluna Mental Health,West Palm Beach,novaluna-mental-health-west-palm-beach-fl-6646,https://www.novalunamentalhealth.com/,(561) 303-0811,"[""aba""]",legacy_migration
6694,Disability Experts of Florida,Spring Hill,disability-experts-of-florida-spring-hill-fl-6694,http://www.disabilityexpertsfl.com/,(855) 777-0455,"[""aba""]",legacy_migration
6702,"Linda Morrison, LCSW",Cape Coral,linda-morrison-lcsw-cape-coral-fl-6702,null,(239) 297-6656,"[""aba""]",legacy_migration
6878,Center For Positive Change,Clearwater,center-for-positive-change-clearwater-fl-6878,http://www.center4positivechange.com/,(727) 218-8870,"[""aba""]",legacy_migration
6910,Hope Reconstruction Therapy,Clearwater,hope-reconstruction-therapy-clearwater-fl-6910,https://hopereconstruction.com/,(802) 727-0246,"[""aba""]",legacy_migration
7075,AB&C Therapeutic Solutions,Cape Coral,abc-therapeutic-solutions-cape-coral-fl-7075,null,(239) 747-3328,"[""aba""]",legacy_migration
7292,Modern Therapy Works,Spring Hill,modern-therapy-works-spring-hill-fl-7292,null,(352) 597-1530,"[""aba""]",legacy_migration
7350,Sports Specialty and Rehab,Cape Coral,sports-specialty-and-rehab-cape-coral-fl-7350,http://www.sportsspecialty.com/,(239) 574-7557,"[""aba""]",legacy_migration
7392,Gulf Coast Occupational,Clearwater,gulf-coast-occupational-clearwater-fl-7392,null,(727) 474-3859,"[""aba""]",legacy_migration
7985,Grand Health Institute,Miami,grand-health-institute-miami-fl-7985,http://www.grandhealthinstitute.com/,(305) 728-0505,"[""aba""]",Google Places (PT/OT/ST)
8279,"Nino Richie C. Leetian, OT",Spring Hill,nino-richie-c-leetian-ot-spring-hill-fl-8279,null,(352) 610-4475,"[""aba""]",legacy_migration
8558,Absolute Healthcare LLC,Spring Hill,absolute-healthcare-llc-spring-hill-fl-8558,https://absolutehealthcare.org/,(352) 251-0000,"[""aba""]",Google Places (PT/OT/ST)
8612,Behavioral Evaluation Program,Clearwater,behavioral-evaluation-program-clearwater-fl-8612,null,(727) 464-7373,"[""aba""]",legacy_migration
8667,Pathway to Purpose Care Services,Spring Hill,pathway-to-purpose-care-services-spring-hill-fl-8667,http://pathwaytopurposecareservices.com/,(352) 403-9570,"[""aba""]",legacy_migration
8870,The LaPorta Center,Spring Hill,the-laporta-center-spring-hill-fl-8870,http://thelaportacenter.net/,(727) 836-0943,"[""aba""]",legacy_migration
10371,Vincent Academy Adventure Coast,Spring Hill,vincent-academy-adventure-coast-spring-hill-fl-10371,http://vincenthouse.org/,(352) 701-0778,"[""aba""]",legacy_migration
10397,Stillwater Therapy,Clearwater,stillwater-therapy-clearwater-fl-10397,http://www.stillwater-therapy.com/,(813) 803-0961,"[""aba""]",legacy_migration
