id,name,city,slug,address,phone,website,services,source
5880,HCA Florida Oak Hill Hospital,Brooksville,hca-florida-oak-hill-hospital-brooksville-fl-5880,11375 Cortez Blvd,(352) 596-6632,https://www.hcafloridahealthcare.com/locations/oak-hill-hospital/?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,"[""aba""]",legacy_migration
6374,TAL Community Mental Health Center,Miramar,tal-community-mental-health-center-miramar-fl-6374,12781 Miramar Pkwy Suite #203,(786) 648-3588,http://www.talcmhc.org/,"[""aba""]",legacy_migration
6528,Elite Continuing Education,Ormond Beach,elite-continuing-education-ormond-beach-fl-6528,26 N Beach St,(888) 857-6920,http://www.elitelearning.com/,"[""aba""]",legacy_migration
6529,Stress And Anxiety Center,Holly Hill,stress-and-anxiety-center-holly-hill-fl-6529,1615 Ridgewood Ave,(386) 999-0333,http://www.stressandanxietycenter.org/,"[""aba""]",legacy_migration
6543,"Kathy D. Stanley, Otrl",Holly Hill,kathy-d-stanley-otrl-holly-hill-fl-6543,null,(386) 226-9125,null,"[""aba""]",legacy_migration
6603,The Chase Academy,South Daytona,the-chase-academy-south-daytona-fl-6603,2400 S Ridgewood Ave,(386) 310-7879,https://www.tcaofvolusia.org/,"[""aba""]",legacy_migration
6815,AK Behavioral Health Clinic,Orlando,ak-behavioral-health-clinic-orlando-fl-6815,5575 S Semoran Blvd #07,(844) 331-6451,null,"[""aba""]",legacy_migration
6832,The Sylvia Brafman Mental Health Center,Tamarac,the-sylvia-brafman-mental-health-center-tamarac-fl-6832,7710 NW 71st Ct,(954) 758-8725,https://sylviabrafman.com/florida/?utm_source=google&utm_medium=local&utm_campaign=sbmhc-florida,"[""aba""]",legacy_migration
6852,"Assurance Hope Institute, Inc.",Plantation,assurance-hope-institute-inc-plantation-fl-6852,5975 W Sunrise Blvd Suite #119,(954) 368-6856,http://www.assuranceofhope.org/,"[""aba""]",legacy_migration
6863,Peace By Piece,Fort Myers,peace-by-piece-fort-myers-fl-6863,6714 Winkler Rd,(239) 245-8301,null,"[""aba""]",legacy_migration
6951,Lifeskills South Florida Fort Lauderdale,Fort Lauderdale,lifeskills-south-florida-fort-lauderdale-fort-lauderdale-fl-6951,4841 NE 20th Ave,(954) 408-8770,https://www.lifeskillssouthflorida.com/programs/detox-residential/,"[""aba""]",legacy_migration
6991,"Wonderful Counselor, LLC.",North Miami,wonderful-counselor-llc-north-miami-fl-6991,12555 Biscayne Blvd,(786) 906-8656,http://wonderfulcounselorllc.com/,"[""aba""]",legacy_migration
