# ABA TAG AUDIT - INDIVIDUAL DOMAIN SHORTLIST - FINAL, 2026-08-18
# 231 records. Superseded: the CC original and the 80-row prefilled subset.
#
# keith_verdict answers ONE question: is the aba tag correct on this record?
#   Y = tag correct.  N = tag wrong, aba stripped or record deleted.
# Y does NOT certify address, phone, services or insurance. See id 10343, which
# was correctly tagged aba and still had a wrong address, wrong phone and six
# missing services.
#
# 129 rows carry AUTO-Y in keith_note: business name contains ABA or behavior
# AND the crawler stored a service-claim excerpt. Tag question only.
#
# db_action records what was executed in Supabase on 2026-08-18. Blank means no
# database change was needed.
#
# Taxonomy decisions closed WONT BUILD: no general-psychological-services slug,
# no funding-organization category.
#
id,name,canonical_city,services,aba_flag,aba_excerpt,domain,join_method,needs_website,keith_verdict,keith_note,db_action
6725,ABA Therapy Center: On & Up Behavior Therapy,AVENTURA,aba,True,"nd data driven decisions, which enable us to provide effective and high quality ABA therapy. We are committed to the ethical practice of ABA and abide by the Profe",onupbehavior.com,both,,Y,,
6769,Spring Health Autism Intervention,AVENTURA,aba,True,enu Facebook Instagram Spring Health Autism Intervention! We offer personalized ABA services Discover Contact us today! Services with family collaboration Evidence,springhealthautism.com,both,,Y,,
8892,Thrive Behavioral Therapy,AVENTURA,group-therapy|aba|ados-testing|parent-coaching,True,ABA Therapy at Home - Thrive Behavioral Therapy IN HOME AND SCHOOL ABA IN MIAMI-DAD,thrivebehavioraltherapy.com,both,,Y,,
7349,The Kelly Behavioral Institute,BELLE ISLE,aba,True,"ORE HELP? Who we are The Behavior Institute provides Applied Behavior Analysis (ABA) therapy, consulting, and training. Therapy focuses on treating children and ad",kellybehavioralinstitute.com,both,,Y,,
7346,The Play Base ABA Therapy,BOCA RATON,executive-function-coaching|aba,True,"Child Behavioral Therapist ABA Autism Therapy ADHD Treatment, IBI FLORIDA Skip to content Discovering Beautifu",us.theplaybase.com,both,,Y,,
7408,Two Hearts ABA Therapy,BOCA RATON,life-skills|group-therapy|parent-coaching|aba,True,Two Hearts ABA Therapy – Best Therapy Ever Mission and Vision Statements: Our mission is to pr,twoheartsaba.com,both,,Y,,
6675,ABA For Life Behavioral Solutions,CAPE CORAL,aba,True,,abaforlifebs.my.canva.site,both,EMPTY-EXCERPT,Y,webite yields 404 error,
7222,ABC CHILDREN BEHAVIOR ABA Therapy,CAPE CORAL,aba|parent-coaching,True, AND TASKS Loading days... Book Now Private insurances Loading days... Book Now ABA Therapy 1 hr Book Now Contact with ABC CHILDREN BEHAVIOR bottom of page ABC CHI,abcchildrenbehaviorabatherapy.com,both,,Y,,
9042,Behavior Management Center Inc,CAPE CORAL,aba,True,ABA Therapy in Cape Coral | BehaviorMC Home About us Mission Background Services RB,behaviormc.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8796,"Confident Minds LLC, ABA Therapy",CAPE CORAL,aba,True,arted on the path to a great behavioral health! Learn more Were you referred to ABA therapy? We are here to help and guide you through the whole process. Confident,confidentmindsllc.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
