id,name,city,still_operating,what_it_does,disability_focused,mentions_autism_or_dd,phone,website,source_used,confidence,notes
6368,ABACO CONSTRUCTION INC.,Miami,Y,UNCLEAR,UNCLEAR,UNCLEAR,,,Sunbiz,MEDIUM,"Sunbiz entity list loaded: of three Florida entities under this name, ABACO CONSTRUCTION, INC. (document P09000007857) is Active, while ABACO CONSTRUCTION COMPANY (H45146) and ABACO CONSTRUCTION CO. (V44851) are both INACT. The active P09 corporation is the only exact-name match still registered, so the vendor is very likely still a live entity - but Sunbiz's detail page (which would have given the principal address and confirmed Miami) returned HTTP 403 through the proxy on two attempts, so I could NOT confirm the city, officers, or address. The name-disambiguation caution was warranted: the site at abacoconstruction.com is not demonstrably this company - it is robots-blocked so I never loaded it, and the surrounding evidence points to an 'Abaco Construction Ltd' operating in the Abaco Islands, Bahamas, not the Miami APD vendor. A Florida DBPR record surfaced in search listing RAMIREZ, REINALDO d/b/a ABACO CONSTRUCTION INC as a Certified General Contractor, which would make it an ordinary general contractor, but that page was also robots-blocked and I am not treating an unloaded search result as evidence. NOTHING found from any loadable source mentioning ADA, ramps, roll-in showers, grab bars, accessibility, universal design, aging-in-place, autism, developmental disabilities, APD, or Medicaid waiver work. No public phone or address established."
6384,"REED MCDANIEL CONSTRUCTION, INC",Lake City,Y,General construction and roofing contractor that also performs state-funded ADA home modifications,Y,Y,(386) 752-4072,https://reedmcdanielconstruction.com/,own website,HIGH,"Own site loaded and live. Settles (c) and (d) directly: 'We are a VA registered Vendor and work hand in hand with APD, BSCIP and Medicaid on state funded ADA modification projects.' Services page: 'Our projects include both new construction and repairs/renovations, including ADA modifications.' Accessibility work is an advertised line of business rather than incidental, and APD/Medicaid waiver work is named explicitly. No autism- or sensory-specific language anywhere; the DD connection is via APD and Medicaid, not diagnosis. Site gives Lake City FL with a service area of Suwannee, Alachua, Dixie, Hamilton, Baker and Clay counties; no full street address appeared on the pages loaded, but the phone is published."
6190,H.L SUPERIOR REMODELING CORP,Hialeah,Y,UNCLEAR,UNCLEAR,UNCLEAR,,,Sunbiz,MEDIUM,"Sunbiz shows H.L. SUPERIOR REMODELING CORP., document number P12000067588, status Active - the corporate registration is alive, which is the only thing I could establish. Its apparent website, hlsuperiorremodeling.com, no longer resolves (DNS failure on both the bare and www hostnames), so there is no own-site evidence; a stale search-engine title for that domain read 'Remodeling: Miami, West Palm Beach and Key Largo' but I never loaded the page and am not treating a search snippet as evidence. A Facebook page and BuildZoom/HomeAdvisor profiles exist, but those are contractor-marketplace and lead-gen listings, excluded as evidence by the task rules. I therefore will not state what the company does beyond the corporate name. Found NOTHING anywhere indicating ADA, ramps, roll-in showers, grab bars, accessibility, universal design, aging-in-place, autism, DD, APD or Medicaid waiver work. No usable public phone or address from an acceptable source."
6295,UNIVERSAL DESIGN SOLUTIONS LLC,Jacksonville,Y,Accessible home modification contractor and home medical equipment supplier,Y,Y,+1 (904) 721-2225,https://universaldesignsolutions.com/,own website,HIGH,"The name-trap resolves to genuine accessibility home modification - this is NOT a graphic or web design studio. Own site loaded: describes itself as 'a construction company that sells medical equipment for in-home use' and says it strives to create 'a space for those who have accessibility needs and are looking for a life without boundaries.' About page: 'modifying and building accessible spaces, as well as providing high-quality medical equipment' for individuals with disabilities, specializing in accessible bathrooms, kitchens, doorways and additions; 25+ years of experience, founded by Mike Jones. Settles (d): the About page states it partners with the Department of Veterans Affairs and the Agency for Persons With Disabilities (APD). No autism- or sensory-specific wording found. The site publishes the phone and 'Northeast Florida' but no street address appeared on the pages loaded (a Yelp listing shows an Old Timuquana Rd, Jacksonville address, but that is a directory and I did not treat it as evidence). One Yelp entry under this name is marked CLOSED while a second is current; the live own website is the better evidence of operation."
5820,ACCESSIBILITY SOLUTIONS,Tallahassee,Y,"Accessible home modification contractor (ramps, lifts, barrier-free bathrooms)",Y,N,850.383.1100,https://homeaccessfl.com/,own website,HIGH,"Site loaded and is unambiguously the Tallahassee FL vendor, not one of the same-name IT/web-accessibility firms or stairlift dealers: it states the company 'first opened its doors in Tallahassee, Florida in April, 1997' and serves 'North Florida and South Georgia', with address 3013 West Tharpe Street, Tallahassee, FL 32303. Settles (c): ramps, grab bars, stair lifts, accessible bathrooms, pool and spa lifts, ceiling-mounted lifts, vertical platform lifts, and 'aging in place and universal design' work. It also runs a general-renovation division (Lifetime Renovations), but accessibility is the core business, not incidental. (d): no mention anywhere of autism, developmental disabilities, APD, iBudget or Medicaid waiver. Secondary corroboration of the Tallahassee address from a Yelp listing at 3013 W Tharpe St."
6385,WILSON SHERI L / HOME ACCESSIBILITY CONSULTING LLC,Bronson,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,,,Sunbiz,MEDIUM,"The LLC exists but is dead as a registration: Sunbiz entity search returns HOME ACCESSIBILITY CONSULTING LLC, document L14000120587, status INACT (inactive). A separately numbered, still-Active record named HOME ACCESSIBILITY CONSULTING (W20000130561) also appears in the same Sunbiz result set, but I could not open either detail page to confirm officers or the Bronson FL address - Sunbiz detail pages were blocked by the proxy (HTTP 403). So I cannot confirm whether Sheri L Wilson is the officer of either. On the question asked: this looks like an individually enrolled practitioner rather than a business with its own presence - the APD listing pairs a person's name with the LLC, the LLC registration is inactive, and no company website, Google Business listing, phone or address for a Bronson FL operation could be found. There is an unconfirmed lead I am flagging rather than asserting: search results show a 'Sheri Wilson OTR-L, CAPS, ATP, ECHM' occupational therapist doing environmental modification in Florida, credentials that fit accessibility home-modification work exactly, but the listing places her in Debary FL, not Bronson, and I hit my fetch cap before I could verify it is the same person. No source loaded describes the work performed, so what it does, disability focus, and any autism/DD connection are all unestablished."
6450,"ASSISTIVE TECHNOLOGY EVALUATIONS AND SERVICES, LLC",Winter Garden,Y,Assistive technology evaluation and independent educational evaluation practice,Y,UNCLEAR,,https://equipment4life.com/,own website,HIGH,"Verified rather than taken from the name. Own site loaded; services described are assistive technology from 'assessment to implementation, training and support', communication device programming, independent educational evaluations, home modification accessibility assessments, and accessibility expert-witness work (physical and digital). It is still active: footer reads 'Copyright (c) 2025 Assistive Technology Evaluations and Services, LLC'. Site metadata names Windermere, Winter Park and Winter Garden FL as the service area, tying it to the APD city. (c) Y - AT evaluation and communication devices are disability services by definition. (d) UNCLEAR: no explicit mention of autism, developmental disabilities, APD or the iBudget waiver on any page loaded; the site does offer Florida Empowerment Scholarship evaluations and references the Gardiner Scholarship in page metadata, both special-needs student programs, but that is indirect evidence only. (e) weak - no phone, email or street address appeared on any page I loaded, so I am reporting none; a Yelp listing separately shows a Winter Garden street address, and an NPI registry entry under the Assistive Technology Practitioner taxonomy exists, but neither is the business's own site."
6371,DONALD SMITH REHABILITATION ENGINEERING CONSULTANT,Winter Springs,Y,UNCLEAR,UNCLEAR,UNCLEAR,,,Sunbiz,MEDIUM,"Despite the name having no company suffix, this IS a registered Florida corporation, not an individual enrolled under his own name: Sunbiz entity search returns DONALD SMITH REHABILITATION ENGINEERING CONSULTANT, INC., document P13000004806, status Active. An older same-name corporation, P01000083784, is INACT. Registration details: incorporated 14 Jan 2013; principal address 120 E Tradewinds Rd, Winter Springs FL 32708; registered agent and only listed officer Patricia L Smith, President - Donald Smith himself is the namesake but is not a listed officer. The 9 Mar 2025 annual report is the evidence it still operates. What it actually does is NOT established: no website, no Google Business listing, no phone, and no description of services from any source. I am deliberately not inferring 'rehabilitation engineering' from the entity name, though rehabilitation engineering is a real credentialed field (RESNA/ATP) and the address is residential, so this most plausibly reads as a solo practitioner's consulting corporation. On (e): a family would have no published phone or office - nothing contactable was found."
6395,"ENHANCED LIVING CONSULTANTS, INC / E 7 B ALF, INC",Coconut Creek,Y,"Home modification contractor — ramps, lifts, roll-in showers, doorway widening",Y,Y,954-980-5002,,Sunbiz,MEDIUM,"TWO-NAME QUESTION RESOLVED AS FAR AS SOURCES ALLOW: Sunbiz entity-name search confirms ENHANCED LIVING CONSULTANTS INC., document P21000052290, status Active. The second name did NOT resolve: a Sunbiz name search for 'E 7 B ALF' returned no entity under that spelling — Sunbiz normalizes out spaces (it listed 'E 7 GROUP CORP' inline with 'E7G, LLC'), so an 'E7BALF' record would have headed the result list and did not. The list ran E7 CAPITAL LLC / E7C ENTERPRISES / E7 CONSULTING etc. So there is NO evidence this is or operates an assisted living facility, and NO evidence of a second corporation. Best reading: 'E 7 B ALF, INC' is a stray or alternate name carried in the APD record that I could not tie to any registered Florida entity — it is NOT established as an ALF, and I could not establish whether it is a DBA of Enhanced Living or an unrelated record merged in. I therefore cannot say whether an ALF serves developmental disabilities or elderly residents, because no ALF was found at all. Sunbiz DETAIL pages returned nothing through this proxy, so officers, principal address and filing history are unverified. WHAT THE BUSINESS DOES came from the homemods.org / NRCSHHM directory listing (a directory, not the company's own site — supporting evidence, not primary): services listed as 'Minor home modifications' and 'Major home modifications' including 'ramps, elevator/platform or chair lifts, widen doorways, roll-in showers'; target population 'People with Disabilities'; funding accepted includes 'Medicaid Home and Community-Based Waiver' — that waiver wording is what settles (d); nothing mentions autism, developmental disabilities or sensory needs. Same listing gives phone 954-980-5002 and address 4040 Edgewood Drive, Coconut Creek, FL 33066, and cites a site at enhancedlivingconsultants.com which I did NOT load (fetch cap reached), so the website field is left empty. Corroborating, not relied on: NPPES NPI 1205692696 for this company carries taxonomy 171WH0202X, 'Contractor — Home Modifications'. Also seen in the Sunbiz list: ENHANCED LIVING GROUP HOME LLC (L24000435681, Active) — similar name, possible DD relevance, but NO connection to this vendor established."
6418,"WRIGHTWAY CONSULTING, INC / WRIGHTWAY MEDICAL",St. Petersburg,Y,Durable medical equipment supplier plus accessibility home modifications and in-home assessments,Y,Y,727-577-7544,https://wrightway-medical.com/,own website,HIGH,"TWO-NAME QUESTION: ONE BUSINESS, not two. Sunbiz shows WRIGHTWAY CONSULTING, INC., document P93000014661, status Active — and the same document number also appears as 'WRIGHT WAY CONSULTING, INC.' flagged NAME HS (name history), i.e. a former spelling of the same 1993 corporation. A Sunbiz name search covering the WRIGHTWAY CONSULTING..WRIGHTWAY D range returned NO entity called 'Wrightway Medical', so Wrightway Medical is a trade name / brand, not a separate corporation. Three things tie the names together: the live site is wrightway-medical.com but its own service page carries the title 'Environmental Adaptation Services in St. Petersburg, FL | Wrightway Consulting'; both names publish the same phone 727-577-7544; and both publish the same address 2909 47th Ave N., St. Petersburg, FL 33714. THE NAMES MISLEAD IN BOTH DIRECTIONS: 'Consulting' is not a consultancy, and 'Medical' is not a clinic, a billing service or a staffing agency. Established from the company's own site: it supplies 'durable medical equipment, home accessibility modifications, incontinence supplies, and expert assessments'. (c) is settled by its own wording 'Home Accessibility Solutions — Unlock every room in your home with C.E.A.C. certified accessibility modifications' and 'custom home modifications to remove physical barriers', with a wheelchair-ramp photo captioned 'A metal wheelchair ramp with handrails...leads from a sidewalk to the front entry of a house' — C.E.A.C. is the Certified Environmental Access Consultant credential, so accessibility is a named specialty, not incidental general contracting. (d) is settled only by Medicaid-waiver wording: the about page states its billing specialist has 'deep knowledge of Medicaid Waiver billing', and it is 'in network with Coastal Care' and an 'approved DME provider for the ICMC program'. Notably its APD-facing service page is headed 'Environmental Adaptation Services' — the exact iBudget waiver service category — but the page text never names APD, the iBudget waiver, developmental disabilities, autism or sensory needs; the closest population wording is 'mobility challenge', 'aging parent' and 'child with special needs'. So an autism/DD focus specifically is NOT established. Phone and address above are published on the company's own site. Sunbiz detail pages were unavailable through this proxy, so officers are unverified."
