id,name,verdict,services_proposed,autism_relevance,evidence_url,evidence_source_type,evidence_note,suspected_duplicate_id,verified_address,services_inferred,confidence,notes
5764,Aries Physical Therapy - Weston,DELETE,,N,http://ariesphysicaltherapy.com/,PROVIDER_SITE,"Site sells sports rehab, dry needling, performance training only",,,,HIGH,"Own site lists only injury rehabilitation, sports performance training, injury prevention/dry needling, and phone consults. No pediatric department, no children, no developmental or special-needs language anywhere on the homepage; marketing copy targets athletes and post-surgical adults. Contact and About pages are blocked by robots.txt, but the homepage service list is unambiguous. Generic sports/orthopedic PT with no autism or special-needs focus, so it belongs in no table. Site states no street address, so verified_address left empty."
5790,Physical Therapy Services - Miami - 8390 W Flagler St,DELETE,,N,http://www.physicaltherapyforyou.com/,PROVIDER_SITE,"Adult sports, orthopedic and adult neuro rehab only",,,,HIGH,"Own site describes sport rehabilitation, orthopedic PT, and neurological treatment for muscular dystrophy, MS, and Huntington's disease - all adult-onset or adult-managed conditions. No pediatric, developmental delay, early intervention, or autism content. Adult orthopedic/neuro PT clinic with no special-needs pediatric focus, so it belongs in no table. The homepage names only 'Miami, FL' and a phone number; the /contact and /areas-served pages are robots-disallowed, so no street address could be confirmed from the provider's own site and verified_address is empty."
5808,Quest Kids Therapy - Tampa - 3910 Us-301,NEEDS_REVIEW,aba,Y,https://questinc.org/quest-kids-therapy/,PROVIDER_SITE,Quest Kids ABA centers listed only in Orlando and Lake Mary,5835,"3910 N. US Highway 301, Suite 200, Tampa, FL 33619",,MEDIUM,"Duplicate of id 5835: same organization (Quest, Inc.) at the same street address, 3910 N. US Highway 301 Suite 200, Tampa - questinc.org/contact and questkids.org/contact both identify that address as Quest's Tampa Regional Office, not a separate clinic site. Quest Kids Therapy is genuinely an ABA provider for children 15 months to 18 years with autism, Down syndrome and developmental delays, but its own program page lists only two centers, Orlando and Lake Mary; no Tampa clinic is named, and the Tampa page reference is an administrative/training office. Owner decides which record survives; if the Tampa entry is kept, services should be aba."
6027,iMind Mental Health Solutions - Port Saint Lucie,NEEDS_REVIEW,ados-testing|parent-coaching|support-groups,Y,https://imindmental.com/services/,PROVIDER_SITE,Site offers ASD diagnostic evaluations for children plus parenting support group,8812,"145 NW Central Park Plaza, Suite 200, Port St. Lucie, FL 34986",ados-testing,MEDIUM,"Duplicate of id 8812: same organization at the same street address, 145 NW Central Park Plaza Suite 200, confirmed on imindmental.com's own locations list (other sites are Stuart and Vero Beach). Practice is mostly psychiatry, therapy, TMS, Spravato and vagus nerve stimulation - none of which map to a valid service slug - but it does state 'Cognitive & Autism Testing' with ASD diagnostic evaluations for children, plus a 'Strategies for Parenting' clinical support group. ados-testing is marked inferred because the site says ASD diagnostic evaluation without naming the ADOS instrument. If the surviving record is kept in resources, its service list is thin and worth flagging."
6876,Coconut Creek Therapy - 1315 Lyons Rd,DELETE,,N,http://www.coconutcreektherapy.com/,PROVIDER_SITE,Adult manual-therapy PT clinic; no pediatric or developmental services,,"1315 Lyons Road, Coconut Creek, FL 33063",,MEDIUM,"Own site markets back, neck, knee and shoulder pain, plantar fasciitis, scar tissue work and deep tissue laser, plus neuro rehab for stroke, brain injury and cerebral palsy. Owner Todd James is presented as a manual therapist; no pediatric therapist, no children's program, no developmental, sensory or autism content. The cerebral palsy mention is the only special-needs adjacency and is framed within adult neuro rehabilitation, which is not enough to keep it. Note the /services and /about subpages 302-redirect off-domain to clickfunnels.com, so only the homepage is live - the site is partly broken. Orthopedic PT with no autism or special-needs focus, so it belongs in no table."
6972,Brevard Christian Early Intervention Center - 5500 N Cocoa Blvd,MOVE_SCHOOLS,,Y,https://brevardchristianeic.org/staff,PROVIDER_SITE,"Staff listed as Pre-K, kindergarten and elementary teachers by grade",,"5500 N US 1, Cocoa, FL 32927",,MEDIUM,"Own site calls it 'a Non-Profit CHRISTIAN school for children with special needs' and 'an educational facility for children with special needs and developmental disabilities,' explicitly citing autism and learning disabilities. The staff page settles the placement: Pre-K through Kindergarten teacher, an elementary teacher for K through 2nd grade, another elementary teacher, and a life skills teacher - structured instruction organized by grade level, not drop-off childcare. No speech, OT or ABA clinicians are on staff (the founder holds a BCBA but is listed as founder, not as a treating clinician), and no standalone therapy appointments are advertised, so nothing qualifies it for resources and services_proposed is empty. Belongs in schools. Site states 5500 N US 1 (US-1 is N Cocoa Blvd), matching the record. Missing from the site: age range, tuition, and scholarship participation (FES-UA/FTC) - worth collecting before the schools record is finalized."
6982,Core Connections Inc. - 1435 Aurora Rd,KEEP_BACKFILL,aba|life-skills|parent-coaching,Y,http://coreconnectfl.com/,PROVIDER_SITE,"Site states ABA, caregiver support, life skills for autism ages 18mo-18yr",,"1427 Aurora Rd., Melbourne, FL 32935",,HIGH,"Own site explicitly names ABA therapy, caregiver/parent support, life skills training, and teen-to-adult transition services for autism and developmental disabilities; clearly a standalone therapy provider, correctly in resources. ADDRESS DISCREPANCY: homepage and /contact list no street address, but coreconnectfl.com/privacy-policy states 1427 Aurora Rd while this record and ABA Navigator show 1435 Aurora Rd. Site advertises '2 Campus Buildings' in Brevard, so 1427 and 1435 are plausibly the two adjacent campuses - owner should confirm which building this record represents and check whether a sibling record exists for the other. Transition/independent-living content supports life-skills; no speech/OT/PT claimed."
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",NEEDS_REVIEW,,UNCLEAR,http://www.re-writtencounseling.com/services,PROVIDER_SITE,Counseling-only practice; one service page for families of disabled children,7126,"10570 S US Highway 1, Suite 200, Port St Lucie, FL 34952",,MEDIUM,"CONFIRMED DUPLICATE of id 7126 - same organization name and the same street address (10570 S US Hwy 1, Port St. Lucie) verified on the provider's own contact page; owner must pick one record to survive. Match candidates 6911 (Mind + Body Counseling Institute) and 8941 (Breakthrough Trauma Therapy) are NOT duplicates - both are separate practices with their own independent brands and websites that merely share the same office building; deliberately left out of suspected_duplicate_id. Separately, this record is a red flag for the resources table: the site lists only counseling categories (general mental health, couples, family, Christian, new mothers, women of color) plus one 'Families Of Children With Disabilities' page that carries no description, and there is no ABA, speech, OT, PT, parent coaching, or support group offering. No valid service slug applies, so services_proposed is necessarily empty. If the surviving record cannot be tied to a concrete special-needs service, it is a candidate for deletion as adult/family psychotherapy. Also note the site contradicts itself: a Google Maps embed still points at 2100 SE Hillmoor Drive Suite 205A."
7536,Wolfson Children's Specialty Center - Daytona - 601 N Clyde Morris Blvd,DELETE,,N,https://www.wolfsonchildrens.com/locations/daytona,BOTH,"Location page lists pediatric cardiology only, no therapy or developmental care",,"601 N. Clyde Morris Blvd Suite A, Daytona Beach, FL 32114",,MEDIUM,"Wolfson's own location page for this address lists cardiology as the only specialty offered here, and a third-party local-services listing independently describes it as EKGs, echocardiograms, and outpatient visits for congenital and acquired heart conditions. No PT/OT/speech, no developmental or behavioral health, no autism program at this site - it is a single-specialty pediatric cardiology clinic, which falls under generic medical providers with no autism or special-needs focus. Note this is a location-specific judgment: Wolfson Children's Hospital system-wide does run autism and developmental programs, but those are in Jacksonville, not at 601 N Clyde Morris Blvd. Confidence is MEDIUM only because a large health system can add specialties to a satellite site; if the owner wants to retain a Wolfson presence, the Jacksonville developmental/autism program would be the correct record to add instead."
7587,Aries Physical Therapy - Fort Lauderdale - 1115 E Sunrise Blvd,DELETE,,N,http://ariesphysicaltherapy.com/,BOTH,Adult sports and injury rehab clinic; no pediatric or developmental services,,,,HIGH,"Provider site describes complete injury rehabilitation, sports performance training, injury prevention, and dry needling for 'high performance athletes, corporate professionals, the young and the elderly.' There is no pediatric practice, no early intervention, no developmental or autism content anywhere on the site - this is a sports/orthopedic PT clinic, explicitly a delete category. The site publishes no street address (only 'South Florida'), so verified_address is empty; the 1115 E Sunrise Blvd address is corroborated only by third-party listings, which is acceptable for address but not for services. Not a duplicate of id 7596 - that is a genuinely separate clinic at a different street address."
