domain,n_records,n_cities,n_aba,ids,cities
selectphysicaltherapy.com,55,33,0,"[""8091"",""7942"",""8515"",""8425"",""8395"",""7584"",""7600"",""8498"",""7669"",""7623"",""7672"",""7620"",""8491"",""7579"",""7569"",""8487"",""7512"",""8482"",""7519"",""8423"",""6874"",""6902"",""7965"",""6927"",""6871"",""7967"",""8438"",""8006"",""8245"",""8532"",""8208"",""7105"",""7200"",""8431"",""8359"",""7618"",""8545"",""8466"",""7331"",""7219"",""7314"",""8100"",""7661"",""7420"",""7432"",""7374"",""7427"",""8472"",""7377"",""8473"",""8546"",""8467"",""8501"",""7506"",""8235""]","[""BROOKSVILLE"",""CAPE CORAL"",""CAPE CORAL"",""CLEARWATER"",""CLEARWATER"",""CORAL SPRINGS"",""CORAL SPRINGS"",""FORT LAUDERDALE"",""FORT LAUDERDALE"",""HALLANDALE BEACH"",""HOLLYWOOD"",""HOLLYWOOD"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE BEACH"",""LAKELAND"",""LAKELAND"",""LAKELAND"",""LARGO"",""MEDLEY"",""MIAMI"",""MIAMI"",""MIAMI"",""MIAMI BEACH"",""MIAMI LAKES"",""MIRAMAR"",""NORTH MIAMI"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORMOND BEACH"",""PALM BEACH GARDENS"",""PALM HARBOR"",""PALM SPRINGS"",""PEMBROKE PINES"",""PLANT CITY"",""PLANT CITY"",""PORT ST. LUCIE"",""ROYAL PALM BEACH"",""SEBASTIAN"",""SPRING HILL"",""TAMARAC"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""WESTON"",""WINTER HAVEN"",""WINTER PARK""]"
coraphysicaltherapy.com,45,32,0,"[""9980"",""9940"",""9974"",""9805"",""9868"",""9870"",""9890"",""9963"",""9898"",""9975"",""9941"",""9996"",""9865"",""9863"",""9857"",""9969"",""9862"",""9851"",""9854"",""9938"",""9817"",""9951"",""9812"",""9816"",""10108"",""9896"",""9919"",""9915"",""9916"",""9917"",""9823"",""9832"",""9880"",""9910"",""9949"",""9831"",""9901"",""9838"",""9977"",""9961"",""9846"",""9845"",""9819"",""9853"",""9921""]","[""CAPE CORAL"",""CLEARWATER"",""CORAL SPRINGS"",""DANIA BEACH"",""DAVIE"",""FORT LAUDERDALE"",""FORT MYERS"",""HAINES CITY"",""HIALEAH"",""HOLLYWOOD"",""HOLLYWOOD"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""LAKELAND"",""LAKELAND"",""LARGO"",""MELBOURNE"",""MIAMI"",""MIAMI"",""MIAMI BEACH"",""MIRAMAR"",""NORTH MIAMI BEACH"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORMOND BEACH"",""PALM SPRINGS"",""POMPANO BEACH"",""PORT ORANGE"",""PORT ST. LUCIE"",""ROYAL PALM BEACH"",""SATELLITE BEACH"",""STUART"",""SUNRISE"",""TAMPA"",""TAMPA"",""TAMPA"",""WEST MELBOURNE"",""WINTER HAVEN"",""WINTER PARK""]"
ptsolutions.com,28,16,0,"[""10033"",""10032"",""10172"",""10173"",""10049"",""7179"",""6976"",""10266"",""10215"",""10037"",""10184"",""10177"",""10212"",""10200"",""10139"",""10034"",""10142"",""10204"",""10203"",""10070"",""10207"",""10069"",""10067"",""10270"",""10068"",""10076"",""10066"",""10214""]","[""BROOKSVILLE"",""BUSHNELL"",""CLEARWATER"",""DUNEDIN"",""HUDSON"",""LAKELAND"",""LAKELAND"",""LARGO"",""OLDSMAR"",""PALM COAST"",""PALM HARBOR"",""PALM HARBOR"",""PLANT CITY"",""RIVERVIEW"",""SPRING HILL"",""SPRING HILL"",""SPRING HILL"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TAMPA"",""TEMPLE TERRACE"",""ZEPHYRHILLS""]"
lifestance.com,25,22,25,"[""8801"",""10635"",""10636"",""10637"",""7296"",""10638"",""10639"",""10640"",""10641"",""7472"",""10642"",""10643"",""10644"",""10645"",""10646"",""10647"",""10649"",""10648"",""10650"",""10656"",""10651"",""10655"",""10652"",""10653"",""10654""]","[""AVENTURA"",""BRANDON"",""CELEBRATION"",""CLERMONT"",""FORT LAUDERDALE"",""FORT MYERS"",""HOLLYWOOD"",""JACKSONVILLE"",""KISSIMMEE"",""LAKELAND"",""MAITLAND"",""MIAMI"",""MIAMI LAKES"",""NEW PORT RICHEY"",""OCOEE"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""OVIEDO"",""PALM HARBOR"",""SANFORD"",""SARASOTA"",""TAMPA"",""THE VILLAGES""]"
h2health.com,25,11,6,"[""10294"",""10128"",""10253"",""7209"",""10239"",""10293"",""10101"",""10105"",""10100"",""10089"",""10087"",""10093"",""10088"",""10104"",""10291"",""10134"",""10027"",""10023"",""10295"",""10149"",""10251"",""10063"",""10201"",""10031"",""10292""]","[""CALLAHAN"",""FORT MYERS"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""JACKSONVILLE BEACH"",""MELBOURNE"",""MELBOURNE"",""MELBOURNE"",""MIDDLEBURG"",""NEW SMYRNA BEACH"",""ST. AUGUSTINE"",""TAMPA"",""TAMPA"",""WEST MELBOURNE"",""YULEE""]"
fyzical.com,22,19,0,"[""9739"",""10038"",""10005"",""10138"",""7212"",""10018"",""10175"",""10094"",""10086"",""10179"",""10279"",""10022"",""9465"",""10316"",""10189"",""10129"",""9609"",""10147"",""10317"",""10140"",""10313"",""10064""]","[""CORAL SPRINGS"",""DELAND"",""FORT MYERS"",""GAINESVILLE"",""GAINESVILLE"",""HIALEAH"",""HUDSON"",""JACKSONVILLE"",""JACKSONVILLE"",""LARGO"",""LARGO"",""MELBOURNE"",""MELBOURNE BEACH"",""MIAMI"",""MIRAMAR"",""NORTH FORT MYERS"",""ORLANDO"",""PORT ORANGE"",""SOUTH MIAMI"",""SPRING HILL"",""TALLAHASSEE"",""TAMPA""]"
adventhealth.com,18,4,2,"[""8124"",""9902"",""8200"",""10604"",""7196"",""9923"",""6647"",""9929"",""9829"",""9995"",""9924"",""9920"",""9985"",""6727"",""10605"",""10156"",""10606"",""9984""]","[""HOLLY HILL"",""OCALA"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""ORLANDO"",""WINTER PARK"",""WINTER PARK""]"
physicaltherapynow.com,17,13,0,"[""9889"",""9814"",""9802"",""9878"",""9877"",""9806"",""9803"",""9942"",""9943"",""9813"",""9894"",""9953"",""9841"",""9954"",""9926"",""9939"",""9849""]","[""CAPE CORAL"",""CORAL GABLES"",""CORAL SPRINGS"",""FORT LAUDERDALE"",""FORT LAUDERDALE"",""FORT MYERS"",""HIALEAH"",""HOLLYWOOD"",""HOLLYWOOD"",""MIAMI"",""MIAMI"",""MIAMI"",""MIAMI LAKES"",""NORTH MIAMI BEACH"",""ORLANDO"",""PALM HARBOR"",""TALLAHASSEE""]"
thriveworks.com,16,15,16,"[""10629"",""10630"",""6936"",""8332"",""10631"",""8433"",""5883"",""8488"",""6540"",""10633"",""10632"",""8229"",""8353"",""10634"",""9084"",""8465""]","[""BOCA RATON"",""BOYNTON BEACH"",""CLEARWATER"",""CORAL SPRINGS"",""DAVIE"",""FORT LAUDERDALE"",""GAINESVILLE"",""JACKSONVILLE"",""JACKSONVILLE"",""MAITLAND"",""MIAMI"",""ORLANDO"",""PALM SPRINGS"",""ST. PETERSBURG"",""TALLAHASSEE"",""TAMPA""]"
sunrisegroup.org,15,14,0,"[""10675"",""10678"",""6191"",""10679"",""10683"",""6074"",""10681"",""10682"",""8666"",""10684"",""6329"",""10680"",""10674"",""10677"",""10676""]","[""BARTOW"",""BRADENTON"",""CAPE CORAL"",""CLEWISTON"",""DAVIE"",""DAYTONA BEACH"",""DORAL"",""HOMESTEAD"",""LAKELAND"",""MIAMI"",""MIAMI"",""NAPLES"",""TALLAHASSEE"",""TAMPA"",""WAUCHULA""]"
