city,latitude,longitude,provider_count,thin_le5,lat_decimals,provenance,exact_match_provider,shared_point
ALACHUA,29.813499999999994,-82.472,3,YES,15,provider_average_multi,,
ALTAMONTE SPRINGS,28.6640375,-81.3941875,6,,7,short_decimal_unknown,,
APOLLO BEACH,27.771600000000003,-82.41020000000002,4,YES,15,provider_average_multi,,
APOPKA,28.673699999999997,-81.5012,4,YES,15,provider_average_multi,,
ARCADIA,27.1861,-81.8667,1,YES,4,short_decimal_unknown,,
ARCHER,29.5597,-82.5108,1,YES,4,short_decimal_unknown,,
ATLANTIC BEACH,30.3483,-81.4159,1,YES,4,short_decimal_unknown,,
AUBURNDALE,28.0724,-81.8122,0,YES,4,unverifiable_no_providers,,
AVENTURA,25.95401642857143,-80.13953628571427,8,,14,provider_average_multi,,
AVON PARK,27.6001,-81.5015,2,YES,4,short_decimal_unknown,,
BAKER,30.797132,-86.681344,1,YES,6,short_decimal_unknown,,
BARTOW,27.8957,-81.8127,1,YES,4,short_decimal_unknown,,
BAY HARBOR ISLANDS,25.7907,-80.13,1,YES,4,short_decimal_unknown,,
BELLE GLADE,26.6843,-80.6724,1,YES,4,short_decimal_unknown,,
BELLE ISLE,28.504425,-81.330277,1,YES,6,LEAK_centroid_is_a_real_office,7349|The Kelly Behavioral Institute,
BEVERLY HILLS,28.9295,-82.4892,0,YES,4,unverifiable_no_providers,,
BOCA RATON,26.36597403333334,-80.15512719999998,31,,14,provider_average_multi,,
BOKEELIA,26.6627,-82.1401,0,YES,4,unverifiable_no_providers,,
BONIFAY,30.8464,-85.69,1,YES,4,short_decimal_unknown,,
BONITA SPRINGS,26.3771,-81.7334,2,YES,4,short_decimal_unknown,,
BOYNTON BEACH,26.528035714285718,-80.12035714285716,11,,15,provider_average_multi,,
BRADENTON,27.4638375,-82.5403,8,,7,short_decimal_unknown,,
BRANDON,27.916850000000007,-82.29003181818179,15,,15,provider_average_multi,,
BRONSON,29.461,-82.6356,1,YES,3,short_decimal_unknown,,
BROOKSVILLE,28.538093679999996,-82.45255956000003,13,,15,provider_average_multi,,
BUSHNELL,28.6611,-82.1553,1,YES,4,short_decimal_unknown,,
CALLAHAN,30.552000000000003,-81.8145,1,YES,15,provider_average_multi,,
CAPE CANAVERAL,28.3903,-80.6043,1,YES,4,short_decimal_unknown,,
CAPE CORAL,26.618650242718427,-81.97155445631074,64,,15,provider_average_multi,,
CASSELBERRY,28.6724,-81.2968,2,YES,4,short_decimal_unknown,,
CELEBRATION,28.310268,-81.550965,2,YES,6,short_decimal_unknown,,
CHAMPIONSGATE,28.2531,-81.6509,1,YES,4,short_decimal_unknown,,
CHIEFLAND,29.4832,-82.8809,1,YES,4,short_decimal_unknown,,
CHIPLEY,30.7107,-85.5486,0,YES,4,unverifiable_no_providers,,
CHULUOTA,28.638354,-81.117506,1,YES,6,short_decimal_unknown,,
CITRA,29.3918,-82.1062,2,YES,4,short_decimal_unknown,,
CLEARWATER,27.969600605769223,-82.7474119134615,73,,15,provider_average_multi,,
CLERMONT,28.5525,-81.7574,8,,4,short_decimal_unknown,,
CLEWISTON,26.75287,-80.939918,1,YES,5,short_decimal_unknown,,
COCOA,28.426800000000004,-80.7807,3,YES,15,provider_average_multi,,
COCOA BEACH,28.332747,-80.625331,1,YES,6,short_decimal_unknown,,
COCONUT CREEK,26.288790304347824,-80.18510017391306,14,,15,provider_average_multi,,
COCONUT GROVE,25.72923,-80.239604,1,YES,5,LEAK_centroid_is_a_real_office,9094|Williamsburg Therapy Group Miami,
COOPER CITY,26.06196,-80.32718374999999,5,YES,5,short_decimal_unknown,,
CORAL GABLES,25.750219076923088,-80.26378696153847,24,,15,provider_copied_this_centroid,10722|Cultivate Behavioral Health & Education - Coral Gables,
