ids,city,site,reason,names
8564|8867,PORT ST. LUCIE,abeautifulmindcounseling.com,A Beautiful Mind - Saint/St spelling,A Beautiful Mind Counseling and Consulting - Port Saint Lucie || A Beautiful Mind Counseling and Consulting - Port St. Lucie
6904|10660,PORT ST. LUCIE,behaviorbasicsinc.com,Behavior Basics PSL - unsuffixed vs suffixed,Behavior Basics Incorporated || Behavior Basics Inc. - Port St. Lucie
9786|10659,MELBOURNE,behaviorbasicsinc.com,Behavior Basics Melbourne - unsuffixed vs suffixed,"Behavior Basics, Inc., Brevard Office || Behavior Basics Inc."
7338|9249,PORT ST. LUCIE,clawsonspeechtherapy.com,Clawson Speech - Saint/St spelling,Clawson Speech Therapy - Port St. Lucie || Clawson Speech Therapy - Port Saint Lucie
8589|8905,PORT ST. LUCIE,drtrippandassociates.com,Dr. Tripp - Saint/St spelling,Dr. Tripp & Associates - Port Saint Lucie || Dr. Tripp & Associates - Port St. Lucie
7141|8596,TALLAHASSEE,firstwordsproject.com,"FIRST WORDS - city vs ""Bldg. A""",FIRST WORDS Project - Tallahassee || FIRST WORDS Project - Bldg. A
6593|10161,LAKELAND,horizonspediatriccenter.com,"Horizons PPEC - suite B1/B2, same license",Horizons Pediatric Center PPEC - Lakeland || Horizons Pediatric Center PPEC - B2
6027|8812,PORT ST. LUCIE,imindmental.com,iMind - Saint/St spelling,iMind Mental Health Solutions - Port Saint Lucie || iMind Mental Health Solutions - Port St. Lucie
6775|8599,PORT ST. LUCIE,krisparkerandassociates.com,Kris Parker - Saint/St spelling,Kris Parker and Associates - Port St. Lucie || Kris Parker and Associates - Port Saint Lucie
6801|8600,PORT ST. LUCIE,learningstepscenter.com,Learning Steps - Saint/St spelling,"Learning Steps Diagnostics and Educational Center, LLC - Port St. Lucie || Learning Steps Diagnostics and Educational Center, LLC - Port Saint Lucie"
7069|9284,MIAMI,mykidtherapycenter.com,My Kid Therapy Miami - unsuffixed vs suffixed,My Kid Therapy Center - ABA Therapy || My Kid Therapy Center
7674|9078,ORANGE PARK,needsctr.org,"NEEDS Center - trade vs legal name, same city",The NEEDS Center - 175 Industrial Loop S || NEEDS Center (North East Educational & Developmental Support Center)
6807|10410,PORT ST. LUCIE,novemberandassociatestherapy.com,November & Associates - Saint/St spelling,November & Associates Therapy Center - Port St. Lucie || November & Associates Therapy Center - Port Saint Lucie
8883|9170,PORT ST. LUCIE,provitaspeech.com,Provita Speech - Saint/St spelling,Provita Speech Therapy Port St Lucie - Port St. Lucie || Provita Speech Therapy Port St Lucie - Port Saint Lucie
7126|7286,PORT ST. LUCIE,re-writtencounseling.com,Re-Written - Saint/St spelling,"Re-Written Counseling Services, LLC - Port St. Lucie || Re-Written Counseling Services, LLC - Port Saint Lucie"
8510|9043,PORT ST. LUCIE,risecounselingtc.com,Rise Counseling - Saint/St spelling,Rise Counseling Treasure Coast - Port Saint Lucie || Rise Counseling Treasure Coast - Port St. Lucie
7415|9364,FORT LAUDERDALE,speak2metherapy.com,Therapy Hive - Ft/Fort spelling,The Therapy Hive - Fort Lauderdale || The Therapy Hive - Ft Lauderdale
6592|9403,PORT ST. LUCIE,sunshinetherapies.org,Sunshine Therapies - Saint/St spelling,"Sunshine Therapies, LLC - Port St. Lucie || Sunshine Therapies, LLC - Port Saint Lucie"
6854|8520,PORT ST. LUCIE,travelinglightcounseling.com,Traveling Light - Saint/St spelling,Traveling Light Counseling Inc - Port St. Lucie || Traveling Light Counseling Inc - Port Saint Lucie
