id,name,city,phone,website,verified
6922,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Brooksville,Brooksville,(352) 616-7600,https://elitedna.com/locations/brooksville/?utm_source=gmb&utm_medium=organic&utm_campaign=brooksville&utm_content=main-link,true
6989,Envisioning Hope Counseling,Brooksville,(352) 440-3004,http://envisioninghopecounseling.com/,false
7044,LifeSpring Counseling Center,Brooksville,(352) 263-1499,http://www.lifespringcounseling.center/,false
7442,"Better Perspective Counseling Services, LLC - Cape Coral",Cape Coral,(941) 702-2098,http://www.betterperspectivecounseling.com/,false
6671,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Cape Coral,Cape Coral,(239) 673-9034,https://elitedna.com/locations/cape-coral/?utm_source=gmb&utm_medium=organic&utm_campaign=cape-coral&utm_content=main-link,true
6740,I-BOS Counseling Center,Cape Coral,(239) 443-6385,http://www.iboscounseling.com/,true
7034,"Positive Progress - Counseling & Coaching, PLLC",Cape Coral,(239) 829-5480,https://capecoralcounselor.com/?utm_source=google_business_profile&utm_medium=gbp_website_link,false
7440,"Southwest Florida Sports Counseling, LLC",Cape Coral,(941) 677-8002,https://swfltherapy.com/,false
6829,"The Back Door Counseling, LLC",Cape Coral,(239) 699-8622,http://www.thebackdoorcounseling.com/,true
6491,Untamed Therapy & Consulting | EMDR Certified Trauma Therapy in SWFL,Cape Coral,(941) 876-8033,https://untamedtherapy.com/,true
6866,"360 Counseling LLC Clearwater, FL",Clearwater,(727) 804-8623,http://www.clearwater360counseling.com/,true
6614,Better Care Counseling,Clearwater,(727) 491-3999,http://bettercarecounseling.com/,true
9032,Be Kind To Mind Counseling,Daytona Beach,(386) 272-7440,https://bekindtomind.com/,false
7019,Daytona Beach Counseling Center,Daytona Beach,(386) 405-4128,http://daytonabeachcounselingcenter.com/,false
8971,Embridge Counseling Services,Daytona Beach,(386) 747-6541,http://www.embridgecounselingservices.com/,false
10363,New Beginnings Counseling,Daytona Beach Shores,(401) 486-6081,null,false
6032,Modern Minds Counseling and Art Therapy,Dunedin,(727) 386-9703,http://www.modernmindscounseling.com/,true
6731,"Restorative Integrations, Fort Lauderdale EMDR Therapy",Fort Lauderdale,(954) 738-1698,https://www.restorativeintegrations.com/,true
7299,A Peaceful Mind Counseling Group,Fort Myers,(239) 266-2620,https://apmcounseling.org/,false
6809,Prather Behavioral Health and Counseling LLC,Fort Myers,(904) 878-0006,http://pratherbhc.com/,true
7000,"SWFL Counseling, LLC",Fort Myers,(239) 225-2180,http://www.swflcounsel.com/,false
6559,"The Onyx Counseling Center, LLC",Fort Myers,(239) 900-0573,null,true
6502,"Creative Counseling Services, Inc.",Gainesville,(352) 373-1218,null,true
5847,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Gainesville,Gainesville,(352) 363-2025,https://elitedna.com/locations/gainesville/?utm_source=gmb&utm_medium=organic&utm_campaign=gainesville&utm_content=main-link,true
9103,Learning Curve Counseling,Gainesville,(352) 559-9878,http://www.learningcurvecounseling.com/,false
6883,Revive Counseling Gainesville,Gainesville,(352) 731-0050,https://revivegnv.com/,true
8856,Time For Change Counseling,Gainesville,(352) 371-1979,http://www.atimeforchange.org/,false
6797,Village Counseling Center of Gainesville - Main Office,Gainesville,(352) 373-8189,http://www.villagecounselingcenter.net/,true
6942,"Blum Counseling Group, LLC",Hollywood,(786) 540-3047,http://www.blumcounselinggroup.com/,false
7312,Your Narrative Counseling & Therapeutic Services,Hollywood,(754) 400-1689,http://www.yournarrativecounseling.com/,false
8946,Adolescent & Adult Psychotherapy Services,Jacksonville,(904) 636-9444,null,false
6561,"Authentic Self Counseling of Jacksonville, LLC",Jacksonville,(904) 990-7117,http://www.authenticselfjax.com/,true
7272,Full Potential Counseling,Jacksonville,(904) 204-9308,http://www.fullpotentialcounseling.com/,false
6613,Insight Psychiatry & Counseling,Jacksonville,(904) 274-1423,https://www.insightpsychiatrycounseling.com/,true
6836,"Lotus Moon Counseling, LLC",Jacksonville,(904) 474-1467,https://lotusmooncounselingllc.clientsecure.me/,true
7185,McGuire Counseling and Psychotherapy,Jacksonville,(904) 575-7209,http://www.mcguirerecovery.com/,false
6569,Southside Counseling Biofeedback & Stress Management Center,Jacksonville,(904) 260-4100,null,true
6716,ABC Mental Health & Relationship Counseling,Lakeland,(863) 397-3240,http://www.abcmentalhealthcounseling.com/,true
8923,Atala Counseling,Lakeland,(863) 450-3626,https://atalacounseling.com/,false
