id,name,city,slug,website
6922,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Brooksville,Brooksville,elite-dna-behavioral-health-therapy-psychiatry-clinic-brooksville-brooksville-fl-6922,https://elitedna.com/locations/brooksville/?utm_source=gmb&utm_medium=organic&utm_campaign=brooksville&utm_content=main-link
6989,Envisioning Hope Counseling,Brooksville,envisioning-hope-counseling-brooksville-fl-6989,http://envisioninghopecounseling.com/
7044,LifeSpring Counseling Center,Brooksville,lifespring-counseling-center-brooksville-fl-7044,http://www.lifespringcounseling.center/
7442,"Better Perspective Counseling Services, LLC - Cape Coral",Cape Coral,better-perspective-counseling-services-llc-cape-coral-cape-coral-fl-7442,http://www.betterperspectivecounseling.com/
6671,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Cape Coral,Cape Coral,elite-dna-behavioral-health-therapy-psychiatry-clinic-cape-coral-cape-coral-fl-6671,https://elitedna.com/locations/cape-coral/?utm_source=gmb&utm_medium=organic&utm_campaign=cape-coral&utm_content=main-link
6740,I-BOS Counseling Center,Cape Coral,i-bos-counseling-center-cape-coral-fl-6740,http://www.iboscounseling.com/
7034,"Positive Progress - Counseling & Coaching, PLLC",Cape Coral,positive-progress-counseling-coaching-pllc-cape-coral-fl-7034,https://capecoralcounselor.com/?utm_source=google_business_profile&utm_medium=gbp_website_link
7440,"Southwest Florida Sports Counseling, LLC",Cape Coral,southwest-florida-sports-counseling-llc-cape-coral-fl-7440,https://swfltherapy.com/
6829,"The Back Door Counseling, LLC",Cape Coral,the-back-door-counseling-llc-cape-coral-fl-6829,http://www.thebackdoorcounseling.com/
6491,Untamed Therapy & Consulting | EMDR Certified Trauma Therapy in SWFL,Cape Coral,untamed-therapy-consulting-emdr-certified-trauma-therapy-in-swfl-cape-coral-fl-6491,https://untamedtherapy.com/
6866,"360 Counseling LLC Clearwater, FL",Clearwater,360-counseling-llc-clearwater-fl-clearwater-fl-6866,http://www.clearwater360counseling.com/
6614,Better Care Counseling,Clearwater,better-care-counseling-clearwater-fl-6614,http://bettercarecounseling.com/
9032,Be Kind To Mind Counseling,Daytona Beach,be-kind-to-mind-counseling-daytona-beach-fl-9032,https://bekindtomind.com/
7019,Daytona Beach Counseling Center,Daytona Beach,daytona-beach-counseling-center-daytona-beach-fl-7019,http://daytonabeachcounselingcenter.com/
8971,Embridge Counseling Services,Daytona Beach,embridge-counseling-services-daytona-beach-fl-8971,http://www.embridgecounselingservices.com/
10363,New Beginnings Counseling,Daytona Beach Shores,new-beginnings-counseling-daytona-beach-shores-fl-10363,null
6032,Modern Minds Counseling and Art Therapy,Dunedin,modern-minds-counseling-and-art-therapy-dunedin-fl-6032,http://www.modernmindscounseling.com/
6731,"Restorative Integrations, Fort Lauderdale EMDR Therapy",Fort Lauderdale,restorative-integrations-fort-lauderdale-emdr-therapy-fort-lauderdale-fl-6731,https://www.restorativeintegrations.com/
7299,A Peaceful Mind Counseling Group,Fort Myers,a-peaceful-mind-counseling-group-fort-myers-fl-7299,https://apmcounseling.org/
6809,Prather Behavioral Health and Counseling LLC,Fort Myers,prather-behavioral-health-and-counseling-llc-fort-myers-fl-6809,http://pratherbhc.com/
7000,"SWFL Counseling, LLC",Fort Myers,swfl-counseling-llc-fort-myers-fl-7000,http://www.swflcounsel.com/
6559,"The Onyx Counseling Center, LLC",Fort Myers,the-onyx-counseling-center-llc-fort-myers-fl-6559,null
6502,"Creative Counseling Services, Inc.",Gainesville,creative-counseling-services-inc-gainesville-fl-6502,null
5847,Elite DNA Behavioral Health Therapy & Psychiatry Clinic - Gainesville,Gainesville,elite-dna-behavioral-health-therapy-psychiatry-clinic-gainesville-gainesville-fl-5847,https://elitedna.com/locations/gainesville/?utm_source=gmb&utm_medium=organic&utm_campaign=gainesville&utm_content=main-link
9103,Learning Curve Counseling,Gainesville,learning-curve-counseling-gainesville-fl-9103,http://www.learningcurvecounseling.com/
6883,Revive Counseling Gainesville,Gainesville,revive-counseling-gainesville-gainesville-fl-6883,https://revivegnv.com/
8856,Time For Change Counseling,Gainesville,time-for-change-counseling-gainesville-fl-8856,http://www.atimeforchange.org/
6797,Village Counseling Center of Gainesville - Main Office,Gainesville,village-counseling-center-of-gainesville-main-office-gainesville-fl-6797,http://www.villagecounselingcenter.net/
6942,"Blum Counseling Group, LLC",Hollywood,blum-counseling-group-llc-hollywood-fl-6942,http://www.blumcounselinggroup.com/
8946,Adolescent & Adult Psychotherapy Services,Jacksonville,adolescent-adult-psychotherapy-services-jacksonville-fl-8946,null
6561,"Authentic Self Counseling of Jacksonville, LLC",Jacksonville,authentic-self-counseling-of-jacksonville-llc-jacksonville-fl-6561,http://www.authenticselfjax.com/
7272,Full Potential Counseling,Jacksonville,full-potential-counseling-jacksonville-fl-7272,http://www.fullpotentialcounseling.com/
6613,Insight Psychiatry & Counseling,Jacksonville,insight-psychiatry-counseling-jacksonville-fl-6613,https://www.insightpsychiatrycounseling.com/
6836,"Lotus Moon Counseling, LLC",Jacksonville,lotus-moon-counseling-llc-jacksonville-fl-6836,https://lotusmooncounselingllc.clientsecure.me/
7185,McGuire Counseling and Psychotherapy,Jacksonville,mcguire-counseling-and-psychotherapy-jacksonville-fl-7185,http://www.mcguirerecovery.com/
6569,Southside Counseling Biofeedback & Stress Management Center,Jacksonville,southside-counseling-biofeedback-stress-management-center-jacksonville-fl-6569,null
6716,ABC Mental Health & Relationship Counseling,Lakeland,abc-mental-health-relationship-counseling-lakeland-fl-6716,http://www.abcmentalhealthcounseling.com/
8923,Atala Counseling,Lakeland,atala-counseling-lakeland-fl-8923,https://atalacounseling.com/
6897,"Black Swan Counseling Services, LLC",Lakeland,black-swan-counseling-services-llc-lakeland-fl-6897,https://www.blackswancounseling.com/
8803,Counseling and Testing Services,Lakeland,counseling-and-testing-services-lakeland-fl-8803,http://www.counselingandtesting.com/
7233,Creative Community Counseling,Lakeland,creative-community-counseling-lakeland-fl-7233,https://www.cathyghent.com/contact-me
9116,Cue Counseling Center,Lakeland,cue-counseling-center-lakeland-fl-9116,http://cuecounseling.com/
6768,Family Life Counseling Center,Lakeland,family-life-counseling-center-lakeland-fl-6768,https://www.familylifecounselingcenter.com/
7060,Floret Counseling,Lakeland,floret-counseling-lakeland-fl-7060,https://www.floretcounseling.com/
9109,Hope Counseling Centers,Lakeland,hope-counseling-centers-lakeland-fl-9109,https://hopecounselingeap.com/?y_source=1_MzA2MTE0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
7465,"KINTI COUNSELING, LLC",Lakeland,kinti-counseling-llc-lakeland-fl-7465,https://daniela-suarez-ms.clientsecure.me/
9030,Masterpiece Counseling LLC,Lakeland,masterpiece-counseling-llc-lakeland-fl-9030,http://masterpiececounseling.org/
9097,Meadowbrook Psychiatric & Counseling Centre,Lakeland,meadowbrook-psychiatric-counseling-centre-lakeland-fl-9097,https://meadowbrookcentre.org/
7182,New Directions Counseling Center LLC,Lakeland,new-directions-counseling-center-llc-lakeland-fl-7182,http://www.ndcclakeland.com/
8828,Perspective A Counseling Center LLC,Lakeland,perspective-a-counseling-center-llc-lakeland-fl-8828,null
6492,Renewed Integrative Counseling,Lakeland,renewed-integrative-counseling-lakeland-fl-6492,http://www.renewedic.com/lakeland
7276,"Serenity Counseling, Michael Trabulsy, LMHC",Lakeland,serenity-counseling-michael-trabulsy-lmhc-lakeland-fl-7276,null
8886,SILVER LINING COUNSELING,Lakeland,silver-lining-counseling-lakeland-fl-8886,https://silverliningfl.com/
7899,Stoa Life Counseling,Lakeland,stoa-life-counseling-lakeland-fl-7899,https://stoalife.com/
7040,Thoughtful Counseling LLC,Lakeland,thoughtful-counseling-llc-lakeland-fl-7040,https://www.thoughtfulcounseling.net/
