location_name,city,street_address,latitude,longitude,geocode_method,confidence,notes
"Boca Raton, FL",Boca Raton,9970 S. Central Park Blvd Suite 401,26.3572201,-80.2013805,CENSUS,MEDIUM,"Census matched ""9970 N CENTRAL PARK BLVD, BOCA RATON, FL, 33428"". Census normalised the directional: site publishes ""9970 S. Central Park Blvd"", Census returns ""9970 N CENTRAL PARK BLVD"". Queried both spellings (2 attempts) - identical coordinates and identical TIGER range 9900-9998, so only the N segment carries this block. ZIP, city and street type all match. Verify the directional before publishing the address text."
"Boynton Beach, FL",Boynton Beach,8188 Jog Road Ste 101,26.5545149,-80.1499070,CENSUS,HIGH,"Census matched ""8188 JOG RD, BOYNTON BEACH, FL, 33472"". Exact match. ZIP, city, street name and type all agree."
"Bradenton, FL",Bradenton,522 9th St. W,27.4950839,-82.5712969,CENSUS,HIGH,"Census matched ""522 9TH ST W, BRADENTON, FL, 34205"". Exact match including the W suffix direction. ZIP, city, street type all agree."
"Coral Springs, FL",Coral Springs,1725 N University Dr Suite 325,26.2526143,-80.2530309,CENSUS,HIGH,"Census matched ""1725 N UNIVERSITY DR, CORAL SPRINGS, FL, 33071"". Exact match. ZIP, city, street name, directional and type all agree. NOTE: this clinic is not open yet - clinic-based services marked coming September 2026."
"Orange Park, FL",Orange Park,350 Corporate Way Suite 400,30.1837028,-81.7116664,CENSUS,HIGH,"Census matched ""350 CORPORATE WAY, ORANGE PARK, FL, 32073"". Exact match. ZIP, city, street type all agree. Street address itself came from the Cultivate FL index / Jacksonville Metro page, not the location page."
"Sebastian, FL",Sebastian,1424 US Hwy 1 Ste C,,,FAILED,LOW,"Census returned 0 matches on 2 attempts (""1424 US Highway 1"" and ""1424 US Hwy 1"", both with Sebastian FL 32958). Google fallback not available - the Maps Geocoding API returns REQUEST_DENIED without an API key, which was not provided. Left empty rather than estimated. Highway addresses are a known gap in the TIGER address ranges."
"Sunrise, FL",Sunrise,1398 SW 160th Avenue Suite 401,26.1043351,-80.3623523,CENSUS,HIGH,"Census matched ""1398 SW 160TH AVE, SUNRISE, FL, 33326"". Exact match. ZIP, city, street name, directional and type all agree."
"Yulee, FL",Yulee,87009 Professional Way,,,FAILED,LOW,Census returned 0 matches on 2 attempts (Yulee FL 32097 and Fernandina Beach FL 32097). Google fallback not available - the Maps Geocoding API returns REQUEST_DENIED without an API key. Left empty rather than estimated. 87009 is a Nassau County grid-style number that TIGER does not carry.
"Coral Gables, FL",Coral Gables,,25.750219076923088,-80.26378696153847,JSON_EXISTING,HIGH,"Key ""CORAL GABLES"" present in cityCoordinates_FINAL.json; coordinates copied verbatim. In-home only location - no street address published by Cultivate."
"Cutler Bay, FL",Cutler Bay,,25.58406666666667,-80.33913333333334,JSON_EXISTING,HIGH,"Key ""CUTLER BAY"" present in cityCoordinates_FINAL.json; coordinates copied verbatim. In-home only location - no street address published by Cultivate."
"Kendale Lakes, FL",Kendale Lakes,,25.7080455,-80.4078356,CENSUS_CENTROID,HIGH,"GAP: key ""KENDALE LAKES"" is MISSING from cityCoordinates_FINAL.json. Centroid taken from Census TIGERweb Census Designated Places layer (STATE=12, BASENAME=Kendale Lakes), 1 feature returned. In-home only location - no street address published."
"Kendall, FL",Kendall,,25.6696689,-80.3555844,CENSUS_CENTROID,HIGH,"GAP: key ""KENDALL"" is MISSING from cityCoordinates_FINAL.json. Centroid taken from Census TIGERweb Census Designated Places layer (STATE=12, BASENAME=Kendall), 1 feature returned. In-home only location - no street address published."
"Palm Beach, FL",Palm Beach,,26.7206,-80.0388,JSON_EXISTING,HIGH,"Key ""PALM BEACH"" present in cityCoordinates_FINAL.json; coordinates copied verbatim. In-home only location - no street address published by Cultivate."
"Vero Beach, FL",Vero Beach,,27.633,-80.4031,JSON_EXISTING,HIGH,"Key ""VERO BEACH"" present in cityCoordinates_FINAL.json; coordinates copied verbatim. In-home only location - no street address published by Cultivate."
