batch_id,batch_name,batch_address,batch_city,match_id,match_name,match_address,match_city
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,Tampa,5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,Tampa
6027,iMind Mental Health Solutions - Port Saint Lucie,145 NW CENTRAL PARK PLAZA,Port St. Lucie,8812,iMind Mental Health Solutions - Port St. Lucie,145 NW Central Park Plaza,Port St. Lucie
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",10570 S U.S. HWY 1,Port St. Lucie,7126,"Re-Written Counseling Services, LLC - Port St. Lucie",10570 S U.S. Hwy 1,Port St. Lucie
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",10570 S U.S. HWY 1,Port St. Lucie,6911,Mind + Body Counseling Institute Inc.,10570 S U.S. Hwy 1,Port St. Lucie
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",10570 S U.S. HWY 1,Port St. Lucie,8941,Breakthrough Trauma Therapy,10570 S U.S. Hwy 1,Port St. Lucie
7674,The NEEDS Center - 175 Industrial Loop S,175 INDUSTRIAL LOOP S,Orange Park,9078,NEEDS Center (North East Educational & Developmental Support Center),175 INDUSTRIAL LOOP S,Orange Park
8510,Rise Counseling Treasure Coast - Port Saint Lucie,1680 SE LYNGATE DR,Port St. Lucie,9043,Rise Counseling Treasure Coast - Port St. Lucie,1680 SE Lyngate Dr,Port St. Lucie
8520,Traveling Light Counseling Inc - Port Saint Lucie,1222 SE PORT ST LUCIE BLVD,Port St. Lucie,6854,Traveling Light Counseling Inc - Port St. Lucie,1222 SE Port St Lucie Blvd,Port St. Lucie
8557,The Arc of Volusia Inc - Holly Hill - 100 Jimmy Huger Cir,100 JIMMY HUGER CIR,Holly Hill,7402,The Arc of Volusia Inc - Daytona Beach,100 Jimmy Huger Cir,Daytona Beach
8564,A Beautiful Mind Counseling and Consulting - Port Saint Lucie,1225 SE PORT ST LUCIE BLVD,Port St. Lucie,7338,Clawson Speech Therapy - Port St. Lucie,1225 SE Port St Lucie Blvd,Port St. Lucie
8564,A Beautiful Mind Counseling and Consulting - Port Saint Lucie,1225 SE PORT ST LUCIE BLVD,Port St. Lucie,9249,Clawson Speech Therapy - Port Saint Lucie,1225 SE PORT ST LUCIE BLVD,Port St. Lucie
8564,A Beautiful Mind Counseling and Consulting - Port Saint Lucie,1225 SE PORT ST LUCIE BLVD,Port St. Lucie,8867,A Beautiful Mind Counseling and Consulting - Port St. Lucie,1225 SE Port St Lucie Blvd,Port St. Lucie
8573,Life Developmental Center - Miramar - 6700 Sw 13th St,6700 SW 13TH ST,Miramar,5828,"LIFE DEVELOPMENTAL CENTER, LLC
LIFE DEVELOPMENTAL CENTER",6700 SW 13TH ST,Pembroke Pines
8573,Life Developmental Center - Miramar - 6700 Sw 13th St,6700 SW 13TH ST,Miramar,6515,Life Developmental Center - Pembroke Pines,6700 SW 13th St,Pembroke Pines
8582,Children's Behavioral Intervention - Palm Springs,1601 BELVEDERE RD E-300,Palm Springs,6563,Children's Behavioral Intervention - West Palm Beach,1601 Belvedere Rd E-300,West Palm Beach
8587,Ellie Mental Health - Hollywood,9050 PINES BLVD,Hollywood,9562,USA Sports Medicine Pembroke Pines,9050 PINES BLVD,Hollywood
8597,"Leslie Danner, EdS, LSP - 1555 Matthew Dr",1555 MATTHEW DR,Fort Myers,5791,Gulfshore Behavioral Health,1555 Matthew Dr,Fort Myers
8603,"Maximum Achievers, LLC - Palm Springs",1495 FOREST HILL BLVD,Palm Springs,7045,"Maximum Achievers, LLC - West Palm Beach",1495 Forest Hill Blvd,West Palm Beach
