slug,title,city,input_address,matched_address,latitude,longitude,geocode_method,notes
karaoke-dance-party-at-loveland-bradenton-bradenton-aug-2026,Karaoke Dance Party at Loveland Bradenton,Bradenton,"5704 Manatee Ave W, Bradenton, FL, 34209","5704 MANATEE AVE W, BRADENTON, FL, 34209",27.4960251,-82.6179133,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
special-olympics-florida-state-surfing-invitational-cocoa-beach-aug-2026,Special Olympics Florida State Surfing Invitational,Cocoa Beach,"299 E Cocoa Beach Causeway, Cocoa Beach, FL, 32931","299 E COCOA BEACH CSWY, COCOA BEACH, FL, 32931",28.3579432,-80.6048853,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
just-for-dads-support-group-coral-gables-coral-gables,Just for Dads Support Group (Coral Gables),Coral Gables,"5665 Ponce de Leon Blvd., Coral Gables, FL, 33146","5665 PONCE DE LEON BLVD, CORAL GABLES, FL, 33146",25.7117023,-80.2814006,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
adult-support-group-coral-gables,Adult Support Group,Coral Gables,"5665 Ponce de Leon Blvd., Coral Gables, FL, 33146","5665 PONCE DE LEON BLVD, CORAL GABLES, FL, 33146",25.7117023,-80.2814006,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
just-for-moms-support-group-coral-gables-coral-gables,Just for Moms Support Group (Coral Gables),Coral Gables,"5665 Ponce de Leon Blvd., Coral Gables, FL, 33146","5665 PONCE DE LEON BLVD, CORAL GABLES, FL, 33146",25.7117023,-80.2814006,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
connect-four-support-group-davie,Connect Four Support Group,Davie,"7600 SW 36th Street, Davie, FL, 33328","7600 SW 36TH ST, DAVIE, FL, 33328",26.0764310,-80.2488226,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. addressComponents range is descending (fromAddress 7862, toAddress 7600)"
aba-therapy-center-for-autism-open-house-event-in-broward-davie-sep-2026,"ABA Therapy Center for Autism - Open House Event in Broward County, FL",Davie,"5400 South University Drive, Suite 502, Davie, FL, 33328","5400 S UNIVERSITY DR, DAVIE, FL, 33328",26.0542690,-80.2517542,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Matched to a wide block range (5300-5998)"
visual-village-davie,Visual Village,Davie,"7600 SW 36th Street, Davie, FL, 33328","7600 SW 36TH ST, DAVIE, FL, 33328",26.0764310,-80.2488226,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. addressComponents range is descending (fromAddress 7862, toAddress 7600)"
grupo-de-apoyo-para-madres-davie,Grupo de Apoyo Para Madres,Davie,"7600 SW 36th Street, Davie, FL, 33328","7600 SW 36TH ST, DAVIE, FL, 33328",26.0764310,-80.2488226,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. addressComponents range is descending (fromAddress 7862, toAddress 7600)"
just-for-dads-support-group-at-nsu-davie,Just for Dads Support Group at NSU,Davie,"7600 SW 36th Street, Suite 200, Davie, FL, 33328","7600 SW 36TH ST, DAVIE, FL, 33328",26.0764310,-80.2488226,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. addressComponents range is descending (fromAddress 7862, toAddress 7600)"
sensory-saturdays-at-nsu-art-museum-fort-lauderdale-fort-lauderdale,Sensory Saturdays at NSU Art Museum Fort Lauderdale,Fort Lauderdale,"One East Las Olas Boulevard, Fort Lauderdale, FL, 33301","1 E LAS OLAS BLVD, FORT LAUDERDALE, FL, 33301",26.1195105,-80.1432955,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Spelled-out ""One"" resolved on attempt 1; no second attempt needed"
back-to-the-future-of-inclusion-a-night-to-change-tomorrow-fort-lauderdale-oct-2026,Back to the Future of Inclusion - A Night to Change Tomorrow,Fort Lauderdale,"307 SW 2nd St, Fort Lauderdale, FL, 33312","307 SW 2ND ST, FORT LAUDERDALE, FL, 33312",26.1205492,-80.1465113,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
fnd-psn-academic-summit-fort-myers-aug-2026,FND PSN Academic Summit,Fort Myers,"11098 FGCU Blvd N, Fort Myers, FL, 33965",,,,FAILED,"Census returned 0 matches after 2 attempt(s): ""11098 FGCU Blvd N, Fort Myers, FL 33965"" and ""11098 FGCU Boulevard North, Fort Myers, FL 33965"". Both attempts returned an empty addressMatches array. No fetch errors; benchmark responded normally."
special-olympics-florida-state-stand-up-paddle-invitational-islamorada-aug-2026,Special Olympics Florida State Stand Up Paddle Invitational,Islamorada,"87000 Overseas Highway, Islamorada, FL, 33036","87000 OVERSEAS HWY, ISLAMORADA, FL, 33036",24.9590947,-80.5709898,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
falloween-festival-jupiter-oct-2026,FALLoween Festival,Jupiter,"18370 Limestone Creek Road, Jupiter, FL, 33458","18370 LIMESTONE CREEK RD, JUPITER, FL, 33458",26.9475098,-80.1420250,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. addressComponents range is descending (fromAddress 18398, toAddress 18302)"
special-olympics-florida-coaches-training-school-key-largo-key-largo-sep-2026,Special Olympics Florida Coaches Training School - Key Largo,Key Largo,"104801 Overseas Highway, Key Largo, FL, 33037",,,,FAILED,"Census returned 0 matches after 2 attempt(s): ""104801 Overseas Highway, Key Largo, FL 33037"" and ""104801 Overseas Hwy, Key Largo, FL 33037"". Both attempts returned an empty addressMatches array. No fetch errors; benchmark responded normally."
sensory-boo-at-the-zoo-melbourne-oct-2026,Sensory Boo at the Zoo,Melbourne,"8225 North Wickham Road, Melbourne, FL, 32940",,,,FAILED,"Census returned 0 matches after 2 attempt(s): ""8225 North Wickham Road, Melbourne, FL 32940"" and ""8225 N Wickham Rd, Melbourne, FL 32940"". Both attempts returned empty addressMatches array."
2026-disability-resource-fair-miami,2026 Disability Resource Fair,Miami,"10901 Southwest 24th Street, Miami, FL, 33165","10901 SW 24TH ST, MIAMI, FL, 33165",25.7467183,-80.3718959,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
navegando-juntos-miami-lakes-miami-lakes,Navegando Juntos (Miami Lakes),Miami Lakes,"5801 NW 151st Street, Miami Lakes, FL, 33014","5801 NW 151ST ST, MIAMI LAKES, FL, 33014",25.9108190,-80.2975357,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
navegando-juntos-miramar-miramar,Navegando Juntos (Miramar),Miramar,"2050 Civic Center Place, Miramar, FL, 33025","2050 CIVIC CENTER PL, MIRAMAR, FL, 33025",25.9884169,-80.3005900,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
center-stage-connections-family-theater-fun-naples-aug-2026,Center Stage Connections: Family Theater Fun,Naples,"701 5th Ave S, Naples, FL, 34102","701 5TH AVE S, NAPLES, FL, 34102",26.1416161,-81.7975440,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
