id,title,date,end_date,city,county,venue_name,organizer_name,category,event_type,is_recurring,website_url,registration_url,slug
117,Behavior Basics 2 (PALS/UCF CARD),2026-07-21,null,Orlando,Orange,null,PALS / UCF CARD,educational,null,false,null,https://www.eventbrite.com/e/behavior-basics-2-tickets-1992772704804,behavior-basics-2-pals-orlando-jul-2026
118,Parent Developed Portfolio for Your Child's Teacher,2026-07-23,null,Orlando,Orange,null,PALS / UCF CARD,educational,null,false,null,https://www.eventbrite.com/e/parent-developed-portfolio-for-your-childs-teacher-tickets-1992769140142,parent-portfolio-workshop-orlando-jul-2026
56,Autism and UF Conference,2026-07-25,null,Gainesville,North Florida,University of Florida,University of Florida CARD,professional_development,Professional Conference,false,https://card.ufl.edu,https://card.ufl.edu,autism-and-uf-conference-56
139,Art on the Spectrum at Tampa Museum of Art,2026-07-26,null,Tampa,Hillsborough,Tampa Museum of Art,Tampa Museum of Art / CARD-USF,sensory-friendly,null,true,null,https://tampamuseum.org/series/art-on-the-spectrum/,art-on-the-spectrum-tampa
138,Sunshine Sunday at Glazer Children's Museum,2026-07-26,null,Tampa,Hillsborough,Glazer Children's Museum,Glazer Children's Museum,sensory-friendly,null,true,null,https://glazermuseum.org/series/sunshine-sunday/,sunshine-sunday-glazer-tampa
136,MODS Sensory-Friendly Sunday,2026-07-26,null,Fort Lauderdale,Broward,Museum of Discovery and Science,Museum of Discovery and Science,sensory-friendly,null,true,null,https://mods.org/series/sensory-friendly-sunday/,mods-sensory-friendly-sunday-fort-lauderdale
119,JUMPSTART into Middle/High School,2026-07-27,null,Orlando,Orange,null,PALS / UCF CARD,educational,null,false,null,https://www.eventbrite.com/e/jumpstart-into-middlehigh-school-tickets-1989603552785,jumpstart-middle-high-school-orlando-jul-2026
120,Circle of Care Parent/Caregiver Chat Night,2026-07-30,null,Orlando,Orange,null,PALS / UCF CARD,support-groups,null,false,null,https://www.eventbrite.com/e/circle-of-care-parentcaregiver-chat-night-tickets-1992758578552,circle-of-care-chat-night-orlando-jul-2026
121,PALS Adaptive Judo — August (Ocoee),2026-08-01,2026-08-22,Ocoee,Orange,null,PALS / UCF CARD,social,null,false,null,https://www.eventbrite.com/e/pals-cc-adaptive-judo-august-2026-tickets-1992949894784,pals-adaptive-judo-ocoee-aug-2026
142,Sensory Sunday at Surge Adventure Park,2026-08-02,null,Jacksonville,Duval,Surge Adventure Park,Surge Adventure Park,sensory-friendly,null,true,null,https://www.visitjacksonville.com/plan-your-trip/accessible-travel/autism-friendly-travel/,sensory-sunday-surge-jacksonville
122,PALS Adaptive Judo — August (Kissimmee),2026-08-03,2026-08-24,Kissimmee,Osceola,null,PALS / UCF CARD,social,null,false,null,https://www.eventbrite.com/e/pals-cc-adaptive-judo-august-2026-kissimmee-location-tickets-1992950230789,pals-adaptive-judo-kissimmee-aug-2026
145,iFLY All Abilities Night,2026-08-03,null,Jacksonville,Duval,iFLY Jacksonville,iFLY Jacksonville,social,null,true,null,https://www.visitjacksonville.com/plan-your-trip/accessible-travel/autism-friendly-travel/,ifly-all-abilities-night-jacksonville
143,MOCA Autism Creates,2026-08-08,null,Jacksonville,Duval,MOCA Jacksonville,MOCA Jacksonville,sensory-friendly,null,true,null,https://www.brightfeats.com/jacksonville-3,moca-autism-creates-jacksonville
141,Sensory Friendly Saturdays at Miami Children's Museum,2026-08-08,null,Miami,Miami-Dade,Miami Children's Museum,Miami Children's Museum,sensory-friendly,null,true,null,https://www.miamichildrensmuseum.org/sensory-friendly-saturdays,sensory-friendly-saturdays-miami-childrens-museum
123,Apoyo con la Tarea: Estrategias,2026-08-12,null,Orlando,Orange,null,PALS / UCF CARD,educational,null,false,null,https://www.eventbrite.com/e/apoyo-con-la-tarea-estrategias-tickets-1993615943955,apoyo-con-la-tarea-orlando-aug-2026
124,Wandering and Drowning Prevention (Lunch & Learn),2026-08-18,null,Orlando,Orange,null,PALS / UCF CARD,educational,null,false,null,https://www.eventbrite.com/e/wandering-and-drowning-prevention-tickets-1989613469446,wandering-drowning-prevention-orlando-aug-2026
115,14th Annual Surfers for Autism Flagler Beach Surf Festival,2026-08-29,null,Flagler Beach,Flagler,7th Street South,Surfers for Autism,festival,Surf Festival,false,null,https://www.eventbrite.com/e/14th-annual-surfers-for-autism-flagler-beach-surf-festival-tickets-1985443873071,surfers-for-autism-flagler-beach-surf-festival-2026
57,FABA 46th Annual Conference,2026-09-16,null,Orlando,Central Florida,Conference Center,Florida Association for Behavior Analysis (FABA),professional_development,Professional Conference,false,https://www.fabaworld.org,https://www.fabaworld.org/faba-2026,faba-46th-annual-conference-57
