slug,title,venue_name,address,city,state,zip_code
karaoke-dance-party-at-loveland-bradenton-bradenton-aug-2026,Karaoke Dance Party at Loveland Bradenton,Loveland Bradenton,5704 Manatee Ave W,Bradenton,FL,34209
special-olympics-florida-state-surfing-invitational-cocoa-beach-aug-2026,Special Olympics Florida State Surfing Invitational,Alan Shepard Park,299 E Cocoa Beach Causeway,Cocoa Beach,FL,32931
just-for-dads-support-group-coral-gables-coral-gables,Just for Dads Support Group (Coral Gables),"UM-NSU CARD Coral Gables Office, 5th Floor Room 502",5665 Ponce de Leon Blvd.,Coral Gables,FL,33146
adult-support-group-coral-gables,Adult Support Group,UM-NSU CARD Coral Gables Office,5665 Ponce de Leon Blvd.,Coral Gables,FL,33146
just-for-moms-support-group-coral-gables-coral-gables,Just for Moms Support Group (Coral Gables),"UM-NSU CARD Coral Gables Office, 5th Floor Room 502",5665 Ponce de Leon Blvd.,Coral Gables,FL,33146
connect-four-support-group-davie,Connect Four Support Group,NSU CARD Satellite Office,7600 SW 36th Street,Davie,FL,33328
aba-therapy-center-for-autism-open-house-event-in-broward-davie-sep-2026,"ABA Therapy Center for Autism - Open House Event in Broward County, FL",InBloom Autism Services | Davie,"5400 South University Drive, Suite 502",Davie,FL,33328
visual-village-davie,Visual Village,NSU CARD Satellite Office,7600 SW 36th Street,Davie,FL,33328
grupo-de-apoyo-para-madres-davie,Grupo de Apoyo Para Madres,NSU CARD Satellite Office,7600 SW 36th Street,Davie,FL,33328
just-for-dads-support-group-at-nsu-davie,Just for Dads Support Group at NSU,NSU CARD Satellite Office,"7600 SW 36th Street, Suite 200",Davie,FL,33328
sensory-saturdays-at-nsu-art-museum-fort-lauderdale-fort-lauderdale,Sensory Saturdays at NSU Art Museum Fort Lauderdale,NSU Art Museum Fort Lauderdale,One East Las Olas Boulevard,Fort Lauderdale,FL,33301
back-to-the-future-of-inclusion-a-night-to-change-tomorrow-fort-lauderdale-oct-2026,Back to the Future of Inclusion - A Night to Change Tomorrow,Kemistry Nightclub,307 SW 2nd St,Fort Lauderdale,FL,33312
fnd-psn-academic-summit-fort-myers-aug-2026,FND PSN Academic Summit,"Florida Gulf Coast University - The Water School (AB9), Room 138",11098 FGCU Blvd N,Fort Myers,FL,33965
special-olympics-florida-state-stand-up-paddle-invitational-islamorada-aug-2026,Special Olympics Florida State Stand Up Paddle Invitational,Founders Park,87000 Overseas Highway,Islamorada,FL,33036
falloween-festival-jupiter-oct-2026,FALLoween Festival,The Els Center of Excellence,18370 Limestone Creek Road,Jupiter,FL,33458
special-olympics-florida-coaches-training-school-key-largo-key-largo-sep-2026,Special Olympics Florida Coaches Training School - Key Largo,Key Largo School,104801 Overseas Highway,Key Largo,FL,33037
sensory-boo-at-the-zoo-melbourne-oct-2026,Sensory Boo at the Zoo,Brevard Zoo,8225 North Wickham Road,Melbourne,FL,32940
2026-disability-resource-fair-miami,2026 Disability Resource Fair,Miami-Dade County Fair & Exposition,10901 Southwest 24th Street,Miami,FL,33165
navegando-juntos-miami-lakes-miami-lakes,Navegando Juntos (Miami Lakes),"CARD Miami Lakes Office, Suite 201",5801 NW 151st Street,Miami Lakes,FL,33014
navegando-juntos-miramar-miramar,Navegando Juntos (Miramar),"CARD Miramar Office, 3rd Floor",2050 Civic Center Place,Miramar,FL,33025
center-stage-connections-family-theater-fun-naples-aug-2026,Center Stage Connections: Family Theater Fun,The Naples Players,701 5th Ave S,Naples,FL,34102
special-olympics-florida-area-7-fall-classic-exhibition-naples-sep-2026,Special Olympics Florida Area 7 Fall Classic Exhibition,Veterans Community Park,1895 Veterans Park Dr.,Naples,FL,null
stables-and-sweets-new-smyrna-beach-oct-2026,Stables and Sweets,Edgar's Farm - Easterseals Florida,3804 Pioneer Trail,New Smyrna Beach,FL,32168
special-olympics-florida-state-swimming-competition-ocala-sep-2026,Special Olympics Florida State Swimming Competition,Florida Aquatics Swimming and Training (FAST),4635 SW 67th Ave,Ocala,FL,null
3rd-annual-sporting-clay-shoot-panama-city-beach-oct-2026,3rd Annual Sporting Clay Shoot,Bay County Shooting Range,10900 Steelfield Road,Panama City Beach,FL,32413
northwest-region-swimming-competition-panama-city-beach-aug-2026,Northwest Region Swimming Competition,Frank Brown Park,16200 Panama City Beach Parkway,Panama City Beach,FL,null
sensory-day-at-wonderworks-panama-city-beach-panama-city-beach,Sensory Day at WonderWorks Panama City Beach,WonderWorks Panama City Beach,9910 Front Beach Rd,Panama City Beach,FL,32407
art-academy-for-autism-ages-5-9-pensacola,Art Academy for Autism (Ages 5-9),Pensacola Museum of Art,407 S Jefferson St.,Pensacola,FL,32502
summers-almost-over-dance-port-charlotte-aug-2026,Summer's (Almost Over) Dance,Charlotte County Family Services Building,21500 Gibralter Drive,Port Charlotte,FL,33952
14th-annual-surfers-for-autism-st-pete-beach-surf-festival-st-pete-beach,14th Annual Surfers for Autism St Pete Beach Surf Festival,St. Pete Beach - 8th Avenue beach access,8th Avenue,St. Pete Beach,FL,33706
special-olympics-florida-west-coast-region-swimming-st-petersburg-aug-2026,Special Olympics Florida West Coast Region Swimming Competition,North Shore Aquatic Complex,901 North Shore Dr NE,St. Petersburg,FL,null
walk-it-out-wednesday-tallahassee-tallahassee,Walk It Out Wednesday - Tallahassee,"Governors Square Mall (2nd level, near old Sears entrance)",1500 Apalachee Parkway,Tallahassee,FL,32301
miracle-sports-fall-kickball-season-tallahassee,Miracle Sports Fall Kickball Season,Miracle Field at Messer Park (James Messer Sports Complex),2899 Jackson Bluff Road,Tallahassee,FL,32304
loveland-center-art-exhibition-open-house-venice-sep-2026,Loveland Center Art Exhibition Open House,Loveland Center - Building E,157 S Havana Rd,Venice,FL,34292
murder-and-mai-tais-at-loveland-performing-arts-theatre-venice,Murder and Mai-Tais at Loveland Performing Arts Theatre,Loveland Performing Arts Theatre,157 S. Havana Rd,Venice,FL,34292
advocan-series-quarterly-caregiver-support-session-october-venice,AdvoCan Series - Quarterly Caregiver Support Session (October),Virtual (Zoom) - hosted by Loveland Center,157 S Havana Rd,Venice,FL,34292
8th-annual-be-a-buddy-5k-and-family-health-and-fitness-expo-west-melbourne-oct-2026,8th Annual #Be A Buddy 5K and Family Health and Fitness Expo,Space Coast Field of Dreams,3053 Fell Road,West Melbourne,FL,32904
