id,name,full_address,address,city,zip_code
5766,E&R HEALTH CARE INC.,"12750 NW 17TH ST UNIT 111, Miami, FL, 33182",12750 NW 17TH ST UNIT 111,Miami,33182
5777,BUSH BRIANNA N,"6528 SWEETBAY LN APT 102, Jacksonville, FL, 32244",6528 SWEETBAY LN APT 102,Jacksonville,32244
5808,Quest Kids Therapy - Tampa - 3910 Us-301,"3910 US-301, Tampa, FL, 33619",3910 US-301,Tampa,33619
5835,"Quest, Inc. Training Center & Tampa Corporate Office","3910 US-301, Tampa, FL, 33619",3910 US-301,Tampa,33619
5840,Cultivate Behavioral Health & Education - ABA Therapy for Autism,"87009 PROFESSIONAL WAY, Yulee, FL, 32097",87009 PROFESSIONAL WAY,Yulee,32097
6056,"JONATHAN TUMAN, DDS,PA","1111 KANE CONCOURSE STE 515, Bay Harbor Islands, FL, 33154",1111 KANE CONCOURSE STE 515,Bay Harbor Islands,33154
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON","2440 US HIGHWAY 441/27, Fruitland Park, FL, 34731",2440 US HIGHWAY 441/27,Fruitland Park,34731
6066,UNIQUE CARING OPPORTUNITIES INC.,"15604 NW 140TH ST, Alachua, FL, 32615",15604 NW 140TH ST,Alachua,32615
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,"3408 W 84TH ST STE 203, Hialeah, FL, 33018",3408 W 84TH ST STE 203,Hialeah,33018
6166,"D & D REHAB CENTER, INC","3412 W 84TH ST # E106, Hialeah, FL, 33018",3412 W 84TH ST # E106,Hialeah,33018
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,"2000 TOWERSIDE TER APT 505, Miami, FL, 33138",2000 TOWERSIDE TER APT 505,Miami,33138
6226,SUCCESS AT WORK,"5800 PALM AVE, Hialeah, FL, 33012",5800 PALM AVE,Hialeah,33012
6267,DGAN LLC,"6802 LAKEVIEW CENTER DR STE 500, Tampa, FL, 33619",6802 LAKEVIEW CENTER DR STE 500,Tampa,33619
6281,"RIDGE AREA ARC, INC.","4352 INDEPENDENCE ST, Avon Park, FL, 33825",4352 INDEPENDENCE ST,Avon Park,33825
