id,name,city,phone,website,verified
9134,"Amy Stenz, Ot",Fort Myers,(239) 277-9818,null,false
5834,"Autism Services of Florida, LLC",Fort Myers,(239) 349-3139,http://www.autismserviceoffl.com/,true
7426,Bright Future with ABA,Fort Myers,(239) 789-1721,https://brightfaba.com/,false
6811,Center for Independent Living of Gulf Coast,Fort Myers,(239) 260-4575,https://www.cilgulfcoastflorida.org/,true
7254,Denali Institute,Fort Myers,(239) 202-0042,http://www.denalibehaviorcrt.com/,false
9012,"Denise L. Van Horn, OT",Fort Myers,(239) 561-0700,null,false
7370,Evans Rehab Center Inc,Fort Myers,(786) 554-1701,null,false
6937,Evolve Behavior Therapy Services,Fort Myers,(239) 260-4218,https://www.evolvebehaviortherapyservices.com/,false
6755,"Lauren M. Hagan, OT",Fort Myers,(239) 267-8145,null,true
6587,"NeuroRise Behavioral Center, LLC | ABA therapy",Fort Myers,(239) 507-1786,https://www.neurorisebehavioral.com/,true
6863,Peace By Piece,Fort Myers,(239) 245-8301,null,true
9129,Present Mind LLC,Fort Myers,(239) 610-1552,http://presentmindllc.com/,false
6841,Principles of Learning INC,Fort Myers,(305) 204-3260,http://www.principlesoflearninginc.com/,true
8523,"Shirley J. Phillips, Occupational",Fort Myers,(239) 278-4702,null,false
10390,SPOT Therapy Associates,Fort Myers,(239) 561-2778,http://www.spottherapyassociates.com/,false
8783,The Traveling Therapist,Fort Myers,(239) 310-5396,https://www.thetravelingtherapist.net/,false
6594,Therapy Treatment Team,Fort Myers,(239) 537-9646,https://www.therapytreatmentteam.com/,true
6833,ACG Therapy and Autism Center,Gainesville,(352) 372-0047,https://acgtherapycenter.com/,true
7123,Alachua Adult Child & Family,Gainesville,(352) 338-0164,null,false
6722,All Kids Therapy Center,Gainesville,(352) 380-1727,https://allkidstherapycenter.com/contact-us,true
7007,"Behavioral Learning Systems, Inc",Gainesville,(352) 373-4411,http://www.behaviorlearn.com/,false
6615,"Child Advocacy Center, Inc.",Gainesville,(352) 376-9161,https://www.childadvocacycentergainesville.org/,true
7008,"Emily K. Gray, MFT, Inc.",Gainesville,(352) 225-3360,https://emilykgraymftinc.com/,false
6850,Gainesville Family Institute,Gainesville,(352) 376-5543,http://gainesvillefamilyinstitute.com/,true
8995,"Gainesville Healing House, Inc.",Gainesville,(352) 660-4142,http://www.gainesvillehealinghouse.com/,false
7020,Gainesville Opportunity Center,Gainesville,(352) 224-5523,http://www.goclubhouse.org/,false
6856,Goldstar ⭐️ therapy,Gainesville,(352) 221-0154,http://www.sandyflory.com/,true
6556,"Hibiscus House Rehab, LLC",Gainesville,(352) 224-5004,null,true
6541,Kids On the Move,Gainesville,(352) 373-7337,null,true
6533,"Lucent Collaborative Services, Inc",Gainesville,(352) 332-6131,http://www.lucentcollaborative.com/,true
6824,North Central Florida Community Center,Gainesville,(352) 374-9622,null,true
6376,Peace and Healing Therapy,Gainesville,(352) 758-4945,https://www.peaceandhealingtherapy.com/,true
6726,"ResCare Community Living- Gainesville, FL",Gainesville,(352) 378-2040,https://rescarecommunityliving.com/location/rescare-community-living-gainesville-florida/,true
7302,Rising Calm Center,Gainesville,(352) 507-4581,http://risingcalm.com/,false
6589,"The Nook Inclusive Therapeutic Center, LLC",Gainesville,(352) 235-9006,https://thenookcenter.com/,true
5855,UF Health Early Developmental Assessment Clinic,Gainesville,(352) 273-8920,https://ufhealth.org/locations/uf-health-early-developmental-assessment-clinic?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,true
