id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
9134,"Amy Stenz, Ot",Fort Myers,unclear,,"Individually licensed occupational therapist; no identifiable practice, caseload or patient population established",N,N,unclear,UNCLEAR,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1649390345,MEDIUM,"NPI 1649390345 is active with the generic ""225X00000X - Occupational Therapist"" taxonomy (not pediatric 225XP0200X) and a practice address of 1650 Medical Ln, Fort Myers, a multi-tenant medical building whose only other identifiable tenant is the adult mental-health Florida Self Directed Care program; the listed phone matches the stored (239) 277-9818. No website exists and searches on her name, NPI, address and phone returned only aggregator profiles, so neither an accessible practice nor a pediatric versus adult caseload could be established - unclear rather than a keep."
5834,"Autism Services of Florida, LLC",Fort Myers,Y,http://autismserviceoffl.com/,Applied behavior analysis services for children with disabilities/autism,Y,Y,Y,KEEP_ABA,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1801471081,MEDIUM,"Own site markets ""personalized applied behavior analysis services using scientific based practices"" for ""children with disabilities"" but names no clinicians, so the BCBA test was settled on NPI 1801471081 (AUTISM SERVICES OF FL, taxonomy ""103K00000X - Behavior Analyst"") whose authorized official is ""Mrs. Nicole Pamela Edge, MS, BCBA, Owner"" at the stored phone (239) 349-3139. The second signal is an active Registered Behavior Technician job posting on the company's Indeed page; note the www host was blocked by a robots.txt timeout and the bare host loaded fine."
7426,Bright Future with ABA,Fort Myers,Y,https://brightfaba.com/,"Applied behavior analysis for autism delivered home-based, school-based and clinic-based",Y,Y,Y,KEEP_ABA,https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1689348344,MEDIUM,"The site's service copy varies by delivery model rather than being chrome (""Your child works one-on-one with a trained therapist following a personalized plan to target specific goals like communication, behavior, and social skills"") but names no staff, so the BCBA test was settled on the NPI registry: NPI 1689348344 for BRIGHT FUTURE WITH ABA LLC carries taxonomy ""103K00000X - Behavior Analyst"" with authorized official ""Madelen Lopez, BCBA, President"". Contrary to the prior audit note the page was readable this time, and the registry address 3677 Central Ave Suite H matches the stored phone (239) 789-1721."
6811,Center for Independent Living of Gulf Coast,Fort Myers,Y,https://www.cilgulfcoastflorida.org/,"Supported employment (job placement, job-readiness workshops, benefits counseling, Project SEARCH youth transition) plus independent living core services and assistive technology lending",N,N,Y,KEEP_OTHER,https://www.cilgulfcoastflorida.org/employment-program,HIGH,"The Employment Program page shows direct consumer service rather than advocacy or systems change - consumers ""work with our employment specialist on job placement, benefits counseling"" and attend ""workshops on resume writing, career exploration, and interviewing skills"" - alongside Core Services, Project SEARCH youth transition and an assistive-technology loan locker. It is disability-wide with no autism-named program, so it belongs here as supported employment and independent living skills training reachable by autistic adults, not as an autism service."
7254,Denali Institute,Fort Myers,Y,http://www.denalibehaviorcrt.com/,"ABA therapy for autism and developmental differences, plus RBT training and mental health counseling; Fort Myers site at 3722 Central Ave",Y,Y,Y,KEEP_ABA,http://www.denalibehaviorcrt.com/,HIGH,"Site states the team includes ""Board Certified Behavior Analysts, licensed mental health counselors and trained technicians"" and offers ""the online 40 hour training that starts your career as a Registered Behavior Technician"", while Fort Myers RBT and BCBA job postings under Denali CRT, LLC / Denali Institute supply the required second signal. The stored name/domain mismatch is explained rather than disqualifying: the record's Denali Institute is the Fort Myers service site (Yelp category ""Behavior Analysts"", 3722 Central Ave) of Denali CRT, LLC, whose website is headquartered in Doral."
9012,"Denise L. Van Horn, OT",Fort Myers,Y,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/fort-myers/fort-myers/,"Occupational/hand therapist employed at Select Physical Therapy Fort Myers, an adult outpatient orthopedic, sports and work-injury rehab clinic",N,N,N,REMOVE,https://www.selectphysicaltherapy.com/contact/find-a-location/fl/fort-myers/fort-myers/,HIGH,"Her NPI 1194868976 shows the generic ""225X00000X - Occupational Therapist"" taxonomy, and its practice address 13670 Metropolis Ave Suite 103 plus the stored phone (239) 561-0700 both belong to Select Physical Therapy - Fort Myers, whose page lists ""orthopedic rehabilitation, sports medicine, and work-related injury programs"" and hand therapy. She is a staff adult-ortho OT inside a corporate clinic, not a pediatric practice families can access."
7370,Evans Rehab Center Inc,Fort Myers,Y,https://addictionclinicsnearme.com/go/evans-rehab-center-inc-33901/,Inpatient drug and alcohol addiction treatment with detoxification and co-occurring mental health care,N,N,N,REMOVE,https://addictionclinicsnearme.com/go/evans-rehab-center-inc-33901/,LOW,"Established rather than inferred: the only substantive listing anywhere describes ""inpatient rehab"" for ""drug and booze habit"" with detoxification, group therapy and co-occurring depression/anxiety/PTSD treatment at 3949 Evans Ave #300B, Fort Myers, and it carries the stored phone (786) 554-1701 exactly. Substance-use treatment is an explicit REMOVE category; the evidence is a lead-generation directory because the company has no website and no NPI record (Florida entity P12000055229 only), and the 786 Miami area code on a Fort Myers record is worth flagging."
6937,Evolve Behavior Therapy Services,Fort Myers,Y,https://www.evolvebehaviortherapyservices.com/,"Clinic- and community-based ABA therapy for autistic children, plus private-pay consultation",Y,Y,Y,KEEP_ABA,https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=Evolve+Behavior+Therapy*&state=FL,MEDIUM,"Own site advertises ""Clinic & Community-Based ABA Therapy in SW Florida"" and ""therapy based on the principles and practices of Applied Behavior Analysis"" but names no staff, so the BCBA test was settled on the registry: NPI 1740955210 (EVOLVE BEHAVIOR THERAPY SERVICES LLC, 1910 Park Meadows Dr Ste 103, Fort Myers) carries ""103K00000X - Behavior Analyst"", ""106E00000X - Assistant Behavior Analyst"" and ""106S00000X - Behavior Technician"", and owner Ginger L. Beehler is listed as CEO/BCBA on her companion NPI 1851943369. The behavior-technician taxonomy is the second signal."
6755,"Lauren M. Hagan, OT",Fort Myers,Y,,Individual occupational therapist working in an assisted living / memory care setting (adult-geriatric caseload); no independent practice families can access,N,N,N,REMOVE,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Lauren&last_name=Hagan&state=FL,MEDIUM,"NPI 1508174418 carries the generic ""225X00000X - Occupational Therapist"" taxonomy, not pediatric 225XP0200X, and her sole practice address, 9731 Commerce Center Ct, is Barrington Terrace of Fort Myers, an assisted living and memory care community whose other NPI registrants are assisted living facility entities. No website, no clinic of her own and an adult-geriatric setting - the same adult-OT failure mode already removed from this directory four times."
6587,"NeuroRise Behavioral Center, LLC | ABA therapy",Fort Myers,Y,,Self-describes as ABA therapy in its site title only; actual service line could not be verified,unclear,N,unclear,UNCLEAR,,LOW,"All three fetch attempts failed - robots.txt returned 429 twice and then resolved to ""All paths disallowed by robots.txt"", so no page content was ever loaded; the only ABA evidence is the site-wide <title> chrome ""NeuroRise Behavioral Therapy LLC | ABA therapy"" repeated identically on home/about/contact, which is name-level evidence the spec forbids crediting. Sunbiz shows an active 2025 FL entity NEURORISE BEHAVIORAL CENTER LLC (L25000352326) matching the stored name, but NPI, BACB and RBT/BCBA job-posting searches surfaced no behavior analyst tied to this company, so the BCBA test fails for lack of any second signal."
6863,Peace By Piece,Fort Myers,Y,http://pxpinc.net/,"Center-based ABA and Verbal Behavior therapy for children with autism, with an affiliated private special-education school (Peace By Piece Learning Center) at the same Winkler Rd address",Y,Y,Y,KEEP_ABA,http://pxpinc.net/,HIGH,"Stored website was null; the real site is pxpinc.net, whose body text (not chrome) describes ""errorless learning"", ""Natural Environment Teaching (NET)"" and goals ""determined by a behavior analyst"", under the title ""Southwest Florida's Leading Center for Applied Behavior Analysis (ABA) and Verbal Behavior Therapy (VB)"". Second BCBA signal is the site's own BACBSupervision.html page offering BACB supervision, which requires certified analysts on staff; flagging that the same organization also runs Peace By Piece Learning Center, a listed private school (NCES/Niche), so a schools-table entry may also be warranted."
9129,Present Mind LLC,Fort Myers,Y,http://presentmindllc.com/,"General mental-health counseling practice - individual, couples and family therapy, EMDR trauma therapy, veteran support and psychoeducational testing",N,N,N,REMOVE,http://presentmindllc.com/,HIGH,"Own site titles itself ""Trauma Therapy in Fort Myers"" and serves ""individuals, couples, veterans, and families in the state of Florida""; the clinicians hold mental-health licenses (MH21575, SS1548, co-owner listed publicly as a Licensed Mental Health Counselor), not behavior-analyst certification. Autism, ABA and applied behavior analysis appear nowhere on the site - the only adjacent item is psychoeducational testing of ""cognitive abilities, academic skills, and social emotional functioning"", which is generic and not an autism diagnostic service."
6841,Principles of Learning INC,Fort Myers,Y,http://www.principlesoflearninginc.com/,"In-home, school and community Applied Behavior Analysis for children and adolescents ages 2-20, plus parent training",Y,Y,Y,KEEP_ABA,http://www.principlesoflearninginc.com/,HIGH,"Homepage body content states ""Applied Behavior Analysis (ABA) uses the scientific principles of learning and motivation in order to effectively teach"" and requires a ""Diagnosis with ICD 10 code (e.g.: Autism (F84.0))"" to start services, with the site's own title reading ""Principles of Learning INC. - In Home ABA Services""; subpages remained ROBOTS_DISALLOWED as previously found, so this is homepage-only but is substantive body copy, not nav or footer chrome. BCBA test passes on two signals from that same copy - a staffing hierarchy naming BCBA and BCaBA supervisors alongside RBTs who deliver the direct sessions; flagging that the stored phone is a 305 (Miami) area code on a Fort Myers record, consistent with an in-home model without a fixed clinic."
8523,"Shirley J. Phillips, Occupational",Fort Myers,unclear,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Shirley&last_name=Phillips&state=FL&limit=20,Solo occupational therapist with a generic (non-pediatric) OT taxonomy; the treated population could not be established,N,N,unclear,UNCLEAR,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Shirley&last_name=Phillips&state=FL&limit=20,MEDIUM,"NPPES returns NPI 1760660393, Shirley Jean Phillips, primary taxonomy ""225X00000X - Occupational Therapist"" (generic, not pediatric 225XP0200X and not hand 225XH1200X), license OT5193, at 4048 Evans Ave #210 Fort Myers with phone 239-278-4702 exactly matching the stored record, enumerated 2008 and marked Active. She has no website, no practice entity and no pediatric or autism signal anywhere; 4048 Evans Ave is a leased multi-tenant office building (Florida Edison / Eastpointe Professional Center) whose only identifiable healthcare tenant is an adult chiropractic rehab center, but co-tenancy is not affiliation, so the caseload remains unestablished rather than proven adult - unclear, not a keep."
10390,SPOT Therapy Associates,Fort Myers,Y,http://www.spottherapyassociates.com/services.html,"Multidisciplinary pediatric therapy clinic - speech therapy, occupational therapy, physical therapy, feeding therapy and animal-assisted therapy",N,N,Y,KEEP_OTHER,http://www.spottherapyassociates.com/services.html,HIGH,"The services page lists Speech, Physical, Occupational, Feeding and Animal therapy and carries a parent testimonial reading ""my son with Autism is a lot more verbal and learning how to try new things"", and the site's own page set (speech-therapy.html, physical-therapy.html, occupational-therapy.html, our-clinic.html) contains no ABA page at all, so SPOT is the discipline acronym rather than a behavioral brand. A kidstherapyfinder aggregator profile tags this clinic ""ABA Therapy"", which contradicts every page on its own site and looks like the same defective tagging as the import - disregarded as LOW-quality; the stored http URL is correct but the host fails TLS, so only http resolves."
8783,The Traveling Therapist,Fort Myers,Y,https://www.thetravelingtherapist.net/,"General mental-health counseling and wellness clinic - EMDR, couples/family counseling, play therapy, plus spa, massage, reiki and psychic/tarot readings",N,N,N,REMOVE,https://www.thetravelingtherapist.net/fort-myers-clinic,HIGH,"It is a direct service provider, not a staffing or coaching business - the homepage states ""The Traveling Therapist is a privately owned mental health Clinic, providing services in English and Spanish"" and Psychology Today lists it under Clinical Social Work/Therapist, so the separate therapist-coaching business at thetravelingtherapist.com is a different company and not this record. But it is general mental health: two different pages (home and fort-myers-clinic) name anxiety, depression, grief, trauma, play therapy ages 6-18 and wellness add-ons, and autism, ABA, developmental disability, speech and OT appear nowhere on either."
6594,Therapy Treatment Team,Fort Myers,Y,https://www.therapytreatmentteam.com/,"Multi-location general mental-health group - individual/couples/family therapy, psychiatry and medication management, and psychological testing",N,N,N,REMOVE,https://www.therapytreatmentteam.com/about/therapist-fort-myers/,HIGH,"Titles itself ""Mental Health Services Florida | Therapy, Psychology & Psychiatry"" and the Fort Myers location page describes ""highly skilled and trained therapists, psychiatrists, and school psychologists"" treating depression, anxiety, PTSD, bipolar, OCD, eating disorders and substance use - the textbook REMOVE profile of general mental health serving autistic clients among many others. Autism, ABA and applied behavior analysis appear on neither the homepage nor the Fort Myers page, and the modalities named are EMDR, CBT and DBT, so the prior audit's finding of a real insurance page does not establish an autism service line."
