id,name,city,canonical_city,address,phone,website,subcategory,verified
5760,Little Tesla Pediatric Therapy - 6000 Turkey Lake Rd,Orlando,ORLANDO,6000 Turkey Lake Rd,(321) 352-7168,https://littleteslapediatrics.com/,ABA Therapy; Speech Therapy; Occupational Therapy; Physical Therapy; Feeding Therapy; Virtual Therapy; Group Therapy; Floor Time Techniques,true
5808,Quest Kids Therapy - Tampa - 3910 Us-301,Tampa,TAMPA,3910 US-301,407.218.4300,https://questinc.org/contact/,Therapy Services,true
5815,Restore Hyper Wellness - Pembroke Pines,Pembroke Pines,PEMBROKE PINES,14914 PINES BLVD,(954) 857-2244,https://www.restore.com/locations/fl-pembroke-pines-fl087?utm_source=gmb&utm_medium=Yext&y_source=1_MTAxMDI4NDY3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Therapy Services,false
6972,Brevard Christian Early Intervention Center - 5500 N Cocoa Blvd,Cocoa,COCOA,5500 N COCOA BLVD,(321) 349-0343,http://www.brevardchristianeic.org/,Therapy Services,false
6982,Core Connections Inc. - 1435 Aurora Rd,Melbourne,MELBOURNE,1435 AURORA RD,(321) 541-1970,http://coreconnectfl.com/,Therapy Services,false
7670,Sunshine Kidz Pediatric Care - Hollywood,Hollywood,HOLLYWOOD,6603 TAFT ST,(954) 982-7110,https://sunshinekidzppec.com/,Therapy Services,false
7674,The NEEDS Center - 175 Industrial Loop S,Orange Park,ORANGE PARK,175 INDUSTRIAL LOOP S,(904) 269-0773,https://needsctr.org/,Therapy Services,false
8480,Scott Lake Health and Rehabilitation - 800 Co Rd 540a,Lakeland,LAKELAND,800 CO RD 540A,(863) 500-4015,http://www.scottlakerehab.com/,Therapy Services,false
8481,Stretch Zone - Lakeland,Lakeland,LAKELAND,2113 E COUNTY RD 540A,(863) 563-9663,https://www.stretchzone.com/locations/lakeland/,Therapy Services,false
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,Fort Lauderdale,FORT LAUDERDALE,2122 W CYPRESS CREEK RD,(954) 838-5288,https://sunshinekidzppec.com/,Therapy Services,false
8557,The Arc of Volusia Inc - Holly Hill - 100 Jimmy Huger Cir,Holly Hill,HOLLY HILL,100 JIMMY HUGER CIR,(386) 274-4736,http://arcvolusia.org/,Therapy Services,false
8563,Stephonia Llewellyn - Child/Adolescent Therapist - 7451 Wiles Rd,Coral Springs,CORAL SPRINGS,7451 WILES RD SUITE 102-103,(954) 378-5381,https://www.medpsych.net/staff/stephonia-llewellyn-lmhc/,Therapy Services,false
