id,name,verdict,actual_type,services_proposed,services_inferred,serves_children,autism_relevance,site_address,site_phone,site_email,website,description,evidence_url,sources_checked,confidence,notes
5815,Restore Hyper Wellness - Pembroke Pines,DELETE,FITNESS_WELLNESS,,,UNCLEAR,N,,,,https://www.restore.com/locations/fl-pembroke-pines-fl087,,https://www.restore.com/locations/fl-pembroke-pines-fl087,1,HIGH,"Adult wellness studio franchise: cryotherapy, red light therapy, infrared sauna, IV drips/NAD+, hyperbaric oxygen, facials, weight management. No licensed pediatric therapy, no children's or autism services. Not a therapy provider."
6972,Brevard Christian Early Intervention Center - 5500 N Cocoa Blvd,DELETE,SCHOOL,,,Y,Y,,,,http://www.brevardchristianeic.org/,,http://www.brevardchristianeic.org/,3,MEDIUM,"Nonprofit Christian school / early intervention education program for children with special needs and developmental disabilities, ages 3 and up. Its own site and two directory listings describe education and behavioral programming; no standalone speech, OT, PT or ABA therapy services are stated. Belongs in the schools table, not the provider directory. Third-party listing also flags it as not accepting new clients."
8480,Scott Lake Health and Rehabilitation - 800 Co Rd 540a,DELETE,OTHER,,,N,N,"800 E Co Rd 540A, Lakeland, FL 33813",863.500.4015,,http://www.scottlakerehab.com/,,http://www.scottlakerehab.com/,1,HIGH,"120-bed skilled nursing facility providing long-term residential and post-acute rehab care for adult residents. No pediatric, developmental disability or autism services. Its PT/OT/speech is adult post-acute rehab, out of scope."
8481,Stretch Zone - Lakeland,DELETE,FITNESS_WELLNESS,,,N,N,"2113 E County Road 540A, Lakeland, FL 33813",(863) 563-9663,,https://www.stretchzone.com/locations/lakeland/,,https://www.stretchzone.com/locations/lakeland/,1,HIGH,"Practitioner-assisted stretching franchise studio for general adult mobility, back pain and sciatica relief. Not licensed therapy, no pediatric or autism services."
8557,The Arc of Volusia Inc - Holly Hill - 100 Jimmy Huger Cir,DELETE,OTHER,,,N,Y,"100 Jimmy Huger Circle, Daytona Beach, FL 32117",(386) 274-4736,achievewithus@arcvolusia.org,http://arcvolusia.org/,,https://arcvolusia.org/adult-day-training-program/disability-program-eligibility/,2,HIGH,"Nonprofit Arc chapter running an Adult Day Training program (Life Skills Development Level 3), a sheltered workshop/assembly contract operation, and Supported Employment, funded through the APD Home and Community Based Medicaid Waiver. Serves adults with I/DD only; no pediatric services and no PT/OT/speech/ABA. Disability-relevant but adult-only, so out of scope."
8563,Stephonia Llewellyn - Child/Adolescent Therapist - 7451 Wiles Rd,DELETE,MENTAL_HEALTH_COUNSELING,,,Y,N,,,,https://www.medpsych.net/,,https://www.medpsych.net/staff/stephonia-llewellyn-lmhc/,2,MEDIUM,"Individual clinician bio page for a Licensed Mental Health Counselor on staff at Comprehensive MedPsych Systems, a multi-site psychiatry/psychology group. She provides talk therapy to ages 6-17 (CBT, TF-CBT, play, sand tray, narrative, art therapy). No autism or developmental-disability focus, no ABA, speech, OT or PT. Generic child mental-health counseling, not an autism/DD therapy provider."
8573,Life Developmental Center - Miramar - 6700 Sw 13th St,DELETE,OTHER,,,N,Y,"6700 SW 13th Street, Pembroke Pines, FL 33023",954.445.6797,lifedevelopmentalcenter@gmail.com,http://lifedevelopmentalcenter.org/,,http://lifedevelopmentalcenter.org/services,2,HIGH,"Adult disability day program (site and search listings both title it 'Adult Disability Center'). Four program areas: Leisure (Zumba, yoga, karate, arts), Inclusion (community outings, volunteering), Fundamentals (cooking, hygiene, money management), Education (basic academics). No clinical therapy of any kind and no pediatric enrollment; testimonials reference adult participants. Adult-only, out of scope."
8589,Dr. Tripp & Associates - Port Saint Lucie,DELETE,MENTAL_HEALTH_COUNSELING,,,UNCLEAR,N,"540 NW University Dr. Suite 204, Port St. Lucie",(772) 494-7770,,https://www.drtrippandassociates.com/,,https://www.drtrippandassociates.com/,1,MEDIUM,"General outpatient counseling group with four Florida offices. Service list is individual therapy, couples counseling, family therapy, trauma-informed therapy, anxiety, depression and teen therapy, offered in person and via telehealth. No autism or developmental-disability services, no psychological/ADOS testing, no ABA, speech, OT or PT. Talk-therapy practice, not an autism/DD provider."
9216,Thrive Academy - 3301 Chiquita Blvd S,DELETE,SCHOOL,,,Y,Y,"3301 Chiquita Blvd South, Cape Coral, 33914",(239) 994-0095,thriveinfo@fi-florida.org,https://www.thriveacademyfl.org/,,https://www.thriveacademyfl.org/,2,MEDIUM,"Private K-12 school for students on the autism spectrum, operated by Family Initiative Inc. Offers elementary/middle/high grade bands, transition and workforce programs, with OT and ABA embedded in enrollment - not standalone outpatient therapy. Wrong table: belongs in schools, not the provider directory."
9420,Jaguar Therapeutics - Fort Lauderdale,DELETE,THERAPY_PROVIDER,,,N,N,"3305 Rice Street, Coconut Grove FL 33133",305-792-8393,grove@jaguartherapy.com,http://jaguartherapy.com/,,http://jaguartherapy.com/,1,HIGH,"Adult orthopedic and sports physical therapy combined with chiropractic care: dry needling, Graston, AlterG treadmill, shockwave, post-surgical and return-to-sport programs. No pediatric or autism/DD services. Out of scope."
