id,name,city,phone,website,verified
8558,Absolute Healthcare LLC,Spring Hill,(352) 251-0000,https://absolutehealthcare.org/,false
7400,BoardPrep Recovery,Tampa,(813) 600-7929,https://www.boardpreprecovery.com/,false
7653,Challenges Conquered Counseling Services,Oakland Park,(954) 600-9403,http://challengesconqueredcounseling.com/,false
8292,Deeply Rooted Psychotherapy of West Palm Beach,Palm Springs,(561) 221-0080,https://deeplyrootedpsychotherapyllc.com/,false
7615,Dr. Pamela Silver - Psychologist,Hollywood,(954) 430-0202,https://drpamsilver.net/,false
8437,"Elazar Bloom Counseling & Consulting, PLLC",Hollywood,(754) 600-9040,https://www.elazarbloom.com/,false
7074,Elite Pain and Spine Specialists,Spring Hill,(352) 515-0025,https://elitepainspecialists.com/,false
8452,Family Solutions Center,North Miami Beach,(786) 306-5534,http://www.familysolutionscenterneuropsych.com/,false
6970,Florida Psychological Center PLLC,Indialantic,(321) 345-0579,https://www.flpsychcenter.com/,false
7605,Garellek Counseling,Hollywood,(954) 361-4535,http://garellekcounseling.com/,false
7959,"Glory to God Care, PPEC Fort Lauderdale",Fort Lauderdale,(305) 200-5073,https://glorytogodppec.com/,false
7985,Grand Health Institute,Miami,(305) 728-0505,http://www.grandhealthinstitute.com/,false
7305,Luminescence Counseling,Stuart,(772) 207-0716,https://luminescencecounseling.com/,false
7143,Macy Grim Therapy,Jacksonville Beach,(424) 262-2935,https://macygrimtherapy.com/,false
7573,Therapeutic Learning Center,St. Augustine,(904) 824-8932,http://www.arcsj.org/,false
