id,name,city,input_address,matched_display_name,osm_type,osm_class,latitude,longitude,input_zip,matched_zip,geocode_method,notes
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",Alachua,13900 TECH CITY CIR,,,,,,32615,,FAILED,No Nominatim result
6066,UNIQUE CARING OPPORTUNITIES INC.,Alachua,15604 NW 140TH ST,"Northwest 140th Street, Alachua, Alachua County, Florida, 32616, United States",secondary,highway,,,32615,32616,FALLBACK_NOT_ADDRESS,"class=highway type=secondary is an area/road, not a premise; returned ""Northwest 140th Street, Alachua, Alachua County, Florida, 32616, United States"""
9505,"Dr. Daniel Komforti, PT, DPT",Altamonte Springs,860 N STATE RD 434,,,,,,32714,,FAILED,No Nominatim result
6390,ANGELIC COMPANION SERVICES,Altamonte Springs,498 PALM SPRINGS DR STE 100,,,,,,32701,,FAILED,No Nominatim result
9401,"Talk the Talk Pediatric Therapy, LLC",Apollo Beach,300 FRANDORSON CIR,"Frandorson Circle, North Ruskin, Apollo Beach, Hillsborough County, Florida, 33572, United States",residential,highway,,,33572,33572,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""Frandorson Circle, North Ruskin, Apollo Beach, Hillsborough County, Florida, 33572, United States"""
6281,"RIDGE AREA ARC, INC.",Avon Park,4352 INDEPENDENCE ST,,,,,,33825,,FAILED,No Nominatim result
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.",Boca Raton,22313 BOCA RIO ROAD,,,,,,33433,,FAILED,No Nominatim result
7942,Select Physical Therapy - Cay West,Cape Coral,1715 CAPE CORAL PKWY W,"Lobster Lady Seafood Market, 1715, Cape Coral Parkway West, Cape Coral, Lee County, Florida, 33914, United States",restaurant,amenity,,,33914,33914,FALLBACK_NOT_ADDRESS,"class=amenity type=restaurant not a recognised premise-level type; returned ""Lobster Lady Seafood Market, 1715, Cape Coral Parkway West, Cape Coral, Lee County, Florida, 33914, United States"""
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,Clearwater,430 MORTON PLANT ST # 101,,,,,,33756,,FAILED,No Nominatim result
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,Deltona,3400 HALIFAX CROSSING BLVD,,,,,,32725,,FAILED,No Nominatim result
7575,Island Cove Behavioral Pediatrics,Fleming Island,1831 GOLDEN EAGLE WAY,,,,,,32003,,FAILED,No Nominatim result
10004,Wolfson Children's Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR,,,,,,32003,,FAILED,No Nominatim result
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR SUITE 100,,,,,,32003,,FAILED,No Nominatim result
9535,Total MD,Fort Lauderdale,2700 W CYPRESS CREEK RD STE C100,,,,,,33309,,FAILED,No Nominatim result
9433,XPE Sports Rehab,Fort Lauderdale,5300 POWERLINE RD,"Xtreme Action Park, 5300, Powerline Road, Twin Lakes, Fort Lauderdale, Broward County, Florida, 33309, United States",theme_park,tourism,,,33309,33309,FALLBACK_NOT_ADDRESS,"class=tourism type=theme_park not a recognised premise-level type; returned ""Xtreme Action Park, 5300, Powerline Road, Twin Lakes, Fort Lauderdale, Broward County, Florida, 33309, United States"""
7366,Evolutions Treatment Center - Ft Lauderdale,Fort Lauderdale,2901 W CYPRESS CREEK RD,"West Cypress Creek Road, Fort Lauderdale, Broward County, Florida, 33309, United States",primary,highway,,,33309,33309,FALLBACK_NOT_ADDRESS,"class=highway type=primary is an area/road, not a premise; returned ""West Cypress Creek Road, Fort Lauderdale, Broward County, Florida, 33309, United States"""
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,Fort Lauderdale,2122 W CYPRESS CREEK RD,"2122, West Cypress Creek Road, Fort Lauderdale, Broward County, Florida, 33309, United States",yes,office,26.2018519,-80.1725817,33309,33309,NOMINATIM,
9678,Hernandez Therapy Clinic,Fort Lauderdale,2950 W CYPRESS CREEK RD,"2950, West Cypress Creek Road, Fort Lauderdale, Broward County, Florida, 33309, United States",house,place,,,33309,33309,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""2950, West Cypress Creek Road, Fort Lauderdale, Broward County, Florida, 33309, United States"""
9890,CORA Physical Therapy Fort Myers,Fort Myers,6900 DANIELS PKWY,"3 Pepper Burrito Co., 6900, Daniels Parkway, Fort Myers, Lee County, Florida, 33912, United States",restaurant,amenity,,,33912,33912,FALLBACK_NOT_ADDRESS,"class=amenity type=restaurant not a recognised premise-level type; returned ""3 Pepper Burrito Co., 6900, Daniels Parkway, Fort Myers, Lee County, Florida, 33912, United States"""
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON",Fruitland Park,2440 US HIGHWAY 441/27,,,,,,34731,,FAILED,No Nominatim result
6166,"D & D REHAB CENTER, INC",Hialeah,3412 W 84TH ST # E106,,,,,,33018,,FAILED,No Nominatim result
6226,SUCCESS AT WORK,Hialeah,5800 PALM AVE,"5800, Palm Avenue, Hialeah, Miami-Dade County, Florida, 33012, United States",yes,building,25.8752513,-80.2853176,33012,33012,NOMINATIM,
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,Hialeah,3408 W 84TH ST STE 203,,,,,,33018,,FAILED,No Nominatim result
10060,Loving Angels PPEC,Hialeah,13115 W OKEECHOBEE RD,,,,,,33018,,FAILED,No Nominatim result
7672,Select Physical Therapy - Hollywood,Hollywood,3325 HOLLYWOOD BLVD,"Hollywood Boulevard, West Hollywood, Hollywood, Broward County, Florida, 33021, United States",trunk,highway,,,33021,33021,FALLBACK_NOT_ADDRESS,"class=highway type=trunk is an area/road, not a premise; returned ""Hollywood Boulevard, West Hollywood, Hollywood, Broward County, Florida, 33021, United States"""
7592,Joe DiMaggio Children’s Hospital,Hollywood,1005 JOE DIMAGGIO DR,,,,,,33021,,FAILED,No Nominatim result
9325,My Kid Therapy Center - ABA Therapy in Miami,Homestead,1180 N KROME AVE,"North Krome Avenue, Homestead, Miami-Dade County, Florida, 33030, United States",trunk,highway,,,33030,33030,FALLBACK_NOT_ADDRESS,"class=highway type=trunk is an area/road, not a premise; returned ""North Krome Avenue, Homestead, Miami-Dade County, Florida, 33030, United States"""
9972,Reunion Rehabilitation Hospital Jacksonville,Jacksonville,12645 SALINA DR,,,,,,32246,,FAILED,No Nominatim result
9561,Premier Physical Therapy,Jacksonville,4230 PABLO PROFESSIONAL CT,"4230, Pablo Professional Court, Jacksonville, Duval County, Florida, 32224, United States",house,place,,,32224,32224,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""4230, Pablo Professional Court, Jacksonville, Duval County, Florida, 32224, United States"""
6463,"HPS, HELPING PEOPLE SUCCEED, INC.",Jensen Beach,1601 NE SUCCESS DRIVE,,,,,,34957,,FAILED,No Nominatim result
9747,Sloane Stecker Physical Therapy - Jupiter,Jupiter,1155 MAIN ST STE 101,,,,,,33458,,FAILED,No Nominatim result
10202,EARLY INTERVENTION SOLUTIONS LLC,Land O Lakes,5424 LAND O' LAKES BLVD,"5424, Land O' Lakes Boulevard, Land O' Lakes, Pasco County, Florida, 34639, United States",house,place,,,34639,34639,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""5424, Land O' Lakes Boulevard, Land O' Lakes, Pasco County, Florida, 34639, United States"""
9637,"Advanced Rehabilitation, Inc",Largo,3690 E BAY DR S,"South Bay Harbor Drive, Sunset Point, Key Largo, Monroe County, Florida, 33037, United States",residential,highway,,,33771,33037,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""South Bay Harbor Drive, Sunset Point, Key Largo, Monroe County, Florida, 33037, United States"""
6383,"THE ARC NORTH FLORIDA, INC",Live Oak,511 GOLDKIST BLVD SW,,,,,,32064,,FAILED,No Nominatim result
8470,Sport & Spine Physical Therapy & Wellness Center,Lutz,17824 US Highway 41,,,,,,33549,,FAILED,No Nominatim result
10206,"Tampa Choice Therapy, LLC",Lutz,18946 N DALE MABRY HWY,"North Dale Mabry Highway, Douglas Place, Lutz, Hillsborough County, Florida, 33618, United States",trunk,highway,,,33548,33618,FALLBACK_NOT_ADDRESS,"class=highway type=trunk is an area/road, not a premise; returned ""North Dale Mabry Highway, Douglas Place, Lutz, Hillsborough County, Florida, 33618, United States"""
9786,"Behavior Basics, Inc., Brevard Office",Melbourne,2401 W EAU GALLIE BLVD,"2401, West Eau Gallie Boulevard, Melbourne, Brevard County, Florida, 32935, United States",house,place,,,32935,32935,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""2401, West Eau Gallie Boulevard, Melbourne, Brevard County, Florida, 32935, United States"""
10010,DREAM HOPE & BELIEVE THERAPY CORP,Miami,13155 SW 134TH ST SUITE 218 & 219,,,,,,33186,,FAILED,No Nominatim result
9334,S.U.C.C.E.ED in Learning,Miami,6035 BIRD RD,"6035, Southwest 40th Street, Ludlam, Miami, Miami-Dade County, Florida, 33155, United States",house,place,,,33155,33155,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""6035, Southwest 40th Street, Ludlam, Miami, Miami-Dade County, Florida, 33155, United States"""
5766,E&R HEALTH CARE INC.,Miami,12750 NW 17TH ST UNIT 111,,,,,,33182,,FAILED,No Nominatim result
9350,Super Hero Speech,Miami,13155 SW 134TH ST,"13155, Southwest 134th Street, Three Lakes, Miami-Dade County, Florida, 33186, United States",yes,building,25.6434071,-80.4056151,33186,33186,NOMINATIM,
10011,My Big World Inc,Miami,8785 SW 165TH AVE SUITE 101,,,,,,33193,,FAILED,No Nominatim result
6902,Select Physical Therapy - Coconut Grove,Miami,2150 S DIXIE HWY,"South Dixie Highway, South Bay Estates, Miami, Miami-Dade County, Florida, 33133, United States",trunk,highway,,,33133,33133,FALLBACK_NOT_ADDRESS,"class=highway type=trunk is an area/road, not a premise; returned ""South Dixie Highway, South Bay Estates, Miami, Miami-Dade County, Florida, 33133, United States"""
9458,AnatomyPT • Physical Therapy & Orthotics,Miami Beach,301 ARTHUR GODFREY RD,"Luxury Rentals Miami Beach, 301, 41st Street, Miami Beach, Miami-Dade County, Florida, 33140, United States",apartment,tourism,,,33140,33140,FALLBACK_NOT_ADDRESS,"class=tourism type=apartment not a recognised premise-level type; returned ""Luxury Rentals Miami Beach, 301, 41st Street, Miami Beach, Miami-Dade County, Florida, 33140, United States"""
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,Miami Gardens,16800 NW 2ND AVE,"Northwest 2nd Avenue, Norland, Miami Gardens, Miami-Dade County, Florida, 33169, United States",primary,highway,,,33169,33169,FALLBACK_NOT_ADDRESS,"class=highway type=primary is an area/road, not a premise; returned ""Northwest 2nd Avenue, Norland, Miami Gardens, Miami-Dade County, Florida, 33169, United States"""
7967,Select Physical Therapy - Miami Lakes,Miami Lakes,15150 BULL RUN RD,"Miami Lakes Athletic Club, 15150, Bull Run Road, Miami Lakes, Miami-Dade County, Florida, 33014, United States",fitness_centre,leisure,,,33014,33014,FALLBACK_NOT_ADDRESS,"class=leisure type=fitness_centre not a recognised premise-level type; returned ""Miami Lakes Athletic Club, 15150, Bull Run Road, Miami Lakes, Miami-Dade County, Florida, 33014, United States"""
9841,Physical Therapy NOW Miami Lakes,Miami Lakes,15985 NW 57TH AVE,"Northwest 57th Avenue, Miami Lakes, Miami-Dade County, Florida, 33014, United States",primary,highway,,,33014,33014,FALLBACK_NOT_ADDRESS,"class=highway type=primary is an area/road, not a premise; returned ""Northwest 57th Avenue, Miami Lakes, Miami-Dade County, Florida, 33014, United States"""
6439,KEY FITS SOLUTIONS LLC,Milton,3996 AVALON BLVD STE 100-C,,,,,,32583,,FAILED,No Nominatim result
6344,Easterseals LEAP Program - Naples,Naples,8793 TAMIAMI TRL E STE 111,,,,,,34113,,FAILED,No Nominatim result
7360,FISIOCORP MIAMI LLC,North Bay Village,1440 79TH STREET CAUSEWAY,"1440, John F. Kennedy Causeway, North Bay Village, Miami-Dade County, Florida, 33141, United States",house,place,,,33141,33141,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""1440, John F. Kennedy Causeway, North Bay Village, Miami-Dade County, Florida, 33141, United States"""
9426,Physical Therapy Time,North Miami Beach,1380 NE MIAMI GARDENS DR,"1380, Northeast Miami Gardens Drive, North Miami Beach, Miami-Dade County, Florida, 33179, United States",yes,building,25.9442308,-80.1733892,33179,33179,NOMINATIM,
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT",North Palm Beach,300 MERCURY RD,,,,,,33408,,FAILED,No Nominatim result
7653,Challenges Conquered Counseling Services,Oakland Park,800 E CYPRESS CREEK RD,"Cypress Creek Road, Oakland Park, Broward County, Florida, 33334, United States",primary,highway,,,33334,33334,FALLBACK_NOT_ADDRESS,"class=highway type=primary is an area/road, not a premise; returned ""Cypress Creek Road, Oakland Park, Broward County, Florida, 33334, United States"""
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),Oldsmar,3953 TAMPA RD,"3953, Tampa Road, Oldsmar, Pinellas County, Florida, 34677, United States",house,place,,,34677,34677,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""3953, Tampa Road, Oldsmar, Pinellas County, Florida, 34677, United States"""
8199,Brilliant Brains Behavior Services LLC,Oldsmar,3970 TAMPA RD SUITE E,,,,,,34677,,FAILED,No Nominatim result
9173,Small Talk Speech Therapy (Orange Park),Orange Park,1700 WELLS RD STE 18,,,,,,32073,,FAILED,No Nominatim result
10249,AMP PEDIATRIC THERAPY,Orlando,6900 TAVISTOCK LAKES BLVD,"Bosphorous Turkish Cuisine, 6900, Tavistock Lakes Boulevard, Lake Nona, Orlando, Orange County, Florida, 32827, United States",restaurant,amenity,,,32827,32827,FALLBACK_NOT_ADDRESS,"class=amenity type=restaurant not a recognised premise-level type; returned ""Bosphorous Turkish Cuisine, 6900, Tavistock Lakes Boulevard, Lake Nona, Orlando, Orange County, Florida, 32827, United States"""
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,Palm Bay,5240 BABCOCK ST NE # 102,,,,,,32905,,FAILED,No Nominatim result
