id,name,address,latitude,longitude,county,source,confidence
5764,Aries Physical Therapy - Weston,4543 WESTON RD,26.0658307973,-80.36252974004,Broward,CENSUS,HIGH
5766,E&R HEALTH CARE INC.,12750 NW 17TH ST UNIT 111,,,Miami-Dade,NOT_FOUND,
5777,BUSH BRIANNA N,6528 SWEETBAY LN APT 102,,,Duval,NOT_FOUND,
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,,,,NOT_FOUND,
5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,,,,NOT_FOUND,
5840,Cultivate Behavioral Health & Education - ABA Therapy for Autism,87009 PROFESSIONAL WAY,,,,NOT_FOUND,
6056,"JONATHAN TUMAN, DDS,PA",1111 KANE CONCOURSE STE 515,,,Miami-Dade,NOT_FOUND,
6061,"BREVARD CO. BOARD CO. COMMISSIONERS
SPACE COAST AREA TRANSIT",401 S VARR AVE 401 S VARR AVE,28.353962570761,-80.744509667609,Brevard,CENSUS,MEDIUM
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON",2440 US HIGHWAY 441/27,,,Lake,NOT_FOUND,
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 NW 140TH ST,,,Alachua,NOT_FOUND,
6069,VICTORY PROVIDER LLC,507 SE 12TH TER,29.647235943145,-82.309537857243,Alachua,CENSUS,HIGH
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,3408 W 84TH ST STE 203,,,Miami-Dade,NOT_FOUND,
6166,"D & D REHAB CENTER, INC",3412 W 84TH ST # E106,,,Miami-Dade,NOT_FOUND,
6183,RAMOS DONNA M,28 SAXONY A,26.440226264893,-80.147135731658,Palm Beach,CENSUS,HIGH
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,2000 TOWERSIDE TER APT 505,,,Miami-Dade,NOT_FOUND,
6196,WE CARE ACTIVITY CENTER INC,5609 NW 48TH LN,26.195335330232,-80.212052334468,Broward,CENSUS,MEDIUM
6226,SUCCESS AT WORK,5800 PALM AVE,,,Miami-Dade,NOT_FOUND,
6230,"SMA HEALTHCARE, INC.",225 FENTRESS BLVD STE A,29.189328799296,-81.078926949844,Volusia,CENSUS,HIGH
6267,DGAN LLC,6802 LAKEVIEW CENTER DR STE 500,,,Hillsborough,NOT_FOUND,
6281,"RIDGE AREA ARC, INC.",4352 INDEPENDENCE ST,,,Highlands,NOT_FOUND,
6282,ASSOCIATION FOR RETARDED CITIZENS,4173 NE HIGHWAY 17,27.155229419107,-81.886661363497,DeSoto,CENSUS,HIGH
6284,"THE ARC NASSAU, INC.",86051 HAMILTON STREET,,,Nassau,NOT_FOUND,
6329,"SUNRISE COMMUNITY, INC",9040 SUNSET DR,,,Miami-Dade,NOT_FOUND,
6344,Easterseals LEAP Program - Naples,8793 TAMIAMI TRL E STE 111,,,Collier,NOT_FOUND,
6346,CITY OF CAPE CORAL,400 SANTA BARBARA BLVD,,,Lee,NOT_FOUND,
6383,"THE ARC NORTH FLORIDA, INC",511 GOLDKIST BLVD SW,,,Suwannee,NOT_FOUND,
