id,name,address,city,state,zip_code
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",13900 TECH CITY CIR,Alachua,FL,32615
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 NW 140TH ST,Alachua,FL,32615
9505,"Dr. Daniel Komforti, PT, DPT",860 N STATE RD 434,Altamonte Springs,FL,32714
6390,ANGELIC COMPANION SERVICES,498 PALM SPRINGS DR STE 100,Altamonte Springs,FL,32701
9401,"Talk the Talk Pediatric Therapy, LLC",300 FRANDORSON CIR,Apollo Beach,FL,33572
6281,"RIDGE AREA ARC, INC.",4352 INDEPENDENCE ST,Avon Park,FL,33825
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.",22313 BOCA RIO ROAD,Boca Raton,FL,33433
7942,Select Physical Therapy - Cay West,1715 CAPE CORAL PKWY W,Cape Coral,FL,33914
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,430 MORTON PLANT ST # 101,Clearwater,FL,33756
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,3400 HALIFAX CROSSING BLVD,Deltona,FL,32725
7575,Island Cove Behavioral Pediatrics,1831 GOLDEN EAGLE WAY,Fleming Island,FL,32003
10004,Wolfson Children's Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR,Fleming Island,FL,32003
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR SUITE 100,Fleming Island,FL,32003
9535,Total MD,2700 W CYPRESS CREEK RD STE C100,Fort Lauderdale,FL,33309
9433,XPE Sports Rehab,5300 POWERLINE RD,Fort Lauderdale,FL,33309
7366,Evolutions Treatment Center - Ft Lauderdale,2901 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,2122 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
9678,Hernandez Therapy Clinic,2950 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
9890,CORA Physical Therapy Fort Myers,6900 DANIELS PKWY,Fort Myers,FL,33912
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON",2440 US HIGHWAY 441/27,Fruitland Park,FL,34731
6166,"D & D REHAB CENTER, INC",3412 W 84TH ST # E106,Hialeah,FL,33018
6226,SUCCESS AT WORK,5800 PALM AVE,Hialeah,FL,33012
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,3408 W 84TH ST STE 203,Hialeah,FL,33018
10060,Loving Angels PPEC,13115 W OKEECHOBEE RD,Hialeah,FL,33018
7672,Select Physical Therapy - Hollywood,3325 HOLLYWOOD BLVD,Hollywood,FL,33021
7592,Joe DiMaggio Children’s Hospital,1005 JOE DIMAGGIO DR,Hollywood,FL,33021
9325,My Kid Therapy Center - ABA Therapy in Miami,1180 N KROME AVE,Homestead,FL,33030
9972,Reunion Rehabilitation Hospital Jacksonville,12645 SALINA DR,Jacksonville,FL,32246
9561,Premier Physical Therapy,4230 PABLO PROFESSIONAL CT,Jacksonville,FL,32224
6463,"HPS, HELPING PEOPLE SUCCEED, INC.",1601 NE SUCCESS DRIVE,Jensen Beach,FL,34957
9747,Sloane Stecker Physical Therapy - Jupiter,1155 MAIN ST STE 101,Jupiter,FL,33458
10202,EARLY INTERVENTION SOLUTIONS LLC,5424 LAND O' LAKES BLVD,Land O Lakes,FL,34639
9637,"Advanced Rehabilitation, Inc",3690 E BAY DR S,Largo,FL,33771
6383,"THE ARC NORTH FLORIDA, INC",511 GOLDKIST BLVD SW,Live Oak,FL,32064
8470,Sport & Spine Physical Therapy & Wellness Center,17824 US Highway 41,Lutz,FL,33549
10206,"Tampa Choice Therapy, LLC",18946 N DALE MABRY HWY,Lutz,FL,33548
9786,"Behavior Basics, Inc., Brevard Office",2401 W EAU GALLIE BLVD,Melbourne,FL,32935
10010,DREAM HOPE & BELIEVE THERAPY CORP,13155 SW 134TH ST SUITE 218 & 219,Miami,FL,33186
9334,S.U.C.C.E.ED in Learning,6035 BIRD RD,Miami,FL,33155
5766,E&R HEALTH CARE INC.,12750 NW 17TH ST UNIT 111,Miami,FL,33182
9350,Super Hero Speech,13155 SW 134TH ST,Miami,FL,33186
10011,My Big World Inc,8785 SW 165TH AVE SUITE 101,Miami,FL,33193
6902,Select Physical Therapy - Coconut Grove,2150 S DIXIE HWY,Miami,FL,33133
9458,AnatomyPT • Physical Therapy & Orthotics,301 ARTHUR GODFREY RD,Miami Beach,FL,33140
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,16800 NW 2ND AVE,Miami Gardens,FL,33169
7967,Select Physical Therapy - Miami Lakes,15150 BULL RUN RD,Miami Lakes,FL,33014
9841,Physical Therapy NOW Miami Lakes,15985 NW 57TH AVE,Miami Lakes,FL,33014
6439,KEY FITS SOLUTIONS LLC,3996 AVALON BLVD STE 100-C,Milton,FL,32583
6344,Easterseals LEAP Program - Naples,8793 TAMIAMI TRL E STE 111,Naples,FL,34113
7360,FISIOCORP MIAMI LLC,1440 79TH STREET CAUSEWAY,North Bay Village,FL,33141
9426,Physical Therapy Time,1380 NE MIAMI GARDENS DR,North Miami Beach,FL,33179
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT",300 MERCURY RD,North Palm Beach,FL,33408
7653,Challenges Conquered Counseling Services,800 E CYPRESS CREEK RD,Oakland Park,FL,33334
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),3953 TAMPA RD,Oldsmar,FL,34677
8199,Brilliant Brains Behavior Services LLC,3970 TAMPA RD SUITE E,Oldsmar,FL,34677
9173,Small Talk Speech Therapy (Orange Park),1700 WELLS RD STE 18,Orange Park,FL,32073
10249,AMP PEDIATRIC THERAPY,6900 TAVISTOCK LAKES BLVD,Orlando,FL,32827
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,5240 BABCOCK ST NE # 102,Palm Bay,FL,32905
