id,name,city,slug,website
7072,Center for Psychological Services,Cape Coral,center-for-psychological-services-cape-coral-fl-7072,null
8951,Chamomile Psychology,Tallahassee,chamomile-psychology-tallahassee-fl-8951,null
6803,Comprehensive Psychological & Assessment Services,Orlando,comprehensive-psychological-assessment-services-orlando-fl-6803,http://www.cpascounseling.com/
8997,D'Arienzo Psychology,Jacksonville,darienzo-psychology-jacksonville-fl-8997,https://www.drdarienzo.com/
6730,FSU Psychology Clinic,Tallahassee,fsu-psychology-clinic-tallahassee-fl-6730,https://psychology.fsu.edu/services/psychology-clinic
8990,Integrated Psychological Services LLC,Gainesville,integrated-psychological-services-llc-gainesville-fl-8990,null
8877,Lakeland Psychology,Lakeland,lakeland-psychology-lakeland-fl-8877,https://lakelandpsych.com/
6813,Lightside Psychology,Lakeland,lightside-psychology-lakeland-fl-6813,http://www.lightsidepsych.com/
6786,Medical Psychology Center,Ormond Beach,medical-psychology-center-ormond-beach-fl-6786,http://medpsychcenter.com/
6211,Powers of Mind Psychological Services,Tallahassee,powers-of-mind-psychological-services-tallahassee-fl-6211,http://www.tallahasseetherapy.com/
6808,Psychological & Educational Evaluation Center,Winter Park,psychological-educational-evaluation-center-winter-park-fl-6808,https://www.psycheec.com/
7466,Psychological & Family Consultants,Tallahassee,psychological-family-consultants-tallahassee-fl-7466,null
6868,Psychological and Neurofeedback Center,Hallandale Beach,psychological-and-neurofeedback-center-hallandale-beach-fl-6868,http://healthybrain4you.com/
6497,"The Center for Psychological Counseling Services, Inc.",Hollywood,the-center-for-psychological-counseling-services-inc-hollywood-fl-6497,http://cpcshollywood.com/
6857,The Center For Psychology,Fort Myers,the-center-for-psychology-fort-myers-fl-6857,http://www.thecenterforpsychology.com/
6830,Thrive Psychological Associates,Miami Lakes,thrive-psychological-associates-miami-lakes-fl-6830,http://www.thrivepsychological.com/
6039,UF Health Psychology Specialties,Gainesville,uf-health-psychology-specialties-gainesville-fl-6039,https://ufhealth.org/locations/uf-health-psychology-specialties?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings
6686,"What's On Your Mind, Inc. / Psychology, Tutoring & Brain Training",Miami Lakes,whats-on-your-mind-inc-psychology-tutoring-brain-training-miami-lakes-fl-6686,http://www.woym.net/
6723,Whole Health Psychological Center,West Palm Beach,whole-health-psychological-center-west-palm-beach-fl-6723,http://www.wholehealthpsych.com/
