id,name,city,phone,website,verified
6713,Athena School Psychology Services,Miami,(561) 450-9449,https://www.athenaschoolpsy.com/,true
6577,Audra Walsh Psychology Group,Tampa,(727) 599-3624,https://www.audrawalsh.com/,true
9102,Brighter Day Psychological Services,Orlando,(407) 337-3160,https://www.brighterdaypsych.com/,false
7072,Center for Psychological Services,Cape Coral,(239) 233-6075,null,false
8951,Chamomile Psychology,Tallahassee,(850) 577-0511,null,false
6737,Clarity Psychology,Tampa,(813) 440-4083,http://www.clarity-psychology.com/,true
6803,Comprehensive Psychological & Assessment Services,Orlando,(800) 361-1153,http://www.cpascounseling.com/,true
8997,D'Arienzo Psychology,Jacksonville,(904) 379-8094,https://www.drdarienzo.com/,false
7055,"Dr. Gihanna Jimenez - Licensed School Psychologist; IQ, GIFTED PSYCHOEDUCATIONAL EVALUATIONS",South Miami,(305) 793-1837,https://www.drjimeneztesting.com/,false
6730,FSU Psychology Clinic,Tallahassee,(850) 644-3006,https://psychology.fsu.edu/services/psychology-clinic,true
8990,Integrated Psychological Services LLC,Gainesville,(352) 339-4008,null,false
6517,Interface Consulting and Psychological Services,Miami,(786) 983-6965,https://www.icpstherapy.com/,true
6585,"Katrina Stone, Ph.D., Lighthouse Psychology",Orlando,(407) 205-7383,http://www.lighthousepsychology.health/,true
5982,Katz Counseling and Educational Psychology,Fort Myers,(239) 247-1756,http://www.katzpsychology.com/,true
8877,Lakeland Psychology,Lakeland,(863) 732-9300,https://lakelandpsych.com/,false
6813,Lightside Psychology,Lakeland,(863) 274-3768,http://www.lightsidepsych.com/,true
6786,Medical Psychology Center,Ormond Beach,(386) 672-9250,http://medpsychcenter.com/,true
6211,Powers of Mind Psychological Services,Tallahassee,(850) 807-9801,http://www.tallahasseetherapy.com/,true
6808,Psychological & Educational Evaluation Center,Winter Park,(321) 972-3246,https://www.psycheec.com/,true
7466,Psychological & Family Consultants,Tallahassee,(850) 296-1897,null,false
6868,Psychological and Neurofeedback Center,Hallandale Beach,(954) 394-9196,http://healthybrain4you.com/,true
6634,Psychological Associates of Central Florida,Lakeland,(863) 644-8470,http://www.pacflorida.com/,true
6750,Psychology Support Center,Tamarac,(954) 362-9900,https://www.psychologysupportcenter.com/,true
6497,"The Center for Psychological Counseling Services, Inc.",Hollywood,(954) 894-1174,http://cpcshollywood.com/,true
6857,The Center For Psychology,Fort Myers,(239) 278-3443,http://www.thecenterforpsychology.com/,true
6717,The Playful Minds Psychology Center of South Florida,Davie,(954) 342-6130,http://www.playfulmindscenter.com/,true
6830,Thrive Psychological Associates,Miami Lakes,(305) 814-8558,http://www.thrivepsychological.com/,true
6039,UF Health Psychology Specialties,Gainesville,(352) 265-0294,https://ufhealth.org/locations/uf-health-psychology-specialties?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,true
6686,"What's On Your Mind, Inc. / Psychology, Tutoring & Brain Training",Miami Lakes,(800) 613-6463,http://www.woym.net/,true
6723,Whole Health Psychological Center,West Palm Beach,(561) 721-6400,http://www.wholehealthpsych.com/,true
