id,name,city,operating,website_found,primary_service,autism_focus,does_autism_diagnostic_eval,recommend,evidence_url,evidence_quality,notes
6713,Athena School Psychology Services,Miami,Y,https://www.athenaschoolpsy.com/1,psychoeducational and gifted evaluations for children,N,Y,KEEP,https://www.athenaschoolpsy.com/1,HIGH,"Psychoeducational Evaluations page body states ""We conduct comprehensive psychoeducational evaluations to identify learning disabilities (such as dyslexia), ADHD, emotional disorders, autism, intellectual disabilities"" and is addressed to parents (""your child's school""), so evaluation is sold directly to families rather than only to districts. The sibling Gifted Evaluations page does not mention autism at all, confirming the autism wording is page-specific body content and not site-wide chrome."
6577,Audra Walsh Psychology Group,Tampa,Y,https://www.audrawalsh.com/autism-evaluations,general psychotherapy group with a psychological evaluation arm including autism evaluations,N,Y,KEEP,https://www.audrawalsh.com/autism-evaluations,HIGH,"Dedicated /autism-evaluations page offers ""comprehensive ASD evaluations"" for both children and adults with unique body copy (""ASD is a neurodevelopmental condition"", ""1 in 36 children""), distinct from the homepage and from the sibling gifted/ADHD/LD evaluation pages, so it is real service content and not nav chrome. Autism is one of several evaluation lines rather than the practice focus and no ADOS-2/ADI-R is named, but the autism diagnostic evaluation criterion is met."
9102,Brighter Day Psychological Services,Orlando,Y,https://www.brighterdaypsych.com/autism-evaluations-florida,psychological and vocational assessment practice offering autism evaluations,N,Y,KEEP,https://www.brighterdaypsych.com/autism-evaluations-florida,HIGH,"Dedicated autism-evaluations page for ""children, adolescents, and adults"" citing ""standardized autism-specific assessment measures""; the homepage service list (bariatric, immigration, vocational, gifted, ADHD testing) never mentions autism, so this is page-level content and not site-wide chrome. Copy is SEO-generic and names no instrument, and autism is one product among many, but autism diagnostic evaluation is explicitly offered."
7072,Center for Psychological Services,Cape Coral,unclear,https://bdir.in/p/best/us/psychologists-in-cape-coral-fl/MjUxMjc2,unclear — general psychology practice,unclear,unclear,REMOVE,https://bdir.in/p/best/us/psychologists-in-cape-coral-fl/MjUxMjc2,LOW,"No stored website; the only source matching name and phone (239) 233-6075 was a business-directory listing at 1406 SE 46th Ln Suite 2, Cape Coral, describing it only as a psychology practice and pointing to psychologistcenter.com, which failed on both bare-host and www attempts (TLS ""unrecognized name"", then robots.txt connect timeout). No autism evidence exists on any reachable source, so it cannot be justified in an autism directory on aggregator-level evidence alone."
8951,Chamomile Psychology,Tallahassee,Y,https://www.psychologytoday.com/us/therapists/sheree-collins-tallahassee-fl/71371,"adolescent and adult CBT for anxiety, depression and stress",N,N,REMOVE,https://www.psychologytoday.com/us/therapists/sheree-collins-tallahassee-fl/71371,LOW,"No practice website exists; sole owner Dr. Sheree Collins, PhD specializes in ""anxiety, depression, and stress management"" using CBT with ""preteens, teens, and adults."" Her 24-item specialty list contains no autism, developmental disability or testing entry."
6737,Clarity Psychology,Tampa,Y,https://www.clarity-psychology.com/,"psychological and psychoeducational testing practice (ADHD, LD, gifted, ASD)",N,Y,KEEP,https://www.clarity-psychology.com/,HIGH,"Homepage body service list names ""Developmental Delay & Autism Spectrum Disorder Evaluations"" alongside ADHD, LD and gifted testing for children, adolescents and adults, and testing is the core business rather than an add-on. The /what-to-expect/ page carries entirely different copy (a three-session intake/testing/feedback process) with no service list, confirming the autism line is page content and not a repeated site-wide block."
6803,Comprehensive Psychological & Assessment Services,Orlando,Y,https://cpascounseling.com/what-we-offer/,"adult counseling practice (individual, couples, family, Christian, career)",N,N,REMOVE,https://cpascounseling.com/what-we-offer/,HIGH,"The full ""Our Services"" page lists 13 offerings — individual, family, women's issues, crisis, Christian, life-skills, career, stress, grief, couples, group and corporate counseling plus ""Presurgical Bariatric Assessments"" — with no autism, developmental, or psychoeducational evaluation, and the homepage repeats the same adult-counseling scope. Despite ""Assessment Services"" in the business name, the only testing offered is pre-bariatric-surgery clearance."
8997,D'Arienzo Psychology,Jacksonville,Y,https://www.drdarienzo.com/psychoeducational-testing/,"clinical, couples and forensic psychology practice",N,unclear,REMOVE,https://www.drdarienzo.com/psychoeducational-testing/,HIGH,"Autism appears exactly once across three pages, inside a hypothetical on the psychoeducational-testing page — ""testing can help identify conditions such as Autism Spectrum Disorder (ASD), anxiety disorders, or depression"" — with no ASD service page, no ADOS-2/ADI-R, and no autism mention on the homepage or the clinical services page. The practice is a marriage/couples, addiction and forensic generalist, so this is autism listed among many conditions rather than an autism evaluation service."
7055,"Dr. Gihanna Jimenez - Licensed School Psychologist; IQ, GIFTED PSYCHOEDUCATIONAL EVALUATIONS",South Miami,Y,https://www.drjimeneztesting.com/about-detail,"private child and adolescent psychoeducational, gifted/IQ and ASD evaluation",N,Y,KEEP,https://www.drjimeneztesting.com/about-detail,HIGH,"The About page bio, which shares no copy with the homepage, states her expertise is ""assessment of children and adolescents with Learning Disabilities, Autism Spectrum Disorders, ADHD, and Intellectual Disabilities,"" and the homepage service list separately names ""Autism Spectrum Disorder Evaluation"" — so this is not gifted/IQ testing alone. She is a Licensed School Psychologist in private practice taking families directly (PreK-12, with home or school observations), which satisfies the direct-to-families condition."
6730,FSU Psychology Clinic,Tallahassee,Y,https://psychology.fsu.edu/services/psychology-clinic,university graduate training clinic for general mental-health therapy and assessment,N,N,REMOVE,https://psychology.fsu.edu/services/psychology-clinic,HIGH,"The clinic's own service page lists individual and group therapy (anxiety, trauma, DBT skills, substance use) and assessments for ""learning disorders, ADHD, gifted evaluations,"" with no autism, ASD, or developmental-disability service named; the separate intake site clinic.psy.fsu.edu likewise names only mood, anxiety, PTSD, OCD, eating-disorder and substance measures. No autism assessment service exists here — FSU's autism work sits in the separate FSU Autism Institute, a different entity from this record."
8990,Integrated Psychological Services LLC,Gainesville,Y,https://www.vitadox.com/practice/gainesville-fl-32606/integrated-psychological-services-llc/HAJmmdDZPnFvZcnzqdfz2K,general adult clinical psychology,N,unclear,REMOVE,https://www.vitadox.com/practice/gainesville-fl-32606/integrated-psychological-services-llc/HAJmmdDZPnFvZcnzqdfz2K,MEDIUM,"No practice-owned website exists (searched by name + Gainesville); the directory record describes clinical psychology for ""phobias, depression, obsessive-compulsive disorder, eating disorders, bipolar disorder, PTSD, and schizophrenia"" with no autism, pediatric, or developmental-evaluation mention. Healthgrades returned 403 on retry so no second source was obtainable, but nothing found supports autism relevance."
6517,Interface Consulting and Psychological Services,Miami,Y,https://www.icpstherapy.com/,psychological testing and therapy including autism diagnostic evaluation,Y,Y,KEEP,https://icpstherapy.com/autism-testing-miami/,HIGH,"Dedicated autism testing page body states evaluations use the ""Autism Diagnostic Observation Schedule, Second Edition (ADOS-2)"" and ""Autism Diagnostic Interview - Revised (ADI-R)"" and produce ""a formal diagnosis, treatment planning, and a detailed report"" for ages 4 through adulthood. That is page-specific clinical content, not nav/footer chrome - the homepage and therapy pages carry entirely different copy."
6585,"Katrina Stone, Ph.D., Lighthouse Psychology",Orlando,Y,http://www.lighthousepsychology.health/,pediatric psychological evaluation and teen therapy,N,Y,KEEP,http://www.lighthousepsychology.health/,HIGH,"Homepage service block, where this small site's service copy lives, reads ""Comprehensive assessments for ADHD, Autism, Anxiety, Depression, Intellectual Disabilities, Learning Disorders"" while the About bio has no autism wording, so it varies by page and is not chrome. KEEP on the diagnostic-evaluation prong only — autism is one of several targets, not a stated focus, and no ADOS-2 or ADI-R is named."
5982,Katz Counseling and Educational Psychology,Fort Myers,Y,http://www.katzpsychology.com/,general psychology practice with neurodevelopmental/neuropsychological testing,N,Y,KEEP,https://katzpsychology.com/child-psychology-services/,HIGH,"Child services page body lists ""Neurodevelopmental and Neuropsychological testing including autism, Asperger's, AD/HD & learning disorders"", so the evaluations are genuinely autism-diagnostic and not gifted/IQ-only (giftedness is a separate listed item). Autism is one line among a long service list rather than a stated practice focus, so this qualifies only on the diagnostic-evaluation prong."
8877,Lakeland Psychology,Lakeland,Y,https://lakelandpsych.com/,general psychological testing and psychotherapy,N,N,REMOVE,https://lakelandpsych.com/services/,HIGH,"The Services page body describes ""standardized, validated testing procedures accepted by a range of employers, schools, colleges and universities"" and names only ADHD testing and learning-disability evaluation, plus therapy for ""teens and adults"" - autism does not appear in the body at all. Autism shows up only as one item in a homepage expertise list (ASD / learning disorders / ADHD), which is a general practice naming autism among conditions, not an autism service."
6813,Lightside Psychology,Lakeland,Y,http://www.lightsidepsych.com/,general psychological testing and adolescent/young-adult therapy,N,N,REMOVE,http://www.lightsidepsych.com/services,HIGH,"Services page body lists evaluation of ""cognitive functioning, academic achievement, memory and learning, executive functioning, socio-emotional and behavioral functioning, personality assessment"" with no autism, ADOS-2, or developmental-evaluation wording. Two pages loaded (home and services) and neither mentions autism anywhere, so there is not even nav/footer chrome to weigh."
6786,Medical Psychology Center,Ormond Beach,Y,http://medpsychcenter.com/,"adult health psychology - biofeedback/neurofeedback, hypnosis, EMDR, cognitive rehabilitation",N,N,REMOVE,http://medpsychcenter.com/about-us,HIGH,"Established rather than assumed from the name: the About page describes ""treatments and evaluations of emotional, cognitive, and physiological difficulties"" via ""biofeedback, neurofeedback, hypnosis, EMDR, art therapy"", and the therapy page adds ""RESET Therapy with BAUD... Dementia Caregiver/Family Training"". Three pages were loaded and none mentions autism, children or developmental evaluation."
6211,Powers of Mind Psychological Services,Tallahassee,Y,https://www.mentalhealthus.org/facility/powers-of-mind-psychological-services,"outpatient therapy and psychological assessment for adolescents, adults and college students",N,N,REMOVE,https://www.mentalhealthus.org/facility/powers-of-mind-psychological-services,LOW,"STORED WEBSITE IS WRONG — tallahasseetherapy.com 302-redirects to a HugeDomains ""domain for sale"" parking page and no longer belongs to this practice, whose current site drpowerstherapy.com returns an empty JS shell. The registry record for Dr. Raychel Powers lists individual, couples and group therapy for adolescents, adults and college students treating ADHD, anxiety, depression and trauma, with no autism service."
6808,Psychological & Educational Evaluation Center,Winter Park,N,https://www.psycheec.com/,psychoeducational and autism diagnostic evaluation (practice closing),Y,Y,REMOVE,https://www.psycheec.com/autism-spectrum-disorder,HIGH,"The evaluations ARE genuinely autism-diagnostic, not gifted/IQ-only — a dedicated ASD page describes a ""diagnostic interview, an adaptive functioning measure, an ASD screen/measure"" from age 3 after which Dr. Schuster ""will give a diagnosis or diagnoses, if any are present"", content distinct from the ADHD and SLD pages. REMOVE is on CLOSURE not relevance: the same page states ""As of July 2026, Dr. Schuster is no longer accepting new clients and will be closing her Florida practice."""
7466,Psychological & Family Consultants,Tallahassee,Y,https://www.vitadox.com/practice/tallahassee-fl-32304/psychological-and-family-consultants-inc/KEe2r7yRL5a9jwCWJ4cRCB,general outpatient psychotherapy and mental health assessment,N,N,REMOVE,https://www.vitadox.com/practice/tallahassee-fl-32304/psychological-and-family-consultants-inc/KEe2r7yRL5a9jwCWJ4cRCB,MEDIUM,"No Florida website exists - psychandfamily.com is a same-named but DIFFERENT business in Canton, Ohio (4572 Dressler Rd NW), so it must not be attached to this record. Two directory records agree the Tallahassee practice does ""mental health assessment and therapy"" - psychotherapy, CBT, group therapy, addiction and marriage counseling for depression, anxiety, phobias, OCD and marital problems - with no autism, child developmental, or ADOS content anywhere."
6868,Psychological and Neurofeedback Center,Hallandale Beach,Y,http://healthybrain4you.com/,neurofeedback and general psychotherapy clinic,N,N,REMOVE,http://healthybrain4you.com/,HIGH,"Homepage lists anxiety, depression, PTSD, sleep, phobias, addiction, TBI/stroke rehab, memory/IQ, ADHD, obesity and chronic pain, with autism appearing only once as an outcome claim (""ability of Autistic children to speak"") - autism among a dozen other conditions, which does not qualify. No diagnostic evaluation of any kind is offered; two attempted subpages (/about, /more-information) returned 404, so the homepage is where all service content lives."
6634,Psychological Associates of Central Florida,Lakeland,Y,https://www.pacflorida.com/copy-of-faq,psychological therapy and neurodevelopmental assessment including autism evaluation,unclear,Y,KEEP,https://www.pacflorida.com/copy-of-faq,HIGH,"The Services page lists ""Autism Spectrum Disorder Assessments"" under Neuropsychological/Neurodevelopmental Assessments and ""Autism/Developmental Disorders"" as a treated area, while the homepage carries no autism string at all - so this is genuine per-page content, not nav or footer chrome. Autism sits among many conditions treated, but the practice performs autism diagnostic assessment directly, which meets the KEEP rule."
6750,Psychology Support Center,Tamarac,Y,https://www.psychologysupportcenter.com/psychoeducational-assessments,psychoeducational and autism evaluation plus counseling,Y,Y,KEEP,https://www.psychologysupportcenter.com/psychoeducational-assessments,HIGH,"The dedicated assessments page, whose body text differs from the homepage, states ""Comprehensive ASD evaluations for individuals of all ages"" and lists Autism Spectrum Disorder first among evaluation types. Autism appears in per-page body content and as a top-level service, not as repeated footer or nav chrome."
6497,"The Center for Psychological Counseling Services, Inc.",Hollywood,Y,https://cpcshollywood.com/about/,"general outpatient counseling for children, adults, couples and elderly",N,N,REMOVE,https://cpcshollywood.com/about/,HIGH,"Two pages loaded (homepage and /about/) and neither contains autism, ASD, ADOS or developmental evaluation anywhere in nav, footer or body; named conditions are ADHD, depression, anxiety, OCD, PTSD, eating disorders and grief. Testing is offered only generically, alongside bariatric evaluations and emotional-support-animal letters."
6857,The Center For Psychology,Fort Myers,Y,https://thecenterforpsychology.com/services/testing-assessments,"general psychotherapy for adults, children and couples plus educational and neuropsychological testing",N,N,REMOVE,https://thecenterforpsychology.com/services/testing-assessments,HIGH,"Bare host loads normally (www is robots-blocked); the dedicated Testing & Assessments page describes only educational testing for ""learning disabilities, developmental delays... intellectually gifted youngsters"", personality testing and post-""traumatic brain injury"" neuropsych evaluation. Neither that page nor the homepage contains any autism string, so there is not even nav chrome to discount."
6717,The Playful Minds Psychology Center of South Florida,Davie,Y,https://www.playfulmindscenter.com/services.html,child psychoeducational and autism diagnostic evaluation center,Y,Y,KEEP,https://www.playfulmindscenter.com/services.html,HIGH,"The Services page, whose content is distinct from the homepage, lists ""Autism Spectrum Disorder (ASD) Diagnostic Evaluations"" and names the instruments verbatim: ""Autism Diagnostic Observation Schedule-Second Edition, the Autism Diagnostic Interview-Revised, Childhood Autism Rating Scale-Second Edition and the Autism Spectrum Rating Scale are utilized."" Decision rests on that stated service content and named credentials, not on the child-oriented business name."
6830,Thrive Psychological Associates,Miami Lakes,Y,http://www.thrivepsychological.com/,"general psychotherapy for individuals, couples and families",N,N,REMOVE,http://www.thrivepsychological.com/,HIGH,"Homepage service list is Individual Therapy (adults, adolescents, children), Marriage/Partner/Couples Therapy, Family Therapy and ""Diagnostic Interview Evaluations"", with no autism, ASD, ADOS or psychoeducational-evaluation string in nav, footer or body. A second page could not be loaded within budget - /services returned a robots.txt failure on both www and bare hosts and then a 404 on www - so this single-page service list is the whole of the available evidence."
6039,UF Health Psychology Specialties,Gainesville,Y,https://ufhealth.org/locations/uf-health-psychology-specialties,"general adult and pediatric mental health, health psychology and neuropsychological assessment",N,N,REMOVE,https://ufhealth.org/locations/uf-health-psychology-specialties,HIGH,"The clinic's own body text offers ""general mental health services to patients across the lifespan... psychological and neuropsychological assessments"" covering sleep, chronic pain, transplant evaluations, depression, ADHD and learning disabilities — autism appears only in UF Health's site-wide condition index and nav chrome, never in clinic-specific content. UF's autism diagnostic work belongs to separate entities (UF Health Center for Autism and Neurodevelopment, and UF CARD), so this record must not be credited with it."
6686,"What's On Your Mind, Inc. / Psychology, Tutoring & Brain Training",Miami Lakes,Y,https://woym.net/student-evaluations/,"psychoeducational evaluation plus cognitive tutoring and brain training, delivered nationally",N,Y,KEEP,https://woym.net/student-evaluations/,HIGH,"Its Student Evaluations page states the comprehensive psychoeducational evaluation is used to ""Diagnose conditions like ADHD, autism, and other neurodevelopmental challenges"", while the homepage - which sells only MindCrafting tutoring and brain-based coaching - never mentions autism, so this is real per-page content rather than chrome. Caveat for the record: the site says ""Based out of Florida, Serving The Nation!"" behind an 800 number, so it is a national tutoring and evaluation operation rather than a Miami Lakes clinic, and it names no autism instrument such as ADOS-2."
6723,Whole Health Psychological Center,West Palm Beach,Y,https://wholehealthpsych.com/services/,general psychotherapy practice with psychiatric medication management,N,N,REMOVE,https://wholehealthpsych.com/services/,HIGH,"Both the homepage and the full /services/ page list twenty therapy modalities - EMDR, CBT, DBT, sex therapy, LGBTQ+, trauma, grief, postpartum, couples, ADHD therapy and medication management - and neither page contains autism, ASD, ADOS or any evaluation service in nav, footer or body. This is an adult- and family-oriented talk-therapy practice with no assessment arm at all."
