site,city,n,ids,names
adventhealth.com,ORLANDO,14,6647 | 6727 | 7196 | 8200 | 9829 | 9920 | 9923 | 9924 | 9929 | 9985 | 9995 | 10156 | 10604 | 10605,"AdventHealth Pediatric Rehab East Orlando || AdventHealth Sports Med & Rehab East Orlando || AdventHealth Sports Med & Rehab Pediatrics Mills Park || AdventHealth for Children || AdventHealth Sports Med & Rehab Lake Nona || AdventHealth Sports Med & Rehab Dr. Phillips || AdventHealth Sports Med and Rehab Training Center || AdventHealth Sports Med & Rehab Waterford Lakes || AdventHealth Sports Med and Rehab Orlando Sportsplex || AdventHealth Sports Med & Rehab Orlando (SODO) || AdventHealth Sports Med and Rehab Pediatrics Mills Park || AdventHealth Pelvic Health Rehab || AdventHealth Medical Group Pediatric Neuropsychology - Dr. Stephanie Jerome - Princeton St., Orlando || AdventHealth Medical Group Pediatric Neuropsychology - Dr. Stephanie Jerome - Orange Ave., Orlando"
h2health.com,JACKSONVILLE,12,7209 | 10087 | 10088 | 10089 | 10093 | 10100 | 10101 | 10104 | 10105 | 10239 | 10253 | 10293,"Great Strides Rehabilitation- Southpoint (Arlington) - 6871 Belfort Oaks Pl || H2 Health- Jacksonville Beaches, FL || H2 Health- Avenues Jacksonville, FL || H2 Health- Mandarin Jacksonville, FL || H2 Health- Ortega Jacksonville, FL || H2 Health- Arlington Jacksonville, FL || H2 Health- Northside Jacksonville, FL || H2 Health- Riverside Jacksonville, FL || H2 Health || H2 Health- Westside Jacksonville, FL || Great Strides Pediatric Rehabilitation- Bartram Park, FL || Great Strides Rehabilitation - 12276 San Jose Blvd"
ptsolutions.com,TAMPA,9,10067 | 10068 | 10069 | 10070 | 10076 | 10203 | 10204 | 10207 | 10270,PT Solutions of Brandon || PT Solutions of Tampa Palms || PT Solutions of Citrus Park || PT Solutions of Carrollwood || PT Solutions of Town 'n' Country || PT Solutions of Race Track Road (formerly Westchase Physical Therapy) || PT Solutions of North Westchase || PT Solutions of Carrollwood South || PT Solutions of South Tampa
watsonclinic.com,LAKELAND,8,9108 | 9855 | 9964 | 9965 | 9990 | 9991 | 9992 | 9993,"Robert Dean Johnson, OT, CHT - 1430 Lakeland Hills Blvd || Watson Clinic Physical Therapy & Sports Medicine || Watson Clinic Highlands || Watson Clinic Center for Specialized Rehabilitation || Jennifer L. Patterson, PT, DPT, OCS, MTC, CCI - 1430 Lakeland Hills Blvd || Dalton Lewis, PT, DPT || Robin Martinez, PT, DPT - 1430 Lakeland Hills Blvd || Watson Clinic Center for Rehabilitative Medicine - 1430 Lakeland Hills Blvd"
ufhealth.org,GAINESVILLE,6,5855 | 6039 | 7041 | 7122 | 7134 | 9180,UF Health Early Developmental Assessment Clinic || UF Health Psychology Specialties || UF Health Child Psychiatry - Springhill || UF Health Rehab Center for Kids - Magnolia Parke || UF Health Occupational Therapy Equal Access Clinic || UF Health Rehab Center for Autism and Neurodevelopment - 4101 Nw 89 Blvd
brooksrehab.org,JACKSONVILLE,5,6926 | 7428 | 10092 | 10095 | 10102,Brooks Rehabilitation Aphasia Center || Brooks Rehabilitation Hospital - University Campus || Brooks Rehabilitation Outpatient Clinic - San Pablo || Brooks Rehabilitation Outpatient Clinic - Ortega || Brooks Rehabilitation Outpatient Clinic - Northside
wolfsonchildrens.com,JACKSONVILLE,5,7535 | 9100 | 9261 | 10001 | 10090,Wolfson Children's Hospital || Wolfson Children's Rehabilitation - Drew Bradbury Center || Wolfson Children's Behavioral Health - Southbank - 1650 Prudential Dr || Wolfson Children's Rehabilitation - Southbank Plaza - 1650 Prudential Dr || Wolfson Children's Rehabilitation - Baptist Medical Center South
hopkinsmedicine.org,TAMPA,4,10143 | 10211 | 10283 | 10285,"Speech-Language and Feeding Services at Johns Hopkins All Children's Outpatient Care, Tampa - 12220 Bruce B Downs Blvd || Johns Hopkins All Children's Outpatient Care, Tampa || Occupational Therapy at Johns Hopkins All Children's Outpatient Care, Tampa - 12220 Bruce B Downs Blvd || Pediatric Physical Therapy at Johns Hopkins All Children's Outpatient Care, Tampa - 12220 Bruce B Downs Blvd"
lifestance.com,ORLANDO,4,10647 | 10648 | 10649 | 10650,LifeStance Health - Orlando (Lake Underhill) || LifeStance Health - Orlando (Robinson) || LifeStance Health - Orlando (New Broad) || LifeStance Health - Orlando (Lake Nona)
azultherapyservices.com,MIAMI,3,7243 | 10154 | 10310,Azul Therapy Services Inc. - 2140 W || Azul Therapy Services Inc. - 2140 W Flagler St || Azul Therapy Services - West Kendall - 13500 Sw 88th St
