id,name,services_proposed,services_inferred,serves_children,extra_answer,verified_address,site_phone,site_email,website,description,evidence_url,sources_checked,confidence
6596,Vocational Rehabilitation,life-skills|mobile-services,mobile-services,Y,"Both. Their site shows some services delivered directly by the VR counselor (guidance, counseling), while others are purchased from vendors: job coaches, psychologists, schools, suppliers.",,850-245-3399,,https://rehabworks.org/,"Florida's state vocational rehabilitation agency. Employment supports for people with disabilities: work readiness and self-advocacy training, job exploration counseling, work-based learning, job placement and assistive technology. Serves ages 14-21.",https://www.rehabworks.org/student-youth/student-youth.html,4,HIGH
6773,Speech and Language Connection Services LLC - Hialeah Gardens,speech-therapy|occupational-therapy|music-therapy|aac|tutoring|feeding-therapy,tutoring|feeding-therapy,Y,,"10550 NW 77th Ct #224, Hialeah Gardens, FL 33016",(305) 456-8031,,https://speechtherapy305.com/,"Bilingual pediatric clinic serving neurodiverse children from 18 months. Speech, occupational and music therapy in 60-minute sessions, AAC support for minimally verbal children, plus an FES-UA home education instructional program.",https://speechtherapy305.com/about,4,HIGH
6967,Children's Rehab PPEC - Miami Gardens,physical-therapy|occupational-therapy|speech-therapy|feeding-therapy|aac|transportation,feeding-therapy|aac,Y,"Medically fragile primarily. Site names tracheostomies, gastrostomy tubes and premature babies as qualifying; developmental delay appears only in broad terms. Autism and developmental disability are never named specifically.","2727 NW 167th Street, Miami Gardens, FL 33056",305-622-7575,info@childrensrehabppec.com,https://childrensrehabppec.com/ppec-in-miami-gardens-fl/,"PPEC medical daycare for children birth to 21 needing continual nursing. On-site PT, OT and speech including swallowing work and non-verbal communication support, plus special-education instruction and free transport to the centre.",https://childrensrehabppec.com/ppec-in-miami-gardens-fl/,4,HIGH
6977,FUSSION THERAPY INC. - Hialeah Gardens,speech-therapy|occupational-therapy|physical-therapy|transportation,,Y,,"8040 NW 95TH St, Suite 337, Hialeah Gardens, FL 33016",+1 954-793-0775,fussiontherapyinc@gmail.com,https://www.fussiontherapy.com/,"Pediatric therapy company serving ages 0-21 including children with autism, cerebral palsy and developmental delays. Speech, occupational and physical therapy, non-emergency medical transportation, and a PPEC programme added in 2023.",https://www.fussiontherapy.com/services/,4,MEDIUM
6984,ChildGarden Center | Integral Therapy - Lake Worth Beach,aba|speech-therapy|occupational-therapy|music-therapy|feeding-therapy|life-skills|parent-coaching|mobile-services,mobile-services,Y,,"1028 N Federal Hwy, Lake Worth, FL 33460",561-909-8980,abc@childgardens.com,https://www.childgardens.com/,"BCBA-led centre for young children with autism. ABA, speech and occupational therapy, music therapy, feeding and food-refusal programmes, toilet and daily living skills training, family training, school consultation and IEP attendance.",https://www.childgardens.com/index.php/how-do-we-help/,3,HIGH
7163,Ascend Transition Services,life-skills|respite-care|mobile-services,,Y,,"506 SW 47th Terrace, Cape Coral, FL 33914",(239) 851-8608,info@ascendswfl.com,https://www.ascendswfl.com/,"APD provider in Cape Coral. Four life-skills levels covering companion, supported employment, adult day training and prevocational services, plus in-home personal care, respite for under-21s, and private duty skilled nursing.",https://www.ascendswfl.com/life-skills/,3,HIGH
9565,Sacred Space Therapy / Grounded Ventures LLC,physical-therapy|mobile-services|virtual-therapy|parent-coaching|group-therapy,group-therapy,Y,"Both. Site states pediatric physical therapy for ages 0-21, infants through 21, alongside adult and geriatric clients, with a neurologic and early-childhood developmental focus.",,+1 (954) 257-5370,hello@sacredtherapy.space,http://www.sacredtherapy.space/,"Solo DPT-led concierge practice offering in-home and outdoor pediatric and adult physical therapy, massage, sensory and gross-motor play classes, family sensory-regulation coaching, workshops and telehealth across Broward County.",http://www.sacredtherapy.space/,2,HIGH
10112,KidsCare Home Health - Florida Region 10 - 8569 Pines Blvd,physical-therapy|occupational-therapy|speech-therapy|feeding-therapy|mobile-services,,Y,,"8569 Pines Blvd, Suite 209, Pembroke Pines, FL 33021",+1 954 538-8588,,https://kidscarehomehealth.com/florida/,"Pediatric home health agency delivering physical, occupational and speech therapy plus feeding and swallowing therapy in the child's home, alongside private duty nursing. Lists autism among diagnoses served; accepts Medicaid and commercial plans.",https://kidscarehomehealth.com/pediatric-therapy-services/,3,HIGH
10238,Angels of Care Pediatric Home Health,speech-therapy|occupational-therapy|physical-therapy|feeding-therapy|respite-care|mobile-services,,Y,,,855-452-6435,,https://angelsofcare.com/,"Nurse-owned pediatric home health agency operating in Florida and seven other states. In-home speech, occupational and physical therapy, feeding and swallowing therapy, private duty and skilled nursing, attendant care, respite, and a PPEC centre.",https://angelsofcare.com/speech-therapy/,4,HIGH
10360,Quest Kids Therapy - Winter Garden,aba|life-skills|mobile-services,,Y,,,,Kids-Inquiries@questinc.org,https://questinc.org/quest-kids-therapy/,"Quest, Inc. programme delivering customized ABA for autistic children and teens: communication, motor, social and daily living skills, at home, in schools and in the community. Site now lists only Orlando and Lake Mary, so Winter Garden is doubtful.",https://questinc.org/quest-kids-therapy/,3,MEDIUM
