id,name,city,phone,website,verified
7127,Alliance For Independence,Lakeland,(863) 665-3846,http://afi-fl.org/,false
7358,Ascend Mind and Body,Lakeland,(863) 510-2624,https://ascendfl.com/,false
7300,Autism Institute for Learning and Development,Lakeland,(863) 617-9948,https://autismildlakeland.org/,false
6724,Capernaum Medical Center,Lakeland,(863) 232-4323,http://cmcwecare.com/,true
8969,"Catherine M. Seifer, MA",Lakeland,(863) 683-6504,null,false
8685,"Claudia L. Martinez, Occupational",Lakeland,(863) 648-0675,null,false
7207,Dorothy Hopkins LLC,Lakeland,(863) 648-0313,null,false
6943,Harmony at Home Coaching and The Kid Coach,Lakeland,(863) 336-2300,https://www.harmonyathomecoaching.com/,false
8663,"Heather Stambaugh, LMHC LPC NCC CFMHE",Lakeland,(863) 271-7977,http://www.lkldtherapyformisfits.com/,false
9087,Hope Broker Williams Family Therapy,Lakeland,(863) 624-5818,http://hope4youtherapy.com/,false
9072,"integrity therapy services, llc login",Lakeland,(863) 617-9400,http://integritytherapy.info/contactus.aspx,false
8993,"Johns Hopkins All Children's Outpatient Care, Lakeland",Lakeland,(863) 802-6600,https://www.hopkinsmedicine.org/patient-care/locations/johns-hopkins-all-childrens-outpatient-care-lakeland,false
7236,"Judith Johnson, OT",Lakeland,(863) 577-1981,null,false
7245,"Kara T Vaassen MS, LMHC",Lakeland,(863) 284-2699,http://www.kidsawarenessseries.com/,false
8963,Kindelan McDanal & Associates,Lakeland,(863) 877-1855,http://kindmcd.com/,false
6521,Learn and Rise,Lakeland,(863) 816-4253,https://sites.google.com/view/learn-and-rise-behaviortherapy/p%C3%A1gina-principal,true
6867,Let's Talk & Move Therapy Center,Lakeland,(863) 272-9639,http://www.ltmtherapycenter.com/,true
9048,Neurodevelopmental Center for Children,Lakeland,(813) 655-8159,https://www.hopefultherapies.com/,false
6700,Noah's Ark of Central Florida,Lakeland,(863) 687-0804,null,true
6618,Rick Zalanka MS LMHC,Lakeland,(863) 701-8700,null,true
8469,"Susan Truett, LMHC",Lakeland,(863) 660-6556,http://www.relationshipbuilders-lakeland.com/,false
8908,"The Sabol Center, LLC",Lakeland,(863) 398-9624,http://sabolcenter.com/,false
7003,Virtually Speaking,Lakeland,(863) 732-9955,https://virtuallyspeakingslp.com/,false
6699,Walk with Hope,Lakeland,(863) 777-9184,https://walkwithhope.net/,true
6643,Ability Plus Mental Health Clinic,Tallahassee,(850) 966-2145,https://abilityplusmentalhealthllc.com/,true
8717,"Anne O. Tierney, LCSW",Tallahassee,(850) 656-1822,http://annetierneylcsw.com,false
7195,Apalachee Center,Tallahassee,(850) 523-3333,https://apalacheecenter.org/,false
6851,"Attachment and Experiential Therapy, LLC",Tallahassee,(603) 217-2755,http://www.adptherapy.com/,true
8907,Better Brain Care,Tallahassee,(850) 656-1129,https://mentalhealthcouncil.org/business-directory/1332/better-brain-care-llc/,false
6602,Bright Stars Therapy Inc,Tallahassee,(850) 933-8558,null,true
6835,"Children's Communication Center, Inc.",Tallahassee,(850) 386-8886,http://www.childrenscommunication.com/,true
8795,employU,Tallahassee,(407) 598-0202,http://www.employu.org/,false
6812,Enrichment Services Int.,Tallahassee,(850) 296-7807,https://enrichment-services.com/,true
6956,Enso Psych Group,Tallahassee,(850) 778-1642,http://www.ensopsych.com/,false
6739,"Evolving Strong, LLC",Tallahassee,(850) 371-5325,https://evolvingstrong.com/?utm_source=gmb&utm_medium=web_url&utm_campaign=website,true
6920,"Families First of Florida, LLC",Tallahassee,(813) 290-8560,http://www.familiesfirstfl.com/,true
6887,Future Pathways,Tallahassee,(850) 888-3001,http://futurepathwaysfl.com/,true
8793,"Kristin Allen, MS, LMHC",Tallahassee,(859) 312-4195,https://timberlanetherapy.clientsecure.me/,false
6908,Learning Alternative Behaviors,Tallahassee,(904) 800-6706,null,true
7256,"Louis M. Tornyai, OTC",Tallahassee,(850) 656-3163,null,false
8866,"Marie H. Guilford, PHD",Tallahassee,(850) 224-5801,http://mariehumeguilfordphd.com/,false
7087,"New Hope Intervention, LLC",Tallahassee,(850) 270-9686,http://www.newhopeintervention.com/,false
7076,North Florida Pediatric Associates,Tallahassee,(850) 877-1162,http://www.northfloridapeds.com/,false
7270,Pediatric Therapy Services Tallahassee,Tallahassee,(850) 800-7752,null,false
7184,R & R Travel Therapy,Tallahassee,(850) 296-0930,http://randrtraveltherapy.com/,false
7176,Ricke Jill L PhD,Tallahassee,(850) 877-6011,null,false
7409,Stannard Chuck,Tallahassee,(850) 531-0432,http://www.chuckstannard.com/,false
6859,Sunny Pediatric Services,Tallahassee,(850) 909-5521,http://www.sunnyspeech.com/,true
6658,Sunrise Community Inc,Tallahassee,(850) 878-0808,null,true
6548,Susan Goldstein Consulting,Tallahassee,(954) 830-6300,https://susangoldsteinconsulting.com/,true
7178,Talk Lift Heal,Tallahassee,(850) 706-1734,http://talkliftheal.com/,false
6734,Tallahassee Development Center,Tallahassee,(850) 575-0619,https://pensacolacare.org/TDC.html,true
9123,"Therapeutic Endeavors, LLC",Tallahassee,(850) 322-8709,https://therapeuticendeavors.com/,false
7128,Veritas Therapy Group,Tallahassee,(850) 391-1570,null,false
7129,WordPLAY Therapy Services,Tallahassee,(850) 298-8484,https://wordplay850.com/,false
