id,name,city,operating,website_found,primary_service,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
7127,Alliance For Independence,Lakeland,Y,http://afi-fl.org/programs/,"Adult day training center for adults with intellectual and developmental disabilities; also vocational/pre-employment training (paid work through its Business Resources arm), life skills, art, gardening and healthy lifestyles programming, plus transportation",N,N,Y,KEEP_OTHER,https://directory.ucf-card.org/directory-resource_gui/listing/alliance-for-independence-inc/,MEDIUM,"Own programs page names four distinct service lines (Art, Gardening, Healthy Lifestyles, ""Life Skills Hub"" — ""build everyday skills that support greater independence at home and in the community"") for ""adults with developmental and intellectual disabilities,"" and UCF CARD's autism directory classifies it as an ""Adult Day Training Center"" whose participants ""learn various vocational skills while at the same time earning a paycheck."" No ABA, BCBA or clinical autism language anywhere on the site — retag from aba to adult day training / supported employment rather than delete."
7358,Ascend Mind and Body,Lakeland,Y,https://ascendmb.com/,"Integrated primary care plus general mental health — psychiatry/medication management, individual, couples and family talk therapy, ketamine therapy, psychological testing, weight loss, women's/men's/senior health",N,N,N,REMOVE,https://ascendmb.com/,HIGH,"Stored URL ascendfl.com 302-redirects to ascendmb.com, a general primary-care-plus-psychiatry practice whose Lakeland office at ""832 S Florida Ave, Suite 1, Floor 2, Lakeland, FL 33801"" carries the record's phone (863) 510-2624. No ABA, BCBA, RBT or any autism-specific service line anywhere — general mental health serving autistic clients among many others."
7300,Autism Institute for Learning and Development,Lakeland,Y,https://autismildlakeland.org/,"Autism-specific education center: individualized specialized instruction in ""functional academics,"" plus screening/assessments, homeschool evaluations, IEP advocacy, social skills training and caregiver support groups/workshops",N,N,Y,KEEP_OTHER,https://autismildlakeland.org/,HIGH,"Homepage sells ""individualized education"" built on ""functional academics"" with a Programs & Services menu of homeschool evaluations, screening services and IEP advocacy, and the Step Up For Students education listing describes ""individualized assessments, specialized instruction, behavior intervention plans, social skills training"" plus ""support groups and workshops for caregivers."" The autism in the name is backed by real autism-specific programming, but no BCBA, RBT, ABA service page or Medicaid ABA billing appears anywhere — ""behavior intervention plans"" alone fails the BCBA test, so retag from aba to specialized education/social skills."
6724,Capernaum Medical Center,Lakeland,Y,http://cmcwecare.com/,"Pediatric neurology practice — epilepsy, head injuries, genetic and neuromuscular disease; no autism service line of its own",N,N,N,REMOVE,http://cmcwecare.com/,HIGH,"Site sells ""Pediatric Neurology, Epilepsy and More"" across ""diverse neurological conditions"" from ""head injuries to genetic and neuromuscular diseases,"" with no autism, developmental-evaluation, ABA or BCBA mention anywhere — a specialty medical practice, not an autism service provider. Flag: the ABA under this brand belongs to a SEPARATELY NAMED entity, Capernaum Autism Center LLC (autismcmc.com, ""ABA Therapy and autism services,"" founded 2025, phone (813) 553-8253) — that provider would need its own record, this one earns none of the credit."
8969,"Catherine M. Seifer, MA",Lakeland,Y,https://www.achievementacademy.com/,"Pediatric speech-language pathology (M.A., CCC-SLP) delivered as staff clinician at Achievement Academy, an early-intervention and ESE charter PreK center for children birth through age five with developmental delays or disabilities",N,N,Y,KEEP_OTHER,https://www.achievementacademy.com/,MEDIUM,"No website was stored and none exists for her personally; NPI 1114111242 lists her as an individual Speech-Language Pathologist (taxonomy 235Z00000X) at 716 E Bella Vista St, Lakeland, phone (863) 683-6504 — which is Achievement Academy's own address and main line, serving ""children with special needs from birth through age five"" with ""individual speech, occupational and physical therapies."" She is a staff SLP, not a solo practice: the service is real and autism-relevant, but the record should be relabeled/merged to Achievement Academy rather than kept as a named individual, and there is no ABA or BCBA anywhere at that organization."
8685,"Claudia L. Martinez, Occupational",Lakeland,unclear,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Claudia&last_name=Martinez&city=Lakeland&state=FL,"Individually licensed occupational therapist; no practice, clinic name, website or patient-facing service description could be located, and whether she treats children or adults is unestablished",N,N,unclear,UNCLEAR,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Claudia&last_name=Martinez&city=Lakeland&state=FL,MEDIUM,"NPPES NPI 1962448936 ""Claudia Lissette Martinez,"" taxonomy ""Occupational Therapist,"" phone 863-648-0675 matching the record, but the listed address 3368 Summerland Hills Loop, Lakeland FL 33813 is a residential street with no business name attached; the record's truncated name is explained by the NPI credential field itself reading ""Occupational Therapi."" Searches on the name plus ""occupational therapy Lakeland,"" on the phone number, and on pediatric OT in Lakeland returned no practice website, clinic affiliation or any statement of what population she treats — pediatric vs adult is the whole question and it cannot be answered, so this is unclear rather than a KEEP_OTHER."
7207,Dorothy Hopkins LLC,Lakeland,Y,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Dorothy&last_name=Hopkins&city=Lakeland&state=FL,Solo general mental health counseling and substance-use treatment — licensed mental health counselor who is also a Certified Addiction Professional,N,N,N,REMOVE,https://npiregistry.cms.hhs.gov/api/?version=2.1&first_name=Dorothy&last_name=Hopkins&city=Lakeland&state=FL,MEDIUM,"NPPES NPI 1093929606 ""Ms. Dorothy Hopkins,"" credential ""LMHC, CAP,"" taxonomy ""Counselor, Mental Health,"" sole proprietor at 5130 South Florida Ave., Suite 408, Lakeland FL 33813 — CAP is Certified Addiction Professional, so this is counseling plus substance use, exactly the REMOVE category. No website exists; the LLC name is the counselor's own name, no BCBA or ABA appears in any source, and the record phone 863-648-0313 differs from the 863-944-5685 on file at NPPES."
6943,Harmony at Home Coaching and The Kid Coach,Lakeland,Y,https://www.harmonyathomecoaching.com/about-jodie,"Private-pay family/behavior life coaching for adults, parents, teens and children ($140/hour, virtual or in-person) run by one marriage-and-family-therapy-trained coach; explicitly not therapy or clinical treatment",N,N,N,REMOVE,https://www.harmonyathomecoaching.com/about-jodie,HIGH,"""Solution based behavior coaching"" is the whole offer and the site disclaims clinical work outright — ""Coaching looks forward, deals in the present, seeks to educate, and does not diagnose"" — while the About Jodie page gives her credentials as ""a bachelors degree in psychology and a masters degree in marriage and family therapy"" plus Systems Coaching training. Fails the BCBA test with no BCBA, no RBT, no ABA page, and neither the homepage nor the bio mentions autism, neurodivergence or special needs anywhere; ""behavior"" in the name is generic family coaching."
8663,"Heather Stambaugh, LMHC LPC NCC CFMHE",Lakeland,Y,https://care.headway.co/providers/heather-stambaugh,"Solo adult psychotherapy — anxiety, depression, PTSD/trauma, grief, stress and identity work, with an LGBTQIA+ and Trans/Gender Expansive focus; her other letters cover addiction (CAP) and forensic mental health evaluation (CFMHE)",N,N,N,REMOVE,https://care.headway.co/providers/heather-stambaugh,MEDIUM,"Her own site lkldtherapyformisfits.com and its sister domain lakelandfltherapy.com both return ""All paths disallowed by robots.txt"" on repeated attempts at both www and bare host, so the Headway clinical directory settled it: top specialties ""Anxiety, Depression, LGBTQIA+, PTSD"" plus ""Stress management, Grief or loss, Identity issues, Trauma,"" serving adults and seniors, with autism not listed at all. LMHC/LPC letters and zero BCBA, RBT or ABA anywhere fail the BCBA test outright — this is general adult mental health counseling, not an autism service."
9087,Hope Broker Williams Family Therapy,Lakeland,Y,https://puttingfamilyfirst.org/therapists/curlene-williams/,"Solo general psychotherapy by a licensed clinical social worker (Curlene Williams, LCSW, FL SW20910) — stress and anxiety, relationship issues, trauma and abuse, depression, family conflict, grief, OCD; online-only sessions",N,N,N,REMOVE,https://puttingfamilyfirst.org/therapists/curlene-williams/,MEDIUM,"Stored site hope4youtherapy.com would not load on repeated attempts at both bare and www hosts, so NPPES plus a clinician directory settled it: NPI 1659920213 ""Mrs. Curlene Williams"", taxonomy ""Social Worker, Clinical"", sole proprietor in Lakeland, top specialties ""Stress, Anxiety"", relationship issues and trauma. ""Family Therapy"" in the business name is generic talk therapy with no BCBA, no RBT and no ABA, so it fails the BCBA test and is a general-counseling REMOVE."
