id,name,address,reason
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 NW 140TH ST,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
6166,"D & D REHAB CENTER, INC",3412 W 84TH ST # E106,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
8470,Sport & Spine Physical Therapy & Wellness Center,17824 N,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
8934,"THE ARC OF LEVY COUNTY, INC.",7550 149 PL,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,420,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
9350,Super Hero Speech,13155 SW 134TH ST,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
9797,3 C's Therapy Center,4019 W 1ST ST,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
9960,Optimal Performance & PT,1812,Address field has no usable street name - bare house number or truncated fragment; needs a website lookup
