id,name,city,county,address,zip_code,phone,website,subcategory
5764,Aries Physical Therapy - Weston,Weston,null,4543 WESTON RD,33331,(954) 233-0745,http://ariesphysicaltherapy.com/,Therapy Services
5790,Physical Therapy Services - Miami - 8390 W Flagler St,Miami,Miami-Dade,8390 W FLAGLER ST,33144,(305) 221-1685,http://www.physicaltherapyforyou.com/,Therapy Services
5808,Quest Kids Therapy - Tampa - 3910 Us-301,Tampa,null,3910 US-301,33619,407.218.4300,https://questinc.org/contact/,Therapy Services
6027,iMind Mental Health Solutions - Port Saint Lucie,Port St. Lucie,St. Lucie,145 NW CENTRAL PARK PLAZA,34986,(772) 303-1987,https://imindmental.com/,Therapy Services
6876,Coconut Creek Therapy - 1315 Lyons Rd,Coconut Creek,Broward,1315 LYONS RD,33063,(954) 972-1200,http://www.coconutcreektherapy.com/,Therapy Services
6972,Brevard Christian Early Intervention Center - 5500 N Cocoa Blvd,Cocoa,Brevard,5500 N COCOA BLVD,32927,(321) 349-0343,http://www.brevardchristianeic.org/,Therapy Services
6982,Core Connections Inc. - 1435 Aurora Rd,Melbourne,Brevard,1435 AURORA RD,32935,(321) 541-1970,http://coreconnectfl.com/,Therapy Services
7286,"Re-Written Counseling Services, LLC - Port Saint Lucie",Port St. Lucie,St. Lucie,10570 S U.S. HWY 1,34952,(772) 812-3460,http://www.re-writtencounseling.com/,Therapy Services
7536,Wolfson Children's Specialty Center - Daytona - 601 N Clyde Morris Blvd,Daytona Beach,Volusia,601 N CLYDE MORRIS BLVD SUITE A,32114,(904) 202-8550,https://www.wolfsonchildrens.com/locations/daytona,Therapy Services
7587,Aries Physical Therapy - Fort Lauderdale - 1115 E Sunrise Blvd,Fort Lauderdale,Broward,1115 E SUNRISE BLVD,33304,(954) 247-4929,http://ariesphysicaltherapy.com/,Therapy Services
7596,Aries Physical Therapy - Fort Lauderdale - 6290 N Federal Hwy,Fort Lauderdale,Broward,6290 N FEDERAL HWY,33308,(954) 302-8746,http://ariesphysicaltherapy.com/,Therapy Services
7670,Sunshine Kidz Pediatric Care - Hollywood,Hollywood,Broward,6603 TAFT ST,33024,(954) 982-7110,https://sunshinekidzppec.com/,Therapy Services
7674,The NEEDS Center - 175 Industrial Loop S,Orange Park,Clay,175 INDUSTRIAL LOOP S,32073,(904) 269-0773,https://needsctr.org/,Therapy Services
7756,"Therapy with Alyse, LLC - Palm Springs",Palm Springs,Palm Beach,1825 FOREST HILL BLVD,33406,(856) 438-0694,https://therapywithalyse.com/,Therapy Services
8176,"Dr. April Brown, LMHC, CST Relationship, Intimacy, And Sex Therapist - 290 Nicholas Pkwy",Cape Coral,null,290 NICHOLAS PKWY,33991,(239) 565-6921,https://www.draprilbrown.com/,Therapy Services
8356,BTTC West Palm Beach Rehab - 5829 Corporate Way,West Palm Beach,Palm Beach,5829 CORPORATE WAY,33407,(561) 933-7531,https://bettertomorrowtc.com/?utm_source=gmb,Therapy Services
8382,Catalyst Physical Therapy - Palm Harbor,Palm Harbor,Pinellas,32672 US HWY 19 N,34684,(727) 286-8408,https://catalystpt.org/,Therapy Services
8432,Aries Physical Therapy - Hollywood,Hollywood,Broward,3313 SHERIDAN ST,33021,(754) 202-3457,http://ariesphysicaltherapy.com/,Therapy Services
8484,Beachway Therapy Center | Florida Rehab - 1700 N Dixie Hwy,West Palm Beach,null,1700 N DIXIE HWY,33407,(877) 284-0353,https://www.beachway.com/?utm_source=google&utm_medium=organic&utm_campaign=local,Therapy Services
8499,Stretch Zone - Pembroke Pines,Pembroke Pines,Broward,14826 PINES BLVD,33028,(954) 507-3793,https://www.stretchzone.com/locations/pembroke-pines,Therapy Services
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,Fort Lauderdale,null,2122 W CYPRESS CREEK RD,33309,(954) 838-5288,https://sunshinekidzppec.com/,Therapy Services
8510,Rise Counseling Treasure Coast - Port Saint Lucie,Port St. Lucie,St. Lucie,1680 SE LYNGATE DR,34952,(772) 226-0383,https://risecounselingtc.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,Therapy Services
8520,Traveling Light Counseling Inc - Port Saint Lucie,Port St. Lucie,St. Lucie,1222 SE PORT ST LUCIE BLVD,34952,(772) 361-8448,https://www.travelinglightcounseling.com/,Therapy Services
8554,Harmony United Psychiatric Care - Clearwater - 611 Druid Rd,Clearwater,Pinellas,611 DRUID RD STE 512,33756,(800) 457-4573,https://www.hupcfl.com/,Therapy Services
8555,Harmony United Psychiatric Care - Gainesville - 7135 Nw 11th Pl,Gainesville,Alachua,7135 NW 11TH PL,32605,(800) 457-4573,https://hupcfl.com/locations/gainesville-florida/,Therapy Services
8556,SPEECH LANGUAGE PATHOLOGIST - Wellington,Wellington,null,WELLINGTON,33414,(561) 641-5757,http://creativetherapysolutions.com/,Therapy Services
8557,The Arc of Volusia Inc - Holly Hill - 100 Jimmy Huger Cir,Holly Hill,Volusia,100 JIMMY HUGER CIR,32117,(386) 274-4736,http://arcvolusia.org/,Therapy Services
8563,Stephonia Llewellyn - Child/Adolescent Therapist - 7451 Wiles Rd,Coral Springs,Broward,7451 WILES RD SUITE 102-103,33067,(954) 378-5381,https://www.medpsych.net/staff/stephonia-llewellyn-lmhc/,Therapy Services
8564,A Beautiful Mind Counseling and Consulting - Port Saint Lucie,Port St. Lucie,St. Lucie,1225 SE PORT ST LUCIE BLVD,34952,(772) 722-1513,http://www.abeautifulmindcounseling.com/,Therapy Services
8572,Early Steps at CDTC - 1401 Federal Hwy,Fort Lauderdale,Broward,1401 FEDERAL HWY,33316,(954) 728-8080,http://www.childrensdiagnostic.org/,Therapy Services
8573,Life Developmental Center - Miramar - 6700 Sw 13th St,Miramar,Broward,6700 SW 13TH ST,33023,(954) 445-6797,http://lifedevelopmentalcenter.org/,Therapy Services
8577,Catalyst Physical Therapy - Clearwater,Clearwater,Pinellas,1206 COURT ST,33756,(727) 286-8408,http://catalystpt.org/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing,Therapy Services
8582,Children's Behavioral Intervention - Palm Springs,Palm Springs,Palm Beach,1601 BELVEDERE RD E-300,33406,(561) 410-8225,https://childrensbehavioralint.com/,Therapy Services
8587,Ellie Mental Health - Hollywood,Hollywood,Broward,9050 PINES BLVD,33024,(754) 704-6867,https://elliementalhealth.com/locations/pembroke-pines-fl/,Therapy Services
8589,Dr. Tripp & Associates - Port Saint Lucie,Port St. Lucie,St. Lucie,540 NW UNIVERSITY BLVD STE 204,34986,(772) 494-7770,https://www.drtrippandassociates.com/get-matched,Therapy Services
8596,FIRST WORDS Project - Bldg. A,Bldg. A,null,EDGEWATER OFFICE PARK,32309,(866) 526-8919,http://www.firstwordsproject.com/,Therapy Services
8597,"Leslie Danner, EdS, LSP - 1555 Matthew Dr",Fort Myers,Lee,1555 MATTHEW DR,33907,(239) 533-9860,https://www.gulfshorebh.com/,Therapy Services
8599,Kris Parker and Associates - Port Saint Lucie,Port St. Lucie,St. Lucie,1950 SE PORT ST LUCIE BLVD SUITE,34952,(772) 224-2125,http://www.krisparkerandassociates.com/,Therapy Services
8603,"Maximum Achievers, LLC - Palm Springs",Palm Springs,Palm Beach,1495 FOREST HILL BLVD,33406,(561) 529-0899,http://maximumachieversllc.com/,Therapy Services
10360,Quest Kids Therapy - Winter Garden,Winter Garden,Orange,1200 E PLANT ST,34787,407.218.4340,https://questinc.org/quest-kids-therapy/,Therapy Services
10401,Early Steps - Jacksonville,Jacksonville,Duval,910 N JEFFERSON ST,32209,(904) 427-7600,https://floridaearlysteps.com/,Therapy Services
10556,St. John the Evangelist Catholic Community,Melbourne,null,"5645 Stadium Pkwy, Melbourne, FL 32940",null,321-366-0166,https://www.stjohnviera.org/sensory-friendly-mass,null
