id,name,city,canonical_city,address,zip_code,phone,website,services
8952,Acorn Health ABA Therapy - Coral Gables,Coral Gables,CORAL GABLES,1500 Douglas Rd #230,33134,(786) 751-4534,https://www.acornhealth.com/?utm_source=Googlemybusiness&utm_medium=search&utm_campaign=coralgables-fl&utm_content=localsearch,life-skills|aba|ados-testing
6756,Acorn Health ABA Therapy - Lakeland,Lakeland,LAKELAND,600 Lake Hollingsworth Dr,33803,(863) 277-6201,https://acornhealth.com/locations/lakeland-fl/,aba
6536,Acorn Health ABA Therapy - Miramar,Miramar,MIRAMAR,3122 Commerce Pkwy,33025,(754) 704-6111,https://acornhealth.com/locations/miramar-fl/,aba
7088,Acorn Health ABA Therapy - Orlando,Orlando,ORLANDO,1160 S Semoran Blvd,32807,(407) 537-9999,https://acornhealth.com/locations/orlando-fl/,life-skills|aba|ados-testing|occupational-therapy
6622,Acorn Health ABA Therapy - Orlando Downtown,Orlando,ORLANDO,644 Ferguson Dr #200,32805,(407) 807-6887,https://www.acornhealth.com/?utm_source=Googlemybusiness&utm_medium=search&utm_campaign=downtown-orlando-fl&utm_content=localsearch,aba
6681,BASS ABA Therapy - Clearwater/St. Pete,Clearwater,CLEARWATER,13700 58th St N #207,33760,(877) 823-4283,http://www.bassautism.com/,aba
9169,BASS ABA Therapy - Gainesville East - 1000 Ne 16th Ave,Gainesville,GAINESVILLE,1000 NE 16TH AVE SUITE D,32601,(877) 823-4283,http://www.bassautism.com/,aba
9171,BASS ABA Therapy - Gainesville West - 2035 Sw 75th St B,Gainesville,GAINESVILLE,2035 SW 75TH ST B,32608,(877) 823-4283,http://www.bassautism.com/,aba
10394,BASS ABA Therapy - Ormond Beach,Ormond Beach,ORMOND BEACH,485 S NOVA RD,32174,(352) 332-8589,https://www.bassautism.com/,aba
9172,BASS ABA Therapy - Port Orange - 823 Dunlawton Ave,Port Orange,PORT ORANGE,823 DUNLAWTON AVE,32127,(877) 823-4283,http://www.bassautism.com/,aba
6670,BASS ABA Therapy - Spring Hill,Spring Hill,SPRING HILL,233 DELLA CT,34606,(352) 332-8589,https://www.bassautism.com/,aba
5840,Cultivate Behavioral Health & Education - ABA Therapy for Autism,Yulee,YULEE,87009 PROFESSIONAL WAY,32097,(855) 444-5664,https://cultivatebhe.com/locations/florida/yulee/,aba
7140,Cultivate Behavioral Health & Education - ABA Therapy for Autism,Boca Raton,BOCA RATON,9970 S Central Park Blvd #401,33428,(855) 444-5664,https://cultivatebhe.com/locations/florida/boca-raton-fl/,aba|life-skills|group-therapy|speech-therapy|ados-testing|occupational-therapy|support-groups|virtual-therapy|parent-coaching
9166,Cultivate Behavioral Health & Education - ABA Therapy for Autism - 350 Corporate Way,Orange Park,ORANGE PARK,350 CORPORATE WAY,32073,(855) 444-5664,https://cultivatebhe.com/locations/florida/orange-park/,aba
7389,Eastern Florida Autism Center - 1320 Culver Dr Ne,Palm Bay,PALM BAY,1320 Culver Dr NE,32907,(321) 914-4055,https://www.efac15.com/,null
8838,"Florida Autism Center Clearwater, a division of BlueSprig - 29228 Us Hwy 19 N",Clearwater,CLEARWATER,29228 US Hwy 19 N,33761,(727) 351-4191,https://www.bluesprigautism.com/centers/florida/florida-autism-center-clearwater/?utm_source=google&utm_medium=organic&utm_campaign=gbp,null
7378,"Florida Autism Center Daytona Beach, a division of BlueSprig - 500 Health Blvd",Daytona Beach,DAYTONA BEACH,500 Health Blvd,32114,(386) 267-3161,https://www.bluesprigautism.com/centers/florida/florida-autism-center-daytona-beach/?utm_source=google&utm_medium=organic&utm_campaign=gbp,null
7214,"Florida Autism Center Fort Myers, a division of BlueSprig - 4085 Hancock Bridge Pkwy",North Fort Myers,NORTH FORT MYERS,4085 Hancock Bridge Pkwy,33903,(239) 677-3767,https://www.bluesprigautism.com/centers/florida/florida-autism-center-fort-myers/?utm_source=google&utm_medium=organic&utm_campaign=gbp,null
6861,"Florida Autism Center Gainesville, a division of BlueSprig",Gainesville,GAINESVILLE,1015 NW 56th Ter,32605,(352) 835-5520,https://www.bluesprigautism.com/florida-autism-center-gainesville-florida/?utm_source=google&utm_medium=local&utm_campaign=flac_gainesville_fl,aba
6985,Florida Autism Center of Excellence (F.A.C.E.),Tampa,TAMPA,6310 E Sligh Ave,33617,(813) 985-3223,https://faceprogram.org/,aba|support-groups
7100,Florida Autism Center Port St. Lucie,Port St. Lucie,PORT ST. LUCIE,247 SW Port St Lucie Blvd,34984,(772) 207-1356,https://www.bluesprigautism.com/centers/florida/florida-autism-center-port-st-lucie/?utm_source=google&utm_medium=organic&utm_campaign=gbp,aba
6668,"Florida Autism Center Spring Hill, a division of BlueSprig - 4235 Rachel Blvd",Spring Hill,SPRING HILL,4235 Rachel Blvd,34607,(352) 505-9428,https://www.bluesprigautism.com/centers/florida/florida-autism-center-spring-hill/?utm_source=google&utm_medium=organic&utm_campaign=gbp,null
7094,"Florida Autism Center Tallahassee, a division of BlueSprig - 2868 Mahan Dr , 26, 27",Tallahassee,TALLAHASSEE,"2868 Mahan Dr , 26, 27",32308,(850) 391-6060,https://www.bluesprigautism.com/centers/florida/florida-autism-center-tallahassee/,aba
6747,"Florida Autism Center Winter Park, a division of BlueSprig",Winter Park,WINTER PARK,2305 Glenwood Dr,32792,(407) 743-0312,https://www.bluesprigautism.com/centers/florida/florida-autism-center-winter-park/?utm_source=google&utm_medium=organic&utm_campaign=gbp,aba
