city,latitude,longitude,source,confidence
ST. PETERSBURG,27.7628225,-82.6439770,CENSUS,HIGH
ST. CLOUD,28.2335597,-81.2804941,CENSUS,HIGH
CELEBRATION,28.3102683,-81.5509646,CENSUS,MEDIUM
SORRENTO,28.8087115,-81.5632186,CENSUS,MEDIUM
ST. JOHNS,,,NOT_FOUND,
WILLISTON,29.3740821,-82.4577049,CENSUS,HIGH
BAKER,,,NOT_FOUND,
CHULUOTA,28.6383541,-81.1175062,CENSUS,MEDIUM
CLEWISTON,26.7528697,-80.9399179,CENSUS,HIGH
COCOA BEACH,28.3327472,-80.6253313,CENSUS,HIGH
CRESTVIEW,30.7493952,-86.5811258,CENSUS,HIGH
DEFUNIAK SPRINGS,30.7120548,-86.1211272,CENSUS,HIGH
FERNANDINA BEACH,30.6568507,-81.4514237,CENSUS,HIGH
FREEPORT,30.4999729,-86.1297642,CENSUS,HIGH
INLET BEACH,,,NOT_FOUND,
MERRITT ISLAND,28.3131926,-80.6702556,CENSUS,MEDIUM
OAKLAND,28.5536643,-81.6360906,CENSUS,HIGH
PANAMA CITY BEACH,30.2367839,-85.8773420,CENSUS,HIGH
THE VILLAGES,28.9033643,-81.9887395,CENSUS,MEDIUM
WAUCHULA,27.5469025,-81.8100869,CENSUS,HIGH
WEBSTER,28.6134912,-82.0506131,CENSUS,HIGH
