location_name,page_url,is_metro_index,parent_metro,street_address,suite,city,zip,county,clinic_phone,has_clinic,has_in_home,has_in_school,hours,services_proposed,confidence,notes
Ft. Lauderdale Metro,https://cultivatebhe.com/locations/florida/ft-lauderdale-metro/,Y,,,,,,,,,,,,,HIGH,"Metro index page - no location of its own. Links: Coral Springs, Sunrise. Both already on the top-level index. Page 500d on first fetch, loaded on retry."
Jacksonville Metro,https://cultivatebhe.com/locations/florida/jacksonville-metro/,Y,,,,,,,,,,,,,HIGH,"Metro index page - no location of its own. Links: Orange Park, Yulee (plus Kingsland GA and St. Marys GA, out of state). Both FL sub-locations already on the top-level index. This page publishes the Orange Park and Yulee street addresses that their own location pages omit."
Miami Metro,https://cultivatebhe.com/locations/florida/miami-metro/,Y,,,,,,,,,,,,,HIGH,"Metro index page - no location of its own. Links: Coral Gables, Cutler Bay, Kendale Lakes, Kendall. All four already on the top-level index. States all four are In-Home Services; publishes no address."
Palm Bay Metro,https://cultivatebhe.com/locations/florida/palm-bay-metro/,Y,,,,,,,,,,,,,HIGH,"Metro index page - no location of its own. Links: Sebastian, Vero Beach. Both already on the top-level index."
Sarasota Metro,https://cultivatebhe.com/locations/florida/sarasota-metro/,Y,,,,,,,,,,,,,HIGH,Metro index page - no location of its own. Links: Bradenton. Only one sub-location. Already on the top-level index.
West Palm Beach Metro,https://cultivatebhe.com/locations/florida/west-palm-beach-metro/,Y,,,,,,,,,,,,,HIGH,"Metro index page - no location of its own. Links: Boca Raton, Boynton Beach, Palm Beach. All three already on the top-level index. Page 500d on first fetch, loaded on retry."
"Boca Raton, FL",https://cultivatebhe.com/locations/florida/boca-raton-fl/,N,West Palm Beach Metro,9970 S. Central Park Blvd,Suite 401,Boca Raton,33428,Palm Beach,561-473-9512,Y,Y,Y,Monday-Friday 8:00 AM - 6:00 PM,aba|mobile-services|parent-coaching|group-therapy,HIGH,"Full clinic. Page lists Clinic-Based, In-Home, In-School and a Social Skills Group, plus parent and caregiver training."
"Boynton Beach, FL",https://cultivatebhe.com/locations/florida/boynton-beach-fl/,N,West Palm Beach Metro,8188 Jog Road,Ste 101,Boynton Beach,33472,Palm Beach,561-459-3384,Y,Y,N,Monday-Friday 8:00 AM - 6:00 PM,aba|mobile-services|parent-coaching,HIGH,Clinic-Based and In-Home only; In-School not listed. Caregiver Training Services named as a distinct offering. No social skills group.
"Bradenton, FL",https://cultivatebhe.com/locations/florida/bradenton/,N,Sarasota Metro,522 9th St. W,,Bradenton,34205,Manatee,941-254-1710,Y,Y,Y,Monday-Friday 7:30 AM - 6:30 PM,aba|mobile-services|parent-coaching,HIGH,"Full clinic, all three modalities. Caregiver training sessions stated. No social skills group."
"Coral Springs, FL",https://cultivatebhe.com/locations/florida/coral-springs-fl/,N,Ft. Lauderdale Metro,1725 N University Dr,Suite 325,Coral Springs,33071,Broward,,Y,Y,Y,Monday-Friday 8:30 AM - 6:00 PM,aba|mobile-services|parent-coaching|group-therapy,HIGH,"CLINIC-BASED SERVICES MARKED COMING SEPTEMBER 2026 - address is published but the clinic is not yet open; In-Home and In-School are live now. Social Skills Group listed. No local phone published, corporate line only."
"Orange Park, FL",https://cultivatebhe.com/locations/florida/orange-park/,N,Jacksonville Metro,350 Corporate Way,Suite 400,Orange Park,32073,Clay,,Y,Y,Y,Monday-Friday 8:00 AM - 6:00 PM; Saturday hours may be available,aba|mobile-services|parent-coaching,MEDIUM,"ADDRESS NOT ON THIS LOCATION PAGE - taken from the FL index and the Jacksonville Metro page, both loaded. No local phone published. Saturday availability is hedged on the page."
