title,date,end_date,time,venue_name,address,city,county,state,zip_code,organizer_name,organizer_email,organizer_phone,website_url,registration_url,cost,is_free,event_type,category,age_groups,is_recurring,recurrence_pattern,sensory_accommodations,ceu_available,description,source_url,confidence,notes
Special Olympics Florida State Surfing Invitational,2026-08-21,2026-08-22,,Alan Shepard Park,299 E Cocoa Beach Causeway,Cocoa Beach,Brevard,FL,32931,Special Olympics Florida,,352-933-3720,https://www.specialolympicsflorida.org/events,,,,recreation,disability-general,Athletes with intellectual disabilities,N,,,,"Special Olympics Florida holds its statewide surfing competition on the beach at Alan Shepard Park in Cocoa Beach. Athletes with intellectual and developmental disabilities compete over two days, supported by volunteer coaches and water safety staff. Spectators and volunteers are welcome.",https://www.specialolympicsflorida.org/events,HIGH,"Date, venue, address and staff contact all came from the events listing on Special Olympics Florida's own site. Cost and a registration link are not published on that listing, so those fields are left empty rather than guessed."
Summer's (Almost Over) Dance,2026-08-21,,6:00 PM - 8:00 PM,Charlotte County Family Services Building,21500 Gibralter Drive,Port Charlotte,Charlotte,FL,33952,Loveland Center,avantries@lovelandcenter.org,941-233-0547,https://lovelandcenter.org/event/summers-almost-over-dance/,,Free,Y,social,disability-general,Ages 16 and older,N,,,,"Evening dance social for individuals with intellectual and developmental disabilities age 16 and up, hosted by Loveland Center at a Charlotte County community building. The two-hour event centers on music, dancing and socializing. RSVP goes to Amy Vantries at Loveland Center.",https://lovelandcenter.org/event/summers-almost-over-dance/,HIGH,"Date, time, full venue address, age range and RSVP contact all printed on Loveland Center's own event detail page. 'Free' was printed on Loveland's events index row for this event rather than on the detail page. Port Charlotte / Charlotte County sits just outside the city list assigned to this lane but is squarely Southwest Florida and the organizer is a Sarasota-County nonprofit - flagging in case another lane also picks it up."
FND PSN Academic Summit,2026-08-22,,9:00 AM - 11:00 AM,"Florida Gulf Coast University - The Water School (AB9), Room 138",11098 FGCU Blvd N,Fort Myers,Lee,FL,33965,Family Network on Disabilities (FND) Parent Support Network,,,https://fndusa.org/event/fnd-psn-academic-summit/,,Free,Y,training,caregiver-training,Adults,N,,,,"Free morning seminar for parents and caregivers of students with disabilities, held on the FGCU campus in Fort Myers. Family Network on Disabilities presents it jointly with FGCU RISE, the Florida Inclusive Network, Project 10 and SEDNET, covering academic planning and educational transitions from preschool through college.",https://fndusa.org/event/fnd-psn-academic-summit/,HIGH,"Date, time, room-level venue, address and free cost all printed in the body of Family Network on Disabilities' own event detail page. No registration link was published on the page. Partner organizations named on the same page."
Special Olympics Florida State Stand Up Paddle Invitational,2026-08-22,,7:30 AM,Founders Park,87000 Overseas Highway,Islamorada,Monroe,FL,33036,Special Olympics Florida,,352-933-3720,https://www.specialolympicsflorida.org/events,,,,recreation,disability-general,Athletes with intellectual disabilities,N,,,,Special Olympics Florida stages its state stand-up paddleboard competition in the Florida Keys. Athletes with intellectual and developmental disabilities from roughly fifteen participating counties compete at Founders Park in Islamorada. The event starts early in the morning to take advantage of calm water.,https://www.specialolympicsflorida.org/events,HIGH,"Date, start time, venue, address, participating-county list and staff contact came from the events listing on Special Olympics Florida's own site. Cost is not published there."
Center Stage Connections: Family Theater Fun,2026-08-22,,1:00 PM - 3:00 PM,The Naples Players,701 5th Ave S,Naples,Collier,FL,34102,Autism Collier Resource Center,info@autismcollier.org,239-595-1971,https://www.autismcollier.org/,https://www.autismcollier.org/event-details/center-stage-connections-family-theater-fun,,,social,autism-specific,Individuals with autism and their families; no age limits published,N,,,,"Autism Collier Resource Center hosts an afternoon of theater games, musical theater exercises and improv led by a teaching artist from The Naples Players. It is built so autistic participants and their families can join in at whatever level feels comfortable, and no prior theater experience is expected. RSVP is requested through the center's event page.",https://www.autismcollier.org/event-details/center-stage-connections-family-theater-fun,HIGH,"Date, time and street address all came from Autism Collier Resource Center's own event-detail page (Wix event listing with an RSVP button); it was also cross-listed on their /event-list index. The page prints the location as 701 5th Ave S, which is The Naples Players' Sugden Community Theatre - I used the street address exactly as published rather than inferring a different venue label. Cost is not stated on the page so it was left empty."
Northwest Region Swimming Competition,2026-08-22,,8:30 AM - 2:00 PM,Frank Brown Park,16200 Panama City Beach Parkway,Panama City Beach,Bay,FL,,Special Olympics Florida - Northwest Region,,850-597-9265,https://www.specialolympicsflorida.org/events,,Free,Y,recreation,disability-general,Ages 8 and up,N,,,,"Special Olympics Florida's Northwest Region holds its regional swimming competition at Frank Brown Park, bringing together athletes with intellectual disabilities from across the Panhandle counties. Athletes compete in swimming events by age and ability division. Spectators and volunteers are welcome at no charge.",https://www.specialolympicsflorida.org/events,HIGH,"Date, venue, address and contact phones all came from Special Olympics Florida's own statewide Events listing page, which the fetch confirms is displaying 2026. CAVEAT: the individual row prints only 'Aug 22' without repeating the year - the year comes from the calendar's 2026 context, and August 22, 2026 is in fact a Saturday, consistent with a weekend meet. Contacts listed on the row are Bridget Hawk (850-597-9265) and Nancy Simpler (850-525-3155). No zip is printed on the listing, so zip_code left blank rather than guessed. Athlete registration runs through local county programs, not a public URL. Cost stated as free is standard Special Olympics practice but is NOT printed on the page - treat 'Free' as an inference to verify."
Just for Dads Support Group at NSU,2026-08-26,,6:30 PM,NSU CARD Satellite Office,"7600 SW 36th Street, Suite 200",Davie,Broward,FL,33328,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),luism@nova.edu,305-284-6563,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (fathers/male caregivers),Y,"Monthly, 6:30 pm, at the NSU CARD satellite office in Davie",,,"A monthly in-person gathering at UM-NSU CARD's Davie office for fathers raising a child on the autism spectrum. Dads support one another, trade practical resources, and build connections with other fathers in Broward County. Attendance requires the child to be a registered CARD client.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Date from UM-NSU CARD's own published 'Master Events' PDF hosted on card.miami.edu, which I loaded. Published dates: Aug 26, Sep 23, Oct 28 and Dec 9, 2026. Earliest on/after 2026-08-20 is Aug 26, 2026. Other in-window dates: 2026-09-23, 2026-10-28. Registration is by emailing Luis Grana at luism@nova.edu -- no registration web page is published, so registration_url is empty. Cost is not stated in the PDF, so left empty rather than assumed free. organizer_phone is the CARD main office number listed on card.miami.edu."
Support. Learn. Connect. Lunch Series - Motivating People to Choose to Move,2026-08-26,,12:00 PM - 1:00 PM,Virtual (Zoom webinar),,Naples,Collier,FL,,STARability Foundation,,,https://starability.org/,https://us06web.zoom.us/meeting/register/ka04KlkpRomHd9ED4mTzVg#/registration,,,training,caregiver-training,"Families, caregivers and professionals",Y,Part of STARability's ongoing Support. Learn. Connect. lunch webinar series,,,"A lunch-hour webinar in STARability Foundation's Support. Learn. Connect. series, featuring Bloom Fitness founder John Watson. The session covers practical ways to motivate autistic people and others with developmental disabilities toward more physical activity. It is aimed at family caregivers and direct-support professionals alike.",https://starability.org/upcoming-events/,HIGH,"Date, time, speaker and Zoom registration link all from STARability Foundation's own Upcoming Events page. THIS IS A VIRTUAL EVENT with no physical Florida venue - per the brief I set city to the organizer's home city, Naples (Collier County), and flag it here as online-only. Cost is not printed on the page."
Walk It Out Wednesday - Tallahassee,2026-08-26,,6:00 PM - 7:00 PM ET,"Governors Square Mall (2nd level, near old Sears entrance)",1500 Apalachee Parkway,Tallahassee,Leon,FL,32301,FSU Center for Autism and Related Disabilities (FSU CARD),autism@med.fsu.edu,850-644-4367,https://fsucard.com/,https://fsucard.com/events/walk-it-out-wednesday-tallahassee-june-2026/,,,recreation,autism-specific,All ages,Y,"Weekly on Wednesdays, 6:00-7:00 pm, at Governors Square Mall",,,"A weekly indoor walking meetup hosted by FSU CARD for autistic individuals and their families at Governors Square Mall in Tallahassee. It is an informal recreation and social opportunity in a climate-controlled indoor setting where families can move, connect with other CARD families, and meet CARD staff.",https://fsucard.com/calendar/,HIGH,"Dates come from FSU CARD's own site in three places that agree: the calendar widget at fsucard.com/calendar/ (Aug 2026 occurrences Aug 5, 12, 19, 26 and Sep 2), the Community Events & Training page at fsucard.com/services/community/, and the Trainings & Events page at fsucard.com/resources/trainings-events/ (both listing Aug 26 and Sep 2, 9, 16, 23, 30, 2026). Earliest occurrence on/after 2026-08-20 is Aug 26, 2026, used as `date`. Additional published upcoming dates in the window: 2026-09-02, 2026-09-09, 2026-09-16, 2026-09-23, 2026-09-30. No dates published beyond Sep 30, 2026 at time of check. Time 6:00-7:00 pm from the calendar widget and event detail page. Cost is not stated anywhere on the site, so cost/is_free left empty rather than assumed free. FLAG: the event detail page slug reads 'june-2026' but the page body carries the Aug 26, 2026 date. A Smartsheet registration form is referenced on the event page but I did not load it, so registration_url is the FSU CARD event page itself. This was the only dated FSU CARD event series in the window."
"Keeping Kids with ASD Safe in their Home, School & Community",2026-08-28,,12:00 PM - 1:00 PM EDT,Virtual (Zoom),,Boca Raton,Palm Beach,FL,,FAU Center for Autism and Related Disabilities (CARD),bastienk@fau.edu,561-235-8412,https://www.fau.edu/education/centersandprograms/card/,https://www.eventbrite.com/e/keeping-children-with-autism-safe-in-their-home-school-and-community-tickets-1986389923734,Free,Y,training,caregiver-training,"Adults (parents, caregivers, educators, professionals)",N,,,,"A free one-hour webinar from FAU CARD on reducing safety risks for children on the autism spectrum. It covers identifying risk factors, building layers of safety supports, wandering and elopement prevention, and drowning prevention. Presenters also point families toward local and national safety resources, including swim lesson options in Palm Beach County.",https://calendar.fau.edu/event/keeping-kids-with-asd-safe-in-their-home-school-community,HIGH,"Date came from the FAU university events calendar entry on the CARD department calendar (calendar.fau.edu/department/card/calendar, which was displaying Aug 20 - Sep 19, 2026) and was independently confirmed on the organizer's own Eventbrite listing, which I loaded and which also shows Friday, August 28, 2026, 12-1pm EDT. The published short link SafetyforChildrenwithASD.eventbrite.com 302-redirects to the eventbrite.com/e/ URL given here; I used the resolved URL. Virtual event, so `city` is FAU CARD's home campus city. Page does not mention CEUs, so ceu_available left empty. This is a distinct FAU CARD program and is NOT the excluded PALS/UCF CARD Wandering & Drowning Prevention event -- different CARD center, different series. This was the ONLY dated event on the FAU CARD calendar in the window."
Karaoke Dance Party at Loveland Bradenton,2026-08-28,,5:00 PM - 7:00 PM,Loveland Bradenton,5704 Manatee Ave W,Bradenton,Manatee,FL,34209,Loveland Center,afry@lovelandcenter.org,941-415-1669,https://lovelandcenter.org/event/karaoke-dance-party-at-loveland-center-bradenton/,,Free,Y,social,disability-general,,N,,,,"Free evening social hosted by Loveland Center, a Southwest Florida nonprofit serving adults with intellectual and developmental disabilities. Participants sing karaoke, dance and socialize at Loveland's Bradenton campus. RSVP is requested by email to Gina Fry.",https://lovelandcenter.org/event/karaoke-dance-party-at-loveland-center-bradenton/,HIGH,"Date, time, address, free admission and RSVP email all printed in the body of Loveland Center's own event detail page. Additional contact Alexandra Troisi listed on the same page."
2026 Disability Resource Fair,2026-08-29,,10:00 AM - 3:00 PM (doors open 9:30 AM),Miami-Dade County Fair & Exposition,10901 Southwest 24th Street,Miami,Miami-Dade,FL,33165,Miami-Dade County ADA Office (People and Internal Operations),,,https://www.eventbrite.com/e/2026-disability-resource-fair-tickets-1984973764965,https://www.eventbrite.com/e/2026-disability-resource-fair-tickets-1984973764965,Free,Y,social,disability-general,All ages,Y,Annual,Sensory play area for children,,"Miami-Dade County's ADA Office gathers more than 175 agencies serving people with disabilities under one roof at the county fairgrounds. Families can work through nine resource tracks covering advocacy, assistive technology, education, employment, healthcare, transportation and recreation. Admission and parking are free, and the day includes interactive games, a children's sensory play area, performances and door prizes.",https://www.eventbrite.com/e/2026-disability-resource-fair-tickets-1984973764965,HIGH,"Date, time, venue and full address all read off the organizer's own Eventbrite listing - the Miami-Dade County ADA Office is the listed organizer, so this is a government agency's own listing rather than an aggregator repost. Year is printed as 2026 both in the event title and the listing header. Miami is not one of the four saturated cities named in the brief. The sensory play area is the only sensory accommodation the listing actually states; I did not add others."
