id,name,address,city,county,zip_code
5764,Aries Physical Therapy - Weston,4543 WESTON RD,Weston,null,33331
5766,E&R HEALTH CARE INC.,12750 NW 17TH ST UNIT 111,Miami,Miami-Dade,33182
5777,BUSH BRIANNA N,6528 SWEETBAY LN APT 102,Jacksonville,Duval,32244
5808,Quest Kids Therapy - Tampa - 3910 Us-301,3910 US-301,Tampa,null,33619
5835,"Quest, Inc. Training Center & Tampa Corporate Office",3910 US-301,Tampa,null,33619
5840,Cultivate Behavioral Health & Education - ABA Therapy for Autism,87009 PROFESSIONAL WAY,Yulee,null,32097
6056,"JONATHAN TUMAN, DDS,PA",1111 KANE CONCOURSE STE 515,Bay Harbor Islands,Miami-Dade,33154
6061,"BREVARD CO. BOARD CO. COMMISSIONERS
SPACE COAST AREA TRANSIT",401 S VARR AVE 401 S VARR AVE,Cocoa,Brevard,32922
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON",2440 US HIGHWAY 441/27,Fruitland Park,Lake,34731
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 NW 140TH ST,Alachua,Alachua,32615
6069,VICTORY PROVIDER LLC,507 SE 12TH TER,Gainesville,Alachua,32641
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,3408 W 84TH ST STE 203,Hialeah,Miami-Dade,33018
6166,"D & D REHAB CENTER, INC",3412 W 84TH ST # E106,Hialeah,Miami-Dade,33018
6183,RAMOS DONNA M,28 SAXONY A,Delray Beach,Palm Beach,33446
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,2000 TOWERSIDE TER APT 505,Miami,Miami-Dade,33138
6196,WE CARE ACTIVITY CENTER INC,5609 NW 48TH LN,Lauderhill,Broward,33319
6226,SUCCESS AT WORK,5800 PALM AVE,Hialeah,Miami-Dade,33012
6230,"SMA HEALTHCARE, INC.",225 FENTRESS BLVD STE A,Daytona Beach,Volusia,32114
6267,DGAN LLC,6802 LAKEVIEW CENTER DR STE 500,Tampa,Hillsborough,33619
6281,"RIDGE AREA ARC, INC.",4352 INDEPENDENCE ST,Avon Park,Highlands,33825
6282,ASSOCIATION FOR RETARDED CITIZENS,4173 NE HIGHWAY 17,Arcadia,DeSoto,34266
6284,"THE ARC NASSAU, INC.",86051 HAMILTON STREET,Yulee,Nassau,32097
6329,"SUNRISE COMMUNITY, INC",9040 SUNSET DR,Miami,Miami-Dade,33173
6344,Easterseals LEAP Program - Naples,8793 TAMIAMI TRL E STE 111,Naples,Collier,34113
6346,CITY OF CAPE CORAL,400 SANTA BARBARA BLVD,Cape Coral,Lee,33991
6383,"THE ARC NORTH FLORIDA, INC",511 GOLDKIST BLVD SW,Live Oak,Suwannee,32064
6385,"WILSON SHERI L
HOME ACCESSIBILITY CONSULTING LLC",11470 NE 81ST ST,Bronson,Levy,32621
6390,ANGELIC COMPANION SERVICES,498 PALM SPRINGS DR STE 100,Altamonte Springs,Seminole,32701
6398,C INDIVIDUALS TRANSITION TO WORK INC.,4949 ALORA ISLES DR APT 1116,West Palm Beach,Palm Beach,33417
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.",22313 BOCA RIO ROAD,Boca Raton,Palm Beach,33433
6439,KEY FITS SOLUTIONS LLC,3996 AVALON BLVD STE 100-C,Milton,Santa Rosa,32583
6442,AMER HOME CARE INC.,1918 BARRINGTON DRIVE,Clearwater,Pinellas,33763
6463,"HPS, HELPING PEOPLE SUCCEED, INC.",1601 NE SUCCESS DRIVE,Jensen Beach,Martin,34957
6474,BEBES NURSING CARE LLC,7171 N UNIVERSITY DR STE 205,Tamarac,Broward,33321
6902,Select Physical Therapy - Coconut Grove,2150 S DIXIE HWY,Miami,null,33133
7043,GWP Physical Therapy,4650 NW 39TH PL SUITE B,Gainesville,null,32606
7059,"Wolcott Counseling & Wellness, LLC",2830 NW 41 ST,Gainesville,null,32606
7062,Play and Wellness Center of Gainesville,3600 NW 43RD ST A2,Gainesville,null,32606
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",13900 TECH CITY CIR,Alachua,null,32615
7314,Select Physical Therapy - Sebastian,1424 U.S. RTE 1 SUITE B,Sebastian,null,32958
7331,Select Physical Therapy - Port St Lucie,156 NW CALIFORNIA BLVD,Port St. Lucie,null,34986
7360,FISIOCORP MIAMI LLC,1440 79TH STREET CAUSEWAY,North Bay Village,null,33141
7366,Evolutions Treatment Center - Ft Lauderdale,2901 W CYPRESS CREEK RD,Fort Lauderdale,null,33309
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,4820 KERRY FOREST PKWY,Tallahassee,null,32309
7512,Select Physical Therapy - Lakeland South,3900 FLORIDA AVE S,Lakeland,null,33813
7575,Island Cove Behavioral Pediatrics,1831 GOLDEN EAGLE WAY,Fleming Island,null,32003
7592,Joe DiMaggio Children’s Hospital,1005 JOE DIMAGGIO DR,Hollywood,null,33021
7653,Challenges Conquered Counseling Services,800 E CYPRESS CREEK RD,Oakland Park,null,33334
7661,Select Physical Therapy - Tamarac,7160 N UNIVERSITY DR,Tamarac,null,33321
7672,Select Physical Therapy - Hollywood,3325 HOLLYWOOD BLVD,Hollywood,null,33021
7942,Select Physical Therapy - Cay West,1715 CAPE CORAL PKWY W,Cape Coral,null,33914
7967,Select Physical Therapy - Miami Lakes,15150 BULL RUN RD,Miami Lakes,null,33014
8176,"Dr. April Brown, LMHC, CST Relationship, Intimacy, And Sex Therapist - 290 Nicholas Pkwy",290 NICHOLAS PKWY,Cape Coral,null,33991
8199,Brilliant Brains Behavior Services LLC,3970 TAMPA RD SUITE E,Oldsmar,null,34677
8457,Baracusa Health Care,7235 CORAL WY,Miami,null,33155
8466,Select Physical Therapy - Plant City West,511 W ALEXANDER ST,Plant City,null,33563
8470,Sport & Spine Physical Therapy & Wellness Center,17824 N,Lutz,null,33549
8484,Beachway Therapy Center | Florida Rehab - 1700 N Dixie Hwy,1700 N DIXIE HWY,West Palm Beach,null,33407
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,2122 W CYPRESS CREEK RD,Fort Lauderdale,null,33309
8632,ABLE LIFE CARE SERVICES,4728 ALORA ISLES DR APT 7211,West Palm Beach,Palm Beach,33417
8689,MERCED CARE HOME LLC,4701 N HABANA AVE,Tampa,Hillsborough,33614
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME",3304 SAN MOISE PL,Plant City,Hillsborough,33567
8934,"THE ARC OF LEVY COUNTY, INC.",7550 149 PL,Chiefland,Levy,32626
9054,NEED A HAND? CALL ANN,4300 E BAY DR LOT 106,Clearwater,Pinellas,33764
9059,"MILESTONES OF EXCELLENCE, LLC",2013 PINE PL APT 112,Winter Haven,Polk,33881
9171,BASS ABA Therapy - Gainesville West - 2035 Sw 75th St B,2035 SW 75TH ST B,Gainesville,null,32608
9173,Small Talk Speech Therapy (Orange Park),1700 WELLS RD STE 18,Orange Park,null,32073
9181,Little Angels PPEC - Longwood,1400 W STATE RD 434 STE 1000,Longwood,null,32750
9203,The Learning Experience - West Melbourne,4470 HOLLYWOOD BLVD,West Melbourne,null,32904
9222,Better Speech of Palm Beach,12300 FL A1AALT SUITE,Palm Beach Gardens,null,33410
9230,Leapstar Pediatric Therapy,30794 FL-54,Wesley Chapel,null,33543
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,420,Wellington,null,33414
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,1816 HEALTH CARE DR,Trinity,null,34655
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT",300 MERCURY RD,North Palm Beach,null,33408
9317,A Touch of Hope Occupational Therapy - Miami,19400 TURNBERRY WAY APT 812,Miami,null,33180
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs",2290 10TH AVE N,Palm Springs,null,33461
9325,My Kid Therapy Center - ABA Therapy in Miami,1180 N KROME AVE,Homestead,null,33030
9334,S.U.C.C.E.ED in Learning,6035 BIRD RD,Miami,null,33155
9350,Super Hero Speech,13155 SW 134TH ST,Miami,null,33186
9366,Kids Chat Therapy,10300 SUNSET DR,Miami,null,33173
9395,Speech and Language Connection Services LLC - Hialeah,10550 NW 77TH CT,Hialeah,null,33016
9401,"Talk the Talk Pediatric Therapy, LLC",300 FRANDORSON CIR,Apollo Beach,null,33572
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,16800 NW 2ND AVE,Miami Gardens,null,33169
9411,Breakthrough Pediatric Therapy Services | Satellite - 8075 Nw 15th Manor,8075 NW 15TH MANOR,Plantation,null,33322
9426,Physical Therapy Time,1380 NE MIAMI GARDENS DR,North Miami Beach,null,33179
9433,XPE Sports Rehab,5300 POWERLINE RD,Fort Lauderdale,null,33309
9437,NAU Physical Therapy and Wellness,8509 SOUTH FEDERAL HIGHWAY U,Port St. Lucie,null,34952
9439,Physical Therapy Associates of South Florida,7171 N UNIVERSITY DR,Tamarac,null,33321
9444,Fitness Quest Physical Therapy - North Fort Myers,18900 N TAMIAMI TRL,North Fort Myers,null,33903
9455,MasMed Rehab,3181 CORAL WY 5TH FLOOR,Miami,null,33145
9458,AnatomyPT • Physical Therapy & Orthotics,301 ARTHUR GODFREY RD,Miami Beach,null,33140
9466,Aspire Physical Therapy and Wellness - Mobile Outpatient Physical Therapy Services,1110 JIMMY BUFFETT MEM HWY,Satellite Beach,null,32937
