id,name,city,insurances_found,no_slug_plans,self_pay_only,source_page_url,evidence_location,confidence,notes
5818,AutismABATherapy - Fort Myers,Fort Myers,florida-blue|wellcare|unitedhealthcare|sunshine-health|tricare|aetna|cigna,Emblem|Magellan|KBA|Gardiner Scholarship|WebTPA,N,https://autismabatherapy.com/insurance/,"insurance page (general block) plus the homepage insurer logo strip - both loaded; the two sources are listed separately in notes, not merged silently",HIGH,"The insurance page splits into a GENERAL block (Blue Cross, WellCare, United, Emblem, Magellan, Sunshine, TRICARE, Aetna, KBA, Cigna, Gardiner) and a TEXAS-ONLY block (Amerigroup, BCBS of Texas, Superior, Molina, Cook Children's, Parkland, Community Health Choice, Texas Children's, Driscoll, FirstCare, El Paso First, Dell Children's, Community First, Aetna commercial). THE TEXAS BLOCK WAS DELIBERATELY EXCLUDED - it is explicitly out of state, so molina was NOT tagged even though it appears on the page. The homepage logo strip adds WebTPA, United Healthcare and Sunshine Health. Mapped: Sunshine to sunshine-health, United/United Healthcare to unitedhealthcare, Blue Cross to florida-blue. CAVEAT: ""Blue Cross"" is unqualified on a multi-state chain; florida-blue is the Florida Blue plan and is assigned on the basis that this record is the Fort Myers location. NOT INSURANCE: ""Gardiner"" is the Florida Gardiner Scholarship (now FES-UA), a scholarship not a health plan - recorded in no_slug_plans so it is not lost, but it does not belong in an insurance field."
6583,Child Advancement Center - Dania Beach,Dania Beach,florida-medicaid|aetna|cigna|sunshine-health,Children's Medical Services|Community Care Plan|Florida Community Care|HMTC (unidentified),N,http://www.4childadvancement.com/,homepage insurer logo strip - there is no dedicated insurance page (nav is Home / About Us / Services / Contact / Referral Form),HIGH,"Logos re-read a second time against their image filenames to avoid a bad transcription: florida-medicalaid.png = Florida Medicaid, atena.png = Aetna, cigna-florida.png = Cigna, sunchine-help-florida.png = Sunshine Health, children-medical-services.png, COMMUNITY-CARE-PLAN.jpg, florida-community-care-1.png, HMTC.png. HUMANA WAS SPECIFICALLY CHECKED AND IS NOT PRESENT - an earlier pass had guessed the HMTC mark was Humana; the filename is literally HMTC.png and the insurer behind it could not be identified, so it is parked in no_slug_plans rather than mapped. Body copy also carries the generic ""We accept most major insurance plans"", which alone would be NO_LIST, but the logo strip is a real named list. Both Child Advancement records (Dania Beach and Winter Park) share this one site, which publishes no per-location list."
10728,Child Advancement Center - Winter Park,Winter Park,florida-medicaid|aetna|cigna|sunshine-health,Children's Medical Services|Community Care Plan|Florida Community Care|HMTC (unidentified),N,http://www.4childadvancement.com/,homepage insurer logo strip - there is no dedicated insurance page (nav is Home / About Us / Services / Contact / Referral Form),HIGH,"Logos re-read a second time against their image filenames to avoid a bad transcription: florida-medicalaid.png = Florida Medicaid, atena.png = Aetna, cigna-florida.png = Cigna, sunchine-help-florida.png = Sunshine Health, children-medical-services.png, COMMUNITY-CARE-PLAN.jpg, florida-community-care-1.png, HMTC.png. HUMANA WAS SPECIFICALLY CHECKED AND IS NOT PRESENT - an earlier pass had guessed the HMTC mark was Humana; the filename is literally HMTC.png and the insurer behind it could not be identified, so it is parked in no_slug_plans rather than mapped. Body copy also carries the generic ""We accept most major insurance plans"", which alone would be NO_LIST, but the logo strip is a real named list. Both Child Advancement records (Dania Beach and Winter Park) share this one site, which publishes no per-location list."
6837,Crystal Academy,Coral Gables,SITE_UNREACHABLE,,N,,none found,LOW,"SITE_UNREACHABLE after all 3 permitted attempts. Every path returned the same JS bot-wall instead of content: ""You are being redirected...Javascript is required. Please enable javascript before you are allowed to see this page."" Tried https://crystalacademy.org/ , /insurance.html and /tuition.html - identical interstitial, zero body content. An insurance page DOES exist at https://crystalacademy.org/insurance.html (title ""insurance - Crystal Academy - Autism Therapy"") so the content is there but unreadable without JS execution. self_pay_only is recorded N only because the field is not nullable - the true value is UNKNOWN, NOT confirmed. Needs a JS-capable browser session (Claude in Chrome) to resolve."
7140,Cultivate Behavioral Health & Education - Boca Raton,Boca Raton,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10718,Cultivate Behavioral Health & Education - Boynton Beach,Boynton Beach,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10719,Cultivate Behavioral Health & Education - Bradenton,Bradenton,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10722,Cultivate Behavioral Health & Education - Coral Gables,Coral Gables,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10723,Cultivate Behavioral Health & Education - Cutler Bay,Cutler Bay,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10724,Cultivate Behavioral Health & Education - Kendale Lakes,Kendale Lakes,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
