id,name,full_address,latitude,longitude,county,source,attempts,rejected_fuzzy,confidence
5766,E&R HEALTH CARE INC.,"12750 NW 17TH ST UNIT 111, Miami, FL, 33182",,,,NOT_FOUND,2,Y,
5777,BUSH BRIANNA N,"6528 SWEETBAY LN APT 102, Jacksonville, FL, 32244",,,,NOT_FOUND,2,N,
5840,Cultivate Behavioral Health & Education - ABA Therapy for Autism,"87009 PROFESSIONAL WAY, Yulee, FL, 32097",,,,NOT_FOUND,1,N,
6056,"JONATHAN TUMAN, DDS,PA","1111 KANE CONCOURSE STE 515, Bay Harbor Islands, FL, 33154",25.88678167076,-80.131514835486,Miami-Dade,CENSUS_ALIAS,4,N,MEDIUM
6064,"LAKE CNTY BRD OF CNTY COMMISSIONERS
DEPART OF COMMUNITY SERVICES PUBLIC TRANS DIVISON","2440 US HIGHWAY 441/27, Fruitland Park, FL, 34731",,,,NOT_FOUND,2,N,
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,"3408 W 84TH ST STE 203, Hialeah, FL, 33018",,,,NOT_FOUND,2,N,
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,"2000 TOWERSIDE TER APT 505, Miami, FL, 33138",,,,NOT_FOUND,2,N,
6226,SUCCESS AT WORK,"5800 PALM AVE, Hialeah, FL, 33012",,,,NOT_FOUND,1,N,
6267,DGAN LLC,"6802 LAKEVIEW CENTER DR STE 500, Tampa, FL, 33619",,,,NOT_FOUND,2,N,
6281,"RIDGE AREA ARC, INC.","4352 INDEPENDENCE ST, Avon Park, FL, 33825",,,,NOT_FOUND,1,N,
6284,"THE ARC NASSAU, INC.","86051 HAMILTON STREET, Yulee, FL, 32097",,,,NOT_FOUND,1,N,
6329,"SUNRISE COMMUNITY, INC","9040 SUNSET DR, Miami, FL, 33173",25.702021966854,-80.339930581255,Miami-Dade,CENSUS_ALIAS,2,N,MEDIUM
6344,Easterseals LEAP Program - Naples,"8793 TAMIAMI TRL E STE 111, Naples, FL, 34113",,,,NOT_FOUND,4,N,
6346,CITY OF CAPE CORAL,"400 SANTA BARBARA BLVD, Cape Coral, FL, 33991",,,,NOT_FOUND,1,N,
