id,name,city,input_address,matched_address,latitude,longitude,geocode_method,notes
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",Alachua,13900 TECH CITY CIR,,,,FAILED,No Census match after 2 attempts
6066,UNIQUE CARING OPPORTUNITIES INC.,Alachua,15604 NW 140TH ST,,,,FAILED,No Census match after 2 attempts
6390,ANGELIC COMPANION SERVICES,Altamonte Springs,498 PALM SPRINGS DR STE 100,,,,FAILED,No Census match after 2 attempts
9505,"Dr. Daniel Komforti, PT, DPT",Altamonte Springs,860 N STATE RD 434,,,,FAILED,No Census match after 2 attempts
9401,"Talk the Talk Pediatric Therapy, LLC",Apollo Beach,300 FRANDORSON CIR,,,,FAILED,No Census match after 2 attempts
6281,"RIDGE AREA ARC, INC.",Avon Park,4352 INDEPENDENCE ST,,,,FAILED,No Census match after 2 attempts
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.",Boca Raton,22313 BOCA RIO ROAD,,,,FAILED,No Census match after 2 attempts
7942,Select Physical Therapy - Cay West,Cape Coral,1715 CAPE CORAL PKWY W,,,,FAILED,No Census match after 2 attempts
8934,"THE ARC OF LEVY COUNTY, INC.",Chiefland,7550 149 PL,,,,FAILED,No Census match after 2 attempts
9054,NEED A HAND? CALL ANN,Clearwater,4300 E BAY DR LOT 106,,,,FAILED,No Census match after 2 attempts
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,Clearwater,430 MORTON PLANT ST # 101,,,,FAILED,No Census match after 2 attempts
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,Deltona,3400 HALIFAX CROSSING BLVD,,,,FAILED,No Census match after 2 attempts
10004,Wolfson Children's Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR,,,,FAILED,No Census match after 2 attempts
7575,Island Cove Behavioral Pediatrics,Fleming Island,1831 GOLDEN EAGLE WAY,,,,FAILED,No Census match after 2 attempts
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR SUITE 100,,,,FAILED,No Census match after 2 attempts
7366,Evolutions Treatment Center - Ft Lauderdale,Fort Lauderdale,2901 W CYPRESS CREEK RD,,,,FAILED,No Census match after 2 attempts
9433,XPE Sports Rehab,Fort Lauderdale,5300 POWERLINE RD,,,,FAILED,No Census match after 2 attempts
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,Fort Lauderdale,2122 W CYPRESS CREEK RD,,,,FAILED,No Census match after 2 attempts
9535,Total MD,Fort Lauderdale,2700 W CYPRESS CREEK RD STE C100,"2700 CYPRESS LN, FORT LAUDERDALE, FL, 33332",,,REJECTED_BAD_MATCH,"Census returned ""2700 CYPRESS LN, FORT LAUDERDALE, FL, 33332""; street name CYPRESS CREEK != CYPRESS; street type RD != LN; directional W != (none); zip 33309 != 33332"
9678,Hernandez Therapy Clinic,Fort Lauderdale,2950 W CYPRESS CREEK RD,,,,FAILED,No Census match after 2 attempts
9890,CORA Physical Therapy Fort Myers,Fort Myers,6900 DANIELS PKWY,,,,FAILED,No Census match after 2 attempts
8066,Helping Hands,Gainesville,GAINESVILLE,,,,FAILED,No Census match after 2 attempts
6226,SUCCESS AT WORK,Hialeah,5800 PALM AVE,,,,FAILED,No Census match after 2 attempts
6166,"D & D REHAB CENTER, INC",Hialeah,3412 W 84TH ST # E106,,,,FAILED,No Census match after 2 attempts
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,Hialeah,3408 W 84TH ST STE 203,,,,FAILED,No Census match after 2 attempts
10060,Loving Angels PPEC,Hialeah,13115 W OKEECHOBEE RD,,,,FAILED,No Census match after 2 attempts
8434,Inspire Vision Therapy and Rehab,Hollywood,3475 Sheridan Street Suite 206,"3475 SHERIDAN ST, HOLLYWOOD, FL, 33021",26.033077,-80.178770,CENSUS,
7592,Joe DiMaggio Children’s Hospital,Hollywood,1005 JOE DIMAGGIO DR,,,,FAILED,No Census match after 2 attempts
7672,Select Physical Therapy - Hollywood,Hollywood,3325 HOLLYWOOD BLVD,,,,FAILED,No Census match after 2 attempts
9325,My Kid Therapy Center - ABA Therapy in Miami,Homestead,1180 N KROME AVE,,,,FAILED,No Census match after 2 attempts
5777,BUSH BRIANNA N,Jacksonville,6528 SWEETBAY LN APT 102,,,,FAILED,No Census match after 2 attempts
8490,Baptist Behavioral Health - Wolfson Children's Bridge Program,Jacksonville,"836 Prudential Drive Pavilion Building, Suite 1507","836 PRUDENTIAL DR, JACKSONVILLE, FL, 32207",30.316226,-81.663967,CENSUS,"Ignored trailing building designator ""PAVILION"" in input"
9561,Premier Physical Therapy,Jacksonville,4230 PABLO PROFESSIONAL CT,,,,FAILED,No Census match after 2 attempts
9972,Reunion Rehabilitation Hospital Jacksonville,Jacksonville,12645 SALINA DR,,,,FAILED,No Census match after 2 attempts
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,Jacksonville Beach,"1375 Roberts Drive MOB B, Suite 202B","1375 ROBERTS DR, JACKSONVILLE BEACH, FL, 32250",30.273269,-81.400497,CENSUS,
6463,"HPS, HELPING PEOPLE SUCCEED, INC.",Jensen Beach,1601 NE SUCCESS DRIVE,,,,FAILED,No Census match after 2 attempts
9747,Sloane Stecker Physical Therapy - Jupiter,Jupiter,1155 MAIN ST STE 101,,,,FAILED,No Census match after 2 attempts
10398,Beyond Speaking Rehab Specialists,Kissimmee,3485 W VINE ST SUITE 3485,,,,FAILED,No Census match after 2 attempts
10202,EARLY INTERVENTION SOLUTIONS LLC,Land O Lakes,5424 LAND O' LAKES BLVD,,,,FAILED,No Census match after 2 attempts
9637,"Advanced Rehabilitation, Inc",Largo,3690 E BAY DR S,,,,FAILED,No Census match after 2 attempts
6383,"THE ARC NORTH FLORIDA, INC",Live Oak,511 GOLDKIST BLVD SW,,,,FAILED,No Census match after 2 attempts
9316,A+ Handwriting Occupational Therapy,Lutz,SHEFFIELD PARK DR,,,,FAILED,No Census match after 2 attempts
10556,St. John the Evangelist Catholic Community,Melbourne,"5645 Stadium Pkwy, Melbourne, FL 32940",,,,FAILED,No Census match after 2 attempts
9786,"Behavior Basics, Inc., Brevard Office",Melbourne,2401 W EAU GALLIE BLVD,,,,FAILED,No Census match after 2 attempts
9626,Honor Murphy Physical Therapy Solutions,Melbourne,2176 Sarno Road Suite 102,"2176 SARNO RD, MELBOURNE, FL, 32935",28.121725,-80.656861,CENSUS,
10000,Lemon City Collective,Miami,7201 NE 4th Avenue Suite 105,"7201 NE 4TH AVE, MIAMI, FL, 33138",25.840314,-80.188595,CENSUS,
10010,DREAM HOPE & BELIEVE THERAPY CORP,Miami,13155 SW 134TH ST SUITE 218 & 219,,,,FAILED,No Census match after 2 attempts
9317,A Touch of Hope Occupational Therapy - Miami,Miami,19400 TURNBERRY WAY APT 812,,,,FAILED,No Census match after 2 attempts
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,Miami,2000 TOWERSIDE TER APT 505,,,,FAILED,No Census match after 2 attempts
10011,My Big World Inc,Miami,8785 SW 165TH AVE SUITE 101,,,,FAILED,No Census match after 2 attempts
9350,Super Hero Speech,Miami,13155 SW 134TH ST,,,,FAILED,No Census match after 2 attempts
9334,S.U.C.C.E.ED in Learning,Miami,6035 BIRD RD,,,,FAILED,No Census match after 2 attempts
9815,Nicklaus Children’s Hospital,Miami,3100 SW 62nd Avenue,"3100 SW 62ND AVE, MIAMI, FL, 33155",25.742535,-80.295212,CENSUS,
5766,E&R HEALTH CARE INC.,Miami,12750 NW 17TH ST UNIT 111,"12750 NW 17TH AVE, MIAMI, FL, 33167",,,REJECTED_BAD_MATCH,"Census returned ""12750 NW 17TH AVE, MIAMI, FL, 33167""; street type ST != AVE; zip 33182 != 33167"
