id,name,address,city,state,zip_code
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC",13900 TECH CITY CIR,Alachua,FL,32615
6066,UNIQUE CARING OPPORTUNITIES INC.,15604 NW 140TH ST,Alachua,FL,32615
6390,ANGELIC COMPANION SERVICES,498 PALM SPRINGS DR STE 100,Altamonte Springs,FL,32701
9505,"Dr. Daniel Komforti, PT, DPT",860 N STATE RD 434,Altamonte Springs,FL,32714
9401,"Talk the Talk Pediatric Therapy, LLC",300 FRANDORSON CIR,Apollo Beach,FL,33572
6281,"RIDGE AREA ARC, INC.",4352 INDEPENDENCE ST,Avon Park,FL,33825
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.",22313 BOCA RIO ROAD,Boca Raton,FL,33433
7942,Select Physical Therapy - Cay West,1715 CAPE CORAL PKWY W,Cape Coral,FL,33914
8934,"THE ARC OF LEVY COUNTY, INC.",7550 149 PL,Chiefland,FL,32626
9054,NEED A HAND? CALL ANN,4300 E BAY DR LOT 106,Clearwater,FL,33764
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,430 MORTON PLANT ST # 101,Clearwater,FL,33756
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,3400 HALIFAX CROSSING BLVD,Deltona,FL,32725
10004,Wolfson Children's Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR,Fleming Island,FL,32003
7575,Island Cove Behavioral Pediatrics,1831 GOLDEN EAGLE WAY,Fleming Island,FL,32003
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,1747 BAPTIST CLAY DR SUITE 100,Fleming Island,FL,32003
7366,Evolutions Treatment Center - Ft Lauderdale,2901 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
9433,XPE Sports Rehab,5300 POWERLINE RD,Fort Lauderdale,FL,33309
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,2122 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
9535,Total MD,2700 W CYPRESS CREEK RD STE C100,Fort Lauderdale,FL,33309
9678,Hernandez Therapy Clinic,2950 W CYPRESS CREEK RD,Fort Lauderdale,FL,33309
9890,CORA Physical Therapy Fort Myers,6900 DANIELS PKWY,Fort Myers,FL,33912
8066,Helping Hands,GAINESVILLE,Gainesville,FL,32601
6226,SUCCESS AT WORK,5800 PALM AVE,Hialeah,FL,33012
6166,"D & D REHAB CENTER, INC",3412 W 84TH ST # E106,Hialeah,FL,33018
6162,AMERICAN HOME HEALTH PROVIDERS CORP.,3408 W 84TH ST STE 203,Hialeah,FL,33018
10060,Loving Angels PPEC,13115 W OKEECHOBEE RD,Hialeah,FL,33018
8434,Inspire Vision Therapy and Rehab,3475 Sheridan Street Suite 206,Hollywood,FL,33021
7592,Joe DiMaggio Children’s Hospital,1005 JOE DIMAGGIO DR,Hollywood,FL,33021
7672,Select Physical Therapy - Hollywood,3325 HOLLYWOOD BLVD,Hollywood,FL,33021
9325,My Kid Therapy Center - ABA Therapy in Miami,1180 N KROME AVE,Homestead,FL,33030
5777,BUSH BRIANNA N,6528 SWEETBAY LN APT 102,Jacksonville,FL,32244
8490,Baptist Behavioral Health - Wolfson Children's Bridge Program,"836 Prudential Drive Pavilion Building, Suite 1507",Jacksonville,FL,32207
9561,Premier Physical Therapy,4230 PABLO PROFESSIONAL CT,Jacksonville,FL,32224
9972,Reunion Rehabilitation Hospital Jacksonville,12645 SALINA DR,Jacksonville,FL,32246
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,"1375 Roberts Drive MOB B, Suite 202B",Jacksonville Beach,FL,32250
6463,"HPS, HELPING PEOPLE SUCCEED, INC.",1601 NE SUCCESS DRIVE,Jensen Beach,FL,34957
9747,Sloane Stecker Physical Therapy - Jupiter,1155 MAIN ST STE 101,Jupiter,FL,33458
10398,Beyond Speaking Rehab Specialists,3485 W VINE ST SUITE 3485,Kissimmee,FL,34741
10202,EARLY INTERVENTION SOLUTIONS LLC,5424 LAND O' LAKES BLVD,Land O Lakes,FL,34639
9637,"Advanced Rehabilitation, Inc",3690 E BAY DR S,Largo,FL,33771
6383,"THE ARC NORTH FLORIDA, INC",511 GOLDKIST BLVD SW,Live Oak,FL,32064
9316,A+ Handwriting Occupational Therapy,SHEFFIELD PARK DR,Lutz,FL,33549
10556,St. John the Evangelist Catholic Community,"5645 Stadium Pkwy, Melbourne, FL 32940",Melbourne,FL,null
9786,"Behavior Basics, Inc., Brevard Office",2401 W EAU GALLIE BLVD,Melbourne,FL,32935
9626,Honor Murphy Physical Therapy Solutions,2176 Sarno Road Suite 102,Melbourne,FL,32935
10000,Lemon City Collective,7201 NE 4th Avenue Suite 105,Miami,FL,33138
10010,DREAM HOPE & BELIEVE THERAPY CORP,13155 SW 134TH ST SUITE 218 & 219,Miami,FL,33186
9317,A Touch of Hope Occupational Therapy - Miami,19400 TURNBERRY WAY APT 812,Miami,FL,33180
6192,HOUSING AND ASSISTIVE TECHNOLOGY IN,2000 TOWERSIDE TER APT 505,Miami,FL,33138
10011,My Big World Inc,8785 SW 165TH AVE SUITE 101,Miami,FL,33193
9350,Super Hero Speech,13155 SW 134TH ST,Miami,FL,33186
9334,S.U.C.C.E.ED in Learning,6035 BIRD RD,Miami,FL,33155
9815,Nicklaus Children’s Hospital,3100 SW 62nd Avenue,Miami,FL,33155
5766,E&R HEALTH CARE INC.,12750 NW 17TH ST UNIT 111,Miami,FL,33182
9458,AnatomyPT • Physical Therapy & Orthotics,301 ARTHUR GODFREY RD,Miami Beach,FL,33140
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,16800 NW 2ND AVE,Miami Gardens,FL,33169
9841,Physical Therapy NOW Miami Lakes,15985 NW 57TH AVE,Miami Lakes,FL,33014
7967,Select Physical Therapy - Miami Lakes,15150 BULL RUN RD,Miami Lakes,FL,33014
6439,KEY FITS SOLUTIONS LLC,3996 AVALON BLVD STE 100-C,Milton,FL,32583
