Date,Affected pages
2026-05-28,2766
2026-05-29,3033
2026-05-30,3033
2026-05-31,3033
2026-06-01,3643
2026-06-02,3643
2026-06-03,3643
2026-06-04,3643
2026-06-05,3608
2026-06-06,3608
2026-06-07,3608
2026-06-08,3609
2026-06-09,3609
2026-06-10,3609
2026-06-11,3609
2026-06-12,4096
2026-06-13,4096
2026-06-14,4096
2026-06-15,4096
2026-06-16,4096
2026-06-17,4096
2026-06-18,4096
2026-06-19,4096
2026-06-20,4096
2026-06-21,4096
2026-06-22,4096
2026-06-23,4096
2026-06-24,4096
2026-06-25,4096
2026-06-26,4096
2026-06-27,4096
2026-06-28,4096
2026-06-29,4096
2026-06-30,4154
2026-07-01,4154
2026-07-02,4154
2026-07-03,4154
2026-07-04,4154
2026-07-05,4154
2026-07-06,4154
2026-07-07,4154
2026-07-08,4154
2026-07-09,4154
2026-07-10,3756
2026-07-11,3756
2026-07-12,3756
2026-07-13,3756
2026-07-14,3756
2026-07-15,3756
2026-07-16,3756
2026-07-17,3756
2026-07-18,3756
2026-07-19,3756
2026-07-20,3756
2026-07-21,3756
2026-07-22,3756
2026-07-23,3756
2026-07-24,2858
2026-07-25,2858
2026-07-26,2858
2026-07-27,2858
2026-07-28,2858
2026-07-29,2858
2026-07-30,2858
2026-07-31,2858
2026-08-01,2858
2026-08-02,2858
2026-08-03,2858
2026-08-04,2858
2026-08-05,2595
2026-08-06,2595
2026-08-07,2499
2026-08-08,2499
2026-08-09,2499
2026-08-10,2446
2026-08-11,2446
2026-08-12,2446
2026-08-13,2446
2026-08-14,2425
2026-08-15,2425
2026-08-16,2425
2026-08-17,2346
2026-08-18,2346
2026-08-19,2346
2026-08-20,2346
