id,name,city,county,address,phone,website,services,source,verified,slug
9688,Baptist Health Physical Therapy & Rehabilitation | Coral Gables,Coral Gables,Miami-Dade,1222 S DIXIE HWY,(786) 308-2000,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-physical-therapy-and-rehabilitation---coral-gables?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[""physical-therapy""]",Google Places (PT/OT/ST),false,baptist-health-physical-therapy-rehabilitation-coral-gables-coral-gables-fl-9688
8522,Wolfson Children's Behavioral Health - Bartram Park,Jacksonville,Duval,13241 BARTRAM PARK BLVD,(904) 376-3800,https://www.baptistjax.com/services/behavioral-health,"[""aba""]",Google Places (PT/OT/ST),true,wolfson-childrens-behavioral-health-bartram-park-jacksonville-fl-8522
10097,Baptist Rehabilitation (Adult) - Beaches Campus,Jacksonville Beach,Duval,1375 ROBERTS DRIVE,(904) 627-2980,https://www.baptistjax.com/services/rehabilitation-services,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,baptist-rehabilitation-adult-beaches-campus-jacksonville-beach-fl-10097
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,Jacksonville Beach,Duval,"1375 Roberts Drive MOB B, Suite 202B",(904) 627-1480,https://www.wolfsonchildrens.com/services/rehabilitation,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-rehabilitation-baptist-medical-center-beaches-jacksonville-beach-fl-10096
10090,Wolfson Children's Rehabilitation - Baptist Medical Center South,Jacksonville,Duval,14534 OLD ST. AUGUSTINE ROAD,(904) 292-1808,https://www.wolfsonchildrens.com/services/rehabilitation,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-rehabilitation-baptist-medical-center-south-jacksonville-fl-10090
10228,Baptist Rehabilitation - Baptist South Campus,Jacksonville,Duval,14546 OLD ST AUGUSTINE RD SUITE 209 MEDICAL OFFICE BUILDING 1,(904) 271-6575,https://www.baptistjax.com/services/rehabilitation-services,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,baptist-rehabilitation-baptist-south-campus-jacksonville-fl-10228
9261,Wolfson Children's Behavioral Health - Southbank - 1650 Prudential Dr,Jacksonville,Duval,1650 PRUDENTIAL DR,(904) 376-3800,https://www.wolfsonchildrens.com/services/behavioral-health,"[""aba""]",Google Places (PT/OT/ST),true,wolfson-childrens-behavioral-health-southbank-1650-prudential-dr-jacksonville-fl-9261
10001,Wolfson Children's Rehabilitation - Southbank Plaza - 1650 Prudential Dr,Jacksonville,Duval,1650 PRUDENTIAL DR SUITE 102 SUITE,(904) 346-0394,https://www.wolfsonchildrens.com/services/autism,"[""physical-therapy"",""occupational-therapy"",""speech-therapy"",""feeding-therapy"",""ados-testing"",""aba""]",Google Places (PT/OT/ST),false,wolfson-childrens-rehabilitation-southbank-plaza-1650-prudential-dr-jacksonville-fl-10001
10004,Wolfson Children's Specialty Center - Baptist Clay,Fleming Island,Clay,1747 BAPTIST CLAY DR,(904) 202-8000,https://www.wolfsonchildrens.com/locations/clay,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-specialty-center-baptist-clay-fleming-island-fl-10004
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,Fleming Island,Clay,1747 BAPTIST CLAY DR SUITE 100,(904) 516-1800,https://www.wolfsonchildrens.com/services/rehabilitation,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-rehabilitation-wolfson-childrens-specialty-center-baptist-clay-fleming-island-fl-10235
10150,Wolfson Children's Specialty Center - Columbia County,Lake City,Columbia,3650 NW DEVANE ST,(386) 758-1811,https://www.wolfsonchildrens.com/locations/lake-city,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-specialty-center-columbia-county-lake-city-fl-10150
10229,Wolfson Children's Rehabilitation - HealthPlace at Nocatee,Ponte Vedra,St. Johns,400 Colonnade Drive Suite 110,(904) 271-7500,https://www.wolfsonchildrens.com/services/rehabilitation,"[""speech-therapy"",""occupational-therapy"",""physical-therapy""]",Google Places (PT/OT/ST),false,wolfson-childrens-rehabilitation-healthplace-at-nocatee-ponte-vedra-fl-10229
9785,Baptist Health Physical Therapy & Rehabilitation | Miami Beach,Miami Beach,Miami-Dade,709 ALTON RD,(786) 308-2000,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-orthopedic-care-miami-beach-physical-therapy?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[""physical-therapy""]",Google Places (PT/OT/ST),false,baptist-health-physical-therapy-rehabilitation-miami-beach-miami-beach-fl-9785
7535,Wolfson Children's Hospital,Jacksonville,Duval,800 PRUDENTIAL DR,(904) 202-8000,https://www.wolfsonchildrens.com/locations/wolfson-childrens-hospital,"[""music-therapy"",""animal-therapy"",""support-groups""]",Google Places (PT/OT/ST),false,wolfson-childrens-hospital-jacksonville-fl-7535
8490,Baptist Behavioral Health - Wolfson Children's Bridge Program,Jacksonville,Duval,"836 Prudential Drive Pavilion Building, Suite 1507",(904) 376-3800,https://www.baptistjax.com/services/behavioral-health,"[""group-therapy"",""aba""]",Google Places (PT/OT/ST),false,baptist-behavioral-health-wolfson-childrens-bridge-program-jacksonville-fl-8490
9100,Wolfson Children's Rehabilitation - Drew Bradbury Center,Jacksonville,Duval,"Drew Bradbury Center, 841 Prudential Dr #140",(904) 346-0394,https://www.wolfsonchildrens.com/services/rehabilitation,"[""music-therapy"",""life-skills"",""animal-therapy"",""feeding-therapy"",""speech-therapy"",""physical-therapy"",""occupational-therapy"",""support-groups""]",legacy_migration,false,wolfson-childrens-rehabilitation-drew-bradbury-center-jacksonville-fl-9100
