id,name,city,address,distinct_or_duplicate,duplicate_of,population_served,delivers_aba,bcba_found,autism_relevant,recommend,evidence_url,evidence_quality,notes
9688,Baptist Health Physical Therapy & Rehabilitation | Coral Gables,Coral Gables,1222 S DIXIE HWY,DISTINCT,,ADULT,N,N,N,REMOVE,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-physical-therapy-and-rehabilitation---coral-gables,MEDIUM,"Its own location page (Doctors Hospital campus) lists only orthopedic care, sports medicine and diagnostic imaging with no pediatric, developmental or autism mention; Baptist Health South Florida is an unrelated system to Wolfson/Baptist Jacksonville and keeps its pediatric work at the separately named Child Development Center at South Miami Hospital. Real distinct adult outpatient PT clinic, but adult orthopedic rehab does not belong in an autism directory; the 'bounce back from an injury or surgery' blurb is templated chrome, so the adult read rests on the location-specific specialty list plus absence of any pediatric mention."
8522,Wolfson Children's Behavioral Health - Bartram Park,Jacksonville,13241 BARTRAM PARK BLVD,DISTINCT,,PEDIATRIC,unclear,N,Y,RETAG,https://www.wolfsonchildrens.com/locations/service-line/behavioral-health-locations,MEDIUM,"Wolfson's own behavioral-health locations page names this a distinct pediatric outpatient site (Suite 1901) but names no ABA there, and the system's BCBAs practice at Southbank and Jacksonville Beach, so the 'aba' tag is unsupported at this address. RETAG: drop 'aba' - nothing else is location-specifically confirmed, and the listed 904-376-3800 is the shared Baptist Behavioral Health line, not a direct intake."
10097,Baptist Rehabilitation (Adult) - Beaches Campus,Jacksonville Beach,1375 ROBERTS DRIVE,DISTINCT,,ADULT,N,N,N,REMOVE,https://www.baptistjax.com/locations/rehabilitation-centers/baptist-beaches,MEDIUM,"Its own Baptist page puts it in Suite 202A on a different phone (904.627.2980) from the pediatric Wolfson clinic in Suite 202B (904.627.1480), so these are two clinics sharing a building, not one entered twice - do not merge. Adult-only rests on the brand split rather than a population statement on that page: Baptist Health's rehabilitation-services page routes all pediatric work out to wolfsonchildrens.com and the Beaches expansion release credits children to 'the Wolfson Children's Rehabilitation Center component', with the adult side being pelvic-health/ortho/neuro and no autism or developmental-disability mention anywhere, so its speech-therapy and occupational-therapy tags are adult services that do not belong in this directory."
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,Jacksonville Beach,"1375 Roberts Drive MOB B, Suite 202B",DISTINCT,,PEDIATRIC,N,N,Y,KEEP,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,HIGH,"Wolfson's rehabilitation-locations index confirms this exact record verbatim - 'Baptist Medical Center Beaches, 1375 Roberts Drive, MOB B, Suite 202B, Jacksonville Beach, FL 32250, 904.627.1480' - a pediatric clinic in Suite 202B, structurally separate from the adult Baptist Rehabilitation in Suite 202A at 904.627.2980 (id 10097); speech-therapy, occupational-therapy and physical-therapy are correct for this site. No ABA and no BCBA appears anywhere in the Wolfson rehabilitation service line, which handles PT/OT/speech only."
10090,Wolfson Children's Rehabilitation - Baptist Medical Center South,Jacksonville,14534 OLD ST. AUGUSTINE ROAD,DISTINCT,,PEDIATRIC,N,N,Y,KEEP,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,MEDIUM,"Wolfson's own pediatric rehabilitation locations page lists this site as 14534 Old St. Augustine Rd, MOB 3, Suite 3300, ph 904.292.1808, matching this record's phone and confirming a pediatric population distinct from the adult Baptist rehab clinic in Suite 3220. That page gives address and phone but does not enumerate services per location, so the speech/OT/PT tags rest on the pediatric rehab service line generally rather than a location-specific service list; ABA is run by Baptist Behavioral Health, not by rehabilitation."
10228,Baptist Rehabilitation - Baptist South Campus,Jacksonville,14546 OLD ST AUGUSTINE RD SUITE 209 MEDICAL OFFICE BUILDING 1,DISTINCT,,ADULT,N,N,N,REMOVE,https://www.baptistjax.com/locations/rehabilitation-centers/baptist-south,HIGH,"Baptist's own page for this clinic describes it as adult rehab services with its own intake line 904.271.6575 at 14534 Old St Augustine Rd MOB 3 Suite 3220 - a different suite, phone and patient population from the pediatric Wolfson clinic in Suite 3300, so it is a distinct adult department, not a duplicate of 10090. Adult-only general rehabilitation does not belong in this directory, so REMOVE rather than MERGE; note also that the CSV address (14546 Suite 209 MOB 1) disagrees with Baptist's published address for this clinic."
9261,Wolfson Children's Behavioral Health - Southbank - 1650 Prudential Dr,Jacksonville,1650 PRUDENTIAL DR,DISTINCT,,PEDIATRIC,Y,Y,Y,KEEP,https://www.baptistjax.com/doctors/psychologist/dr-sarah-robinson-phd,HIGH,"Sarah Robinson, PhD, BCBA-D lists Applied Behavior Analysis and Autism Spectrum Disorders among her areas of expertise with her only office given as this exact address and suite, and the dedicated first-party ABA page carries separate Medicaid and commercial referral forms - two signals, so the ABA tag holds here. Two caveats: 904.376.3800 is the shared 21-office Baptist Behavioral Health line and proves nothing about location on its own, and Baptist's ABA is explicitly a focused parent-training model of 1-2 weekly hours, not comprehensive center-based ABA, so co-tag parent-coaching."
10001,Wolfson Children's Rehabilitation - Southbank Plaza - 1650 Prudential Dr,Jacksonville,1650 PRUDENTIAL DR SUITE 102 SUITE,DISTINCT,,PEDIATRIC,N,N,Y,RETAG,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,MEDIUM,"Wolfson's pediatric rehabilitation locations page puts Southbank Plaza at Suite 102 on 904-346-0394 - a different suite, phone and service line from behavioral health in Suite 210 - so this is distinct from 9261, not a duplicate. RETAG: Wolfson's autism page routes ABA to Baptist Behavioral Health outpatient services, not to rehabilitation, so drop 'aba'; correct tags are speech-therapy, occupational-therapy, physical-therapy, feeding-therapy, and 'ados-testing' is unverified here."
10004,Wolfson Children's Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR,DISTINCT,,PEDIATRIC,unclear,N,Y,KEEP,https://www.wolfsonchildrens.com/locations/clay,HIGH,"Its own location page lists a site-specific specialty mix (allergy, audiology, cardiology, ENT, imaging, ophthalmology, orthopedics, pulmonology, behavioral health, rehabilitation therapy, urology) on main line 904-202-8000, which is the multi-specialty center as a whole and not the Suite 100 rehab clinic on 904-516-1800 (id 10235). No page places the system's ABA program at this address and no BCBA is named for this site, so ABA stays unclear."
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,Fleming Island,1747 BAPTIST CLAY DR SUITE 100,DISTINCT,,PEDIATRIC,N,N,Y,KEEP,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,HIGH,"Wolfson's rehabilitation-locations index lists this campus separately as Suite 100 with its own direct intake line 904.516.1800, distinct from the specialty center switchboard 904.202.8000, so the shared street address is a shared campus and not double entry; the therapy scope is PT/OT/speech, so the existing speech-therapy, occupational-therapy and physical-therapy tags are correct. Wolfson's Early Autism Intervention Program sits under this rehab service line but is not confirmed as delivered at the Clay suite, and no ABA or BCBA is named anywhere in the rehab service line."
